[00:00:00] 入っていける打撃のテクニックあると思う
[00:08:51] バチンてつけてえ例えば潜ったりとか
[00:08:54] スイープしたりとかしてあの立ち上がる
[00:08:57] てい攻防よりはい
[00:09:01] 立ち上がっの処したが平本その巻
[00:09:05] ウィザード使ったりとか4に戻して首使っ
[00:09:09] たりするのがうまいんで多分そういう風に
[00:09:12] 後ろ向くことが結構あるんですけど朝倉
[00:09:15] ミク選手はまグスタボ戦とかでも打撃を
[00:09:18] 有利に進たのからていのもあると思うん
[00:09:21] ですけどすごいテイクダウンのタイミング
[00:09:23] がすごいうまく入れてたんではい
[00:09:26] タイミングを取るのはすごい上手なんでの
[00:09:29] 打撃に合わしてタイミングよく入った時に
[00:09:32] 平本君が背中を向けちゃったとしたらはい
[00:09:36] そこでバックキープをミクル選手がこう
[00:09:40] できる技技術組み手とかを習得してきてれ
[00:09:44] ば展開変わるんじゃないかなと思いますね
[00:09:47] だからなんだろうな柔術的なムーブもそう
[00:09:50] だしレスリング的なそのスタンドバックで
[00:09:53] 相手を手をつかせる技術だったりバック
[00:09:56] フックしてバックキープ助け取って足かけ
[00:10:00] てバックキープする例えば4のロックし
[00:10:04] たりとかそういう時間が作れるんだったら
[00:10:07] 全然あると思いますねただ萩原戦朝倉対
[00:10:11] 萩原の試合とかでえバック取ってるのに
[00:10:15] バックチョク絶対行ける場面あったのに
[00:10:17] なかなか行けなかったりとか収支そのなん
[00:10:20] だろうな立って寝かしてっていう萩原選手
[00:10:22] を完全にコントロールするまではけなかっ
[00:10:25] たのとか見るとちょっと難しいかなって
[00:10:27] いうので平本選手予想したんですけどはい
[00:10:30] まそこを改善してきてうんやってくるん
[00:10:33] だったら桜ミク選手あるんじゃないかなっ
[00:10:35] ていう風にま思いますねま桜選手がバック
[00:10:39] を取れればってことですねそうですね
[00:10:40] バック取ってしっかりキープできれば
[00:10:43] なるほどてことですねはいはいじゃあ小鉄
[00:10:46] 君はありますかリクル選手が勝つとしたら
[00:10:49] 勝つとしたらはいまあのこの前同門のこう
[00:10:52] 広谷選手がやっていたようにはいま何度も
[00:10:56] こうテイクダウンのアプローチをあ
[00:10:57] なるほどしてはいまその平選手のこと疲れ
[00:11:02] させるなりさせてまそういうゲームが
[00:11:05] できれば桜選手有利になってくるんじゃ
[00:11:08] ないかなとはい序盤の方で平本選手のこと
[00:11:12] テクダンできて平本選手が疲れるばその
[00:11:15] 23ラウンドであの平本選手のその打撃の
[00:11:18] スピードとかも落ちてくると思うのではい
[00:11:21] ま広谷選手がやったように逆にこうパンチ
[00:11:24] 当てて効かせるみたいなはいはいのはえま
[00:11:28] 倉選手の勝利かなとは思いますテーク
[00:11:32] ダウンを意識させるからこそ打撃が当たり
[00:11:35] ですねそうですねはいま難しいんじゃない
[00:11:37] かなとま結構大幅なスタイルチェンジに
[00:11:41] なりますカウンタースタイルからそうです
[00:11:43] 自分から距離詰めてってなんだろうな
[00:11:46] テクダン取れないの折り込み済みで
[00:11:48] どんどんアプローチるそう組の選手になら
[00:11:50] ないと勝てないんじゃないかなうんしかも
[00:11:54] こう朝倉選手最近結構後ろではいはいが
[00:11:58] 後ろ常にあるように見えるんではいはいま
[00:12:01] よりそういう戦いがしにくいのかななんて
[00:12:05] こう見えてはいますはいはいなるほど
[00:12:08] そのスタイルだったりを変えてチェンジ
[00:12:12] することがあればはい価値が見えるんじゃ
[00:12:14] ないかな価が見えるんじゃないかなという
[00:12:16] 予想ですはいはいはいでははいま先ほど
[00:12:20] こう展開予想していたはいことを実演で
[00:12:24] 実演を踏まえてああなるほどはい説明して
[00:12:26] いきたいと思いますはいじゃえっと僕が
[00:12:29] 説明してた展開予想を簡単に実演します
[00:12:32] まず僕が朝倉選手でえ小平本選手だとして
[00:12:37] ま僕の予想では平本君は喧嘩の距離感が
[00:12:41] 好きなんで今回はオーソドックスで構えて
[00:12:43] くると思思うので喧嘩になりますはいミク
[00:12:47] がサポ平本君がオーソドックスでえミいつ
[00:12:52] もだとこの遠い距離はこの三月だったり
[00:12:55] それを意識さしたハイ
[00:12:58] ピック早くて強烈なハイキックでそれそれ
[00:13:01] を意識さした膝蹴りボディにも顔にも打て
[00:13:06] ますねでさらにその蹴りの距離じゃない時
[00:13:09] ちょっと近い距離だと相手が入ってきた
[00:13:11] 瞬間に強いルック打つこともできるしま
[00:13:16] それを餌にした左ストレートもすごい強烈
[00:13:19] なんですけどえじゃ逆になりますよえ僕が
[00:13:22] 平本君君が桜選手ですけど山本君が多分
[00:13:26] どういう仕掛けで入ってくのかはちょっと
[00:13:29] ちょっと僕もわかんないんですけどもしか
[00:13:31] したらこう蹴りとかイロとかで距離を
[00:13:34] 散らしながらこの前手に直回出してとかか
[00:13:37] もしれないですけどそれでギュってこの
[00:13:39] 距離に入りますでこの右フックをミクスシ
[00:13:42] 振ってくるんですけどこの危険な中に入っ
[00:13:45] てって右ストレートなり他の攻撃を
[00:13:48] バンバンバンってえシャープに細かく打っ
[00:13:52] てヒットさせるんじゃないかなっていう
[00:13:54] 予想ですねただここでまバンバンて当てる
[00:13:57] んですけどミクル選手もこのままって4つ
[00:13:59] 取ったりとかしてでこういうクズモーの
[00:14:02] 展開とかになってえ結果的に日本選手が
[00:14:06] 打撃でアドバンテージ取っててえ倒すとこ
[00:14:09] まではいかないけど判定がちになるんじゃ
[00:14:11] ないかなっていう感じですはいはいス君の
[00:14:15] さっきさウィザードはいウィザードですね
[00:14:17] えっとテイクダウンディフェンスではい
[00:14:20] 平本選手がこうパンチ空ってこれに合わせ
[00:14:24] て斎藤さんにタック入られたんですけどこ
[00:14:29] スクロールって言ってこう足を飛ばすだけ
[00:14:31] ではなくてその後にこの左手を巻いて横に
[00:14:36] こ相手を崩して立ち上がっていたのでま
[00:14:40] これがあると相手としてはえま大勢を崩さ
[00:14:45] れることになるのでま消耗もしますしあの
[00:14:48] 簡単にはテイクダウンできないのでこれが
[00:14:51] ウィザードていうレスリングやってない
[00:14:54] やっていないとできるできない技だと思う
[00:14:57] んではいこんな感じですはいはいという
[00:15:01] ことで僕らの試合予想は現時点だと平本レ
[00:15:05] 予想ということではいじゃあこの動画が
[00:15:09] はいいつも4人でやってる石渡さんのえ
[00:15:13] 勝敗予想&amp;展開予想よりいいなと思った人
[00:15:17] はえグッドボタンとコメントを是非
[00:15:20] よろしくお願いしますはいお願いします
[00:15:22] はいじゃご視聴ありがとうございました
[00:15:23] ありがとうございました熱が出た腹が痛い
[00:15:27] 痛い怪がしたポキって言った様々な症状に
[00:15:31] 心味になって診療いたしますお気軽にお
[00:15:34] 問い合わせください武蔵村山斎藤
[00:15:37] クリニック
[00:15:40] 男チャンネル登録よろしくねグッドボタン
[00:15:44] もよろしく
[00:15:50] [音楽]
