[00:00:00] 行きます。スーパー。ハロハロ。
[00:05:07] 4本ぐらい見たよ。
[00:05:08] え?あ、全部見たんすね。
[00:05:09] 3本4本。
[00:05:10] ああ、そうだよ。川尻さんがあの見て
[00:05:12] もうそうやし、あの、えっと、堀口選手の動画撤回あ
[00:05:16] あ、はいはいはい。そ、
[00:05:17] あの態度悪いやつで。
[00:05:18] うん。そう、そう、そう、そう。もうこんな感じでなん足んで
[00:05:21] やってるやん。
[00:05:22] はい。
[00:05:22] それ見てて俺はベッドの中でもうめちゃくちゃむかついて。
[00:05:27] え、それはどっちに
[00:05:29] そら大きしにむかついて。
[00:05:30] ああ、なるほど。経営の中ですからね。今のは
[00:05:33] もう経営もな、今もその態度がな
[00:05:35] はい。
[00:05:35] ムかつくやん。
[00:05:36] まあね、
[00:05:37] 俺もな、こう色々むかついて思って
[00:05:39] はい。
[00:05:39] これがもしバレ以外の人に言っとったら、ま、別に何も思わんかったと思うん。
[00:05:43] はい。ああ、そうだよ。
[00:05:44] でも俺も、ま、そこはな、
[00:05:46] その忖度とかじゃなくて
[00:05:47] やっぱこうバレンのこと、バレンが好きやから
[00:05:50] はい。
[00:05:50] その人に対してあんなこうマウント取るような
[00:05:55] 実績マウントみたいなあるやん。ほんで後楽園は体育館
[00:05:59] とか言ってな
[00:05:59] そらサーさんそういうの言わないすよね。
[00:06:01] そんな何
[00:06:02] だってUFC
[00:06:02] でカテリさんよってるんすよね。
[00:06:04] いや、そんなんかなんか聞いたんですよ。そってるんすかね。実際。
[00:06:06] いや、わからん。川じさんしてるか知らへんけど。
[00:06:10] 僕もはっきり何勝したか知らんけど。はい。
[00:06:11] でもそのしてるやね。そ、ま、その時のもんやん。うん。人生が続くわけやんか。
[00:06:16] そらさんで過去にしみついてる感じ全くないな。
[00:06:18] いや、でも昔めっちゃ北岡さんに言われとったよ。な
[00:06:21] んですか?
[00:06:21] US
[00:06:21] にしがみつきやがって。あ、で言われてたんですね。でもそんな時期もちょっとあったすか?
[00:06:28] ま、でもあった。でもそうでしょ。
[00:06:30] そういう時はやっぱ弱い。
[00:06:31] うん。
[00:06:32] うん。弱い。
[00:06:33] 俺もそんな時期もあった気もするな。え、
[00:06:35] ジョビもあるでも俺ジョビンが俺昨日ライブしてて
[00:06:38] ジョビンがチャンピオンになった時あれやん。
[00:06:40] はい。
[00:06:41] 俺大体そん時何しとったんかな思ったら
[00:06:43] 俺はい。
[00:06:45] パンクラスのベルトをあの目指せる時やってそう考えた時に備めちゃくちゃ成績なんか上げていくの早かったな思って
[00:06:53] ああ僕も早くやった
[00:06:54] 急加速で結果出してったよな。
[00:06:56] ま、そうっすよ。でも速攻やめましたからね。風のように触っていきましたよ。
[00:06:59] いや、それがすごいな思って。
[00:07:01] ああ。
[00:07:01] で、俺は結構時間かかったわけよ。
[00:07:03] まあ、ま、でもだってベースも何もなかったすからね。しかもあの始めんのも遅かってすごいと思う。
[00:07:08] いや、言うてもジョビもそんな言うても昔からその映教育受けてやってきてるわけじゃないや。
[00:07:12] で、やっぱ俺はそめてちょっとすごいな思って
[00:07:15] いやいやいやいやいや
[00:07:16] すごいな思って
[00:07:18] いや、ま、頑張ったんですけど、ま、そこに対してもちろんゼジェフもあるんですよ。頑張ったっていう。
[00:07:23] でも俺過去のことってあんま言わないと思うんですよ。
[00:07:25] あ、そうやな。
[00:07:26] 今のことを言うです。僕いつも今が最強とか
[00:07:29] うん。
[00:07:29] うん。なんですけど、ま、僕動画で言ったけど、川尻さんとかさんはやっぱ過去のことを結構頭に
[00:07:35] う
[00:07:36] 上通しめてるなって思っちゃうんですけどね。
[00:07:37] うん。
[00:07:38] なんかね、こう自分の実績がやっぱこう価値が下がらないようにで、そっから昔俺らはここまで来たからお前らとは違うんやぞっていうやっぱそういう空気がめっちゃ肝心はそうですね。で、バレンさんともやっぱ核が違うって。
[00:07:51] うん。ほんでなんかあのプロじゃないみたいなこと言ってね。
[00:07:54] 俺めっちゃむかついてな。
[00:07:56] ほんまにめっちゃ失礼やで。
[00:07:57] じゃあ自分ボクシングで
[00:07:59] 3秒なってみんやて話や。
[00:08:00] 無理やからって俺な。そう、
[00:08:02] あの畑あるわけやん。じゃ世界もあれば
[00:08:05] YouTubeだってYouTube
[00:08:06] で言ったらバレすごいわけや。
[00:08:08] じゃ、じゃ、マント取ってくるから取ってけへんや。
[00:08:09] そうそう。い
[00:08:09] いや、そうなんすよ。じゃあ
[00:08:10] YouTube
[00:08:11] だったら負けてるやんていう。
[00:08:12] うん。そうやだ。だからトライの畑言ったら
[00:08:14] 一で言うんだったらね。
[00:08:15] 自分は言たペやねんやから。
[00:08:17] だから自分のこの枠の中でただやってるだけで世界は広いねん。そう考えた時にここの枠でトップ取るのはすごいことやで。だけど謙虚な気持ちっていうのは絶対必要やね。
[00:08:25] うん。そうすね。
[00:08:27] はプロじゃないわ。本当にちょっと
[00:08:29] 体育感とかやっと、体育感とそういう名前。
[00:08:30] そう、たださ、さ、テンション上がってるとこ申し訳ないですけど、あなたもディープごときっていうすごい発言があったんで、そこはちょっと
[00:08:38] あれ言葉のえや、
[00:08:40] 言葉の
[00:08:41] な、その時の流れ早え。
[00:08:43] 僕は全然怒ってないけど、僕が怒ってもおかしくない。ディープこときとか言われてファイターもそうです。そこはそらさもうツマがあってない。スマってんの?これに関しては。これだから合ってるの。
[00:08:55] それは言葉のあなんじゃないですか?青木さんも。
[00:08:56] いや、こんだけリープを怪しちゃ来て。どういうどういうことないよ。俺
[00:09:00] このTシャツ来てくれてるけど。
[00:09:01] これジョビンのT
[00:09:02] シャツよ。ほんまに。これ見てみよ。これ
[00:09:04] いやいやちょっとこっちもディープのやっぱのさんや。さん、ちょっとディ
[00:09:07] ープの25周年。
[00:09:08] 青木さんも子供の親だったんじゃないですか。じゃ、
[00:09:10] そんな知らない。違う違う。それは違う。それは違う。それは違う。
[00:09:15] それはどう違う?
[00:09:16] 俺はもう完全にぶち切れてる状態でもうガてあれはもうだってカメラ回ってる中で
[00:09:23] 回ったらえからより本音が出てよりアクシな気がする。おじさんのが堂々としてる。
[00:09:27] じゃあねじゃあねカメラ回ってるから言ったらて顔出してるからって何言ってもええちのもちゃうで。
[00:09:33] いや、もちろんそりそうやけど。
[00:09:35] そうだってそれじゃ言ったら堀口堀口選手の嫁さんのことをあんな風な言い方してあんなんもう悪質しかないやん。
[00:09:41] まあて本当にわかんないで。あの時はあの話は
[00:09:44] 全く思わんもん。奥さんが前に出すぎてるって。
[00:09:47] 俺も思わよ。
[00:09:47] 最高の奥さんすよね。くれてるから。
[00:09:49] はい。
[00:09:50] 捉え方が。
[00:09:51] そうね。
[00:09:51] だ、俺な思って俺この前動画で言ってんけど
[00:09:54] 俺青きシなんてほんますごい選手だと思ってんね。はいはいはい。いや、それは思ってますよ。
[00:09:58] そうや。
[00:09:58] でももっとな、今回た武尊も選手すごい勝ち方したよ。スーパーサター。
[00:10:02] そうですね。スーパースター。
[00:10:03] でも俺は青木深夜もスーパースターになるだけのポテンシャルはあったと思うよ。
[00:10:09] もちろん。
[00:10:10] でもそれであんだけの強さがあって、
[00:10:12] ま、成績も言うたら、ま、うん。
[00:10:14] ここや。
[00:10:15] はい。
[00:10:15] ま、すごいで。こ、ここですごいで。
[00:10:17] はい。はい。
[00:10:18] ワンでもチャンピオンになって
[00:10:19] はい。
[00:10:19] ドリームでもチャンピオンになってシュートもま、シュート取ってるかわからんけど実績すごいやん。
[00:10:23] はい。はい。
[00:10:24] で、もっとこう人間性が素晴らしかったら
[00:10:28] もっと上のクラス。
[00:10:29] そうですね。
[00:10:29] 行ってたんちゃうかって俺は思ってんね。
[00:10:31] 島田吹とどっちが人間性悪いですかね?
[00:10:34] いやあ、結構どっかどっか。
[00:10:39] まだイ吹の人間悪さが全く俺にわかんないですけど。
[00:10:42] まあ、ま、そのことについては、ま、色々、ま、ま、でももう田島田選手とはもう終わったから。
[00:10:46] そう、
[00:10:47] もう人間生活のこうのってもうどうでもいい話。うん。俺は次だからこっから積み上げていって、またどっかで
[00:10:53] 島田選手と戦うこと。そこでやり返の話やから。それだけなんで別に、ま、みんな好き嫌いそらあるし合う合わへんあるから。
[00:11:00] はい。え、ちなみに川じ達也にはどう思ったんですか?今回の。
[00:11:03] あ、カジさんはなんでそういうこと言うんかなと思ったな。うん。
[00:11:06] だからその俺ら、俺はセコンドに対してなんか言うのはもう別にそれは
[00:11:11] 100本譲っていいと思うね。
[00:11:12] はいはいはい。
[00:11:13] ただ日本王者レベルとか言ったあ、その言葉が俺はやっぱちょっと
[00:11:18] いや、やっぱディープディープごとき発言なやっぱりこれ響かんな。
[00:11:23] ちょっと待って。ちょっと待て。
[00:11:24] 俺こんだけディープディープに対して愛があって
[00:11:28] 愛があるくせにディープがあって、もう愛があってな。
[00:11:31] うん。
[00:11:32] これでそんなこと言ったあかんよ。
[00:11:34] これは首打ってる感じそらそらディープこときって言った後にこの
[00:11:37] Tシャツ持ってこられても
[00:11:38] ディープの愛があるから。もうこれほんまに家
[00:11:40] 2枚あるからね。これはこれ
[00:11:42] でもマジで青木さんも川ジルさんも同じなんじゃないですか。勢いで言っちゃったんじゃないですか。子供の部屋で
[00:11:48] ていう部分もあるんじゃないですか。
[00:11:49] 勢いじゃない。あれだってもう撮影してたら落ち着いていけるわけよ。俺はあの現場でぶち切れてんねん。喧嘩なってんねん。正面しとしてね。ギ野生でおったらライオンがおってチーターがおっていきなりグってあった感じやん。
[00:12:00] じゃあグわーって行くやろ。
[00:12:02] でも本音がやっぱ出ちゃったんじゃないですか?
[00:12:04] いや、それはな、俺は
[00:12:05] でもそれ言われると思うよ。そさんも言ったもん。
[00:12:08] あ、言ったよ。言われたよ。
[00:12:09] はい。
[00:12:10] でも俺は思ってないもん、それは。
[00:12:11] え、
[00:12:12] 思ってるけど思ってない。
[00:12:13] 思ってるって言った。思ってないけど。
[00:12:15] あ、見た目たついり
[00:12:16] カメラ向かってる。カメラ向かって喋る時に
[00:12:20] あホか
[00:12:21] ディープみたいなあんな素晴らしい団体のことを何かごきじゃ。ふざけんな。ほんまに
[00:12:25] ディープみたいなって言い方もどうかと思うし。
[00:12:27] ほんまにふざけんな。ほんまについつもってないですからね。
[00:12:30] いや、これはジョビはな、これまた青き深夜とこと一緒やね。なんか
[00:12:36] なんかあったら
[00:12:37] こう人の揚げ足取ってくね。こうやって
[00:12:39] そんなことない。
[00:12:40] 引っ張り出して、引っ張り出して
[00:12:41] 自分も今おしいよ揚げ足取ってるじゃないですか。
[00:12:43] 僕北岡選手としたことがあってちょっともう言われて美しいんです。
[00:12:48] はい。
[00:12:49] それ引っ張り出した方が
[00:12:51] ああ。ま、その話はもやめ
[00:12:52] でもいいやでもこの話に関しては俺はあの序派やから。
[00:12:56] はい。ああ、マジですか?
[00:12:57] そう。
[00:12:57] はだから断って別に何が悪いんですかっていう話。
[00:13:00] はい。ま、これは最さる。それでは僕言い訳とかもやめとく。すいません。こ、
[00:13:05] あれんでことったんですか?
[00:13:06] いやいやいや、もうそっとしといてください。この問題はもう怖いんです。本当に。さ木さんが電話買ってきたりします?
[00:13:12] いや、それはない。わ
[00:13:14] 僕はもう結構気軽に電話かかってきて。
[00:13:16] いや、愛されてるんや
[00:13:18] ね。で、取らんかった時にこの前
[00:13:20] うん。
[00:13:20] 大変なことが起こってるみたいなこと
[00:13:22] LINE
[00:13:22] があの不在着信の後に添えられてて
[00:13:25] 大変だぞみたいなも
[00:13:27] これ何て思っていやまあまあこっち内容言えないですけどなんか大者こじゃなかったですも怖くて着信とかがもう
[00:13:35] いやでもあのさ木さんが女に切れるあの動画めちゃくちゃ好評や。
[00:13:40] めっちゃさ木翼さんの良さを
[00:13:41] 1番引き出してるのは僕ですけどね。
[00:13:43] いやでもやっててさん楽しいんちゃう?
[00:13:45] そうと思います。はい。
[00:13:46] うん。
[00:13:47] だ、俺はやっぱふさ木さんとやる時、そんなそこまで
[00:13:50] まだおしりを受けてないから。
[00:13:52] そうっすね。やっぱでもおしり受けてる僕の方がいいんでしょうけど。あの、喋りやすいでしょうし。
[00:13:56] 秋本京馬と喋る時全然違うもん。
[00:13:58] ま、あった、あった。全然違う。
[00:14:00] 全然違う。さ木さんの見てたらもう笑顔率が違うしニコニコニコニコしてますもんで。
[00:14:05] いや、でもジョビもやっぱそっち寄りにちょっと株上げていこや。立ち位あげていこや。
[00:14:09] そうっすよ。ま、ただこれが好評ではあるんですけどね。
[00:14:11] うん。だってこれだって便これディープのこのスポンサーやなのになんかぼったくりてなってます。
[00:14:16] 呼ぶの。これはほんと気象値あります。僕グッズ作ったこと
[00:14:19] 1回もないですよ。
[00:14:20] そろそさんあるじゃないですかグッズ。あ、
[00:14:22] これお金が全てって書いてから。はい。
[00:14:24] これをそうあの僕売店で販売するんですけどなんとストラッサーキーチさんも一緒に
[00:14:29] そうそう。俺もあの一緒に売店でちょっと販売さして売りまし。
[00:14:35] 嬉しいす。ありがとうございます。これめちゃくちゃ売れますよ。
[00:14:38] いやでも数料限定があるからもうお早め。お早めに
[00:14:42] はい。いや、マジでも1
[00:14:43] 時間とかでもう完売させてもうディープちゃんと見ようと思ってるんで。
[00:14:45] うん。
[00:14:46] これどっち打ったらいいんかな?ディープ
[00:14:48] 25周年Tシャツと。
[00:14:50] そう、ディープきT
[00:14:52] シャツ作った方がいいんじゃない?
[00:14:53] 青か青か?
[00:14:55] あのな、あれ、あれちょ、あれ、あれはなんであって言ったからわかる?
[00:14:58] で、下の方に向いて上に
[00:15:00] UFCとかで
[00:15:01] あちゃう。あれちゃうちゃう。そんなんじゃない。あれはなんで言ったかおるな。もうそれ言ったら俺また島田の文句言ってるみたいになるやん。
[00:15:08] なんで島田の話になるんすか?
[00:15:09] だ、それそうやん。だってそれムかついたからそういうこと言ってんやん。
[00:15:12] はいはい
[00:15:14] そうやろ。
[00:15:14] き合いにだからそれを言ってる言ってるだけの話やで俺はだから何でも謙虚な気持ちが必要ってことや。
[00:15:20] はいはい。ま、これ以上この話言うだから、
[00:15:23] だからディープのチャンピオンはすごいことやけど謙虚な気持ちがないからディープごときでそのタイルなんやねんてなるわけよ。それがシュートやったらシュートでも言うよ。はいはいはい
[00:15:33] な。
[00:15:34] ま、UFCだって言ってないと思う。
[00:15:35] 言ってないよ。それ言うはずない。当たり前。
[00:15:38] UFC世界やねが当たり前や。
[00:15:40] やっぱじゃ下に見てるやん。
[00:15:42] さ、下にも
[00:15:44] US上に決まってるやん。
[00:15:46] US
[00:15:46] は上に決まってるやん。下も何もディープが下に決まってるやん。
[00:15:49] うわ、
[00:15:50] それそうや。USとどっちが上か。それ
[00:15:52] USの断然上やん。
[00:15:54] 俺はそうは思わん。
[00:15:55] いやいや、それはそれは間違えてる。間違えてる。
[00:15:57] 俺はディープが
[00:15:57] いや、それは逆にディープの採さんに失礼やで。
[00:16:00] ディープに失礼やで。
[00:16:01] ディープが世界最後補の団体と思ってます。俺は
[00:16:04] はい。またこれ、これし出した。これし出した。ほんまに
[00:16:06] 最強を決めるのはディープ。
[00:16:08] はい。出た、出た、出た、出た。
[00:16:09] はい。
[00:16:10] 自分ディープのチャンピアがこれディープあ青き深夜と同じこと言ってね。これ自分の立ち位置を高めようとして同じこと言ってね。やっぱりディープはすごいですから。
[00:16:22] いや、ほんまにディープはほんまにすごい団体なんでこのベルトはすごい価値のあるベルトなんで。
[00:16:26] はい。ちなみにもう青木深夜とか中直りはもう難しいですかね。
[00:16:29] いや、中直りもね、もう俺も経緯っていうのを捨てたから。
[00:16:33] はい。はい。ま、
[00:16:34] 日言われましたからね。
[00:16:35] うん。そうやな。もうね、あの、俺毎週試合負けてる時も色々言ってたし。
[00:16:39] ま、別にそれは1000
[00:16:40] 年がてになってるなるから別にええけど
[00:16:42] はい。
[00:16:43] もう青木深夜に対しては、ま、ちゃんと格闘化として思うことはちゃんと、あの、すごいことはすごいって言わしてもらうし、違うと思うことは違うと思う。はい。
[00:16:52] で、俺は言う、言う。
[00:16:53] そうっすね。あの人はマジみんな下からね。
[00:16:56] うん。なんか見てて、あの、ほんまに気分なってくねん。
[00:17:00] うん。
[00:17:00] だってワクシアと撮影して、あの、楽しいと思ったことないもんな。
[00:17:05] ああ、なるほどね。数
[00:17:06] 回しか取ってないけど。
[00:17:07] ああ。
[00:17:08] うん。
[00:17:08] でも結局バレンの動画とかも見てやっぱジョビンとの動画と青き深夜との動画を言うたら、ま、こう比べられるわけやんか。ジョビンとバレンの時はめちゃくちゃ楽しそうにってくるみたいな。
[00:17:19] そうで本ん当評もその組み合わせが
[00:17:21] うん。うん。
[00:17:22] うん。僕もバレンさんと喋んのマジ楽しいし
[00:17:24] うん。
[00:17:25] これからもずっと続けていこうと思ってる。
[00:17:27] いやいや、見たいよ。見たいよ。ほんまに。
[00:17:28] はい。
[00:17:29] バレンさんとの撮影は決まってるんですか?
[00:17:30] あ、バレンとの撮影は5
[00:17:31] 月中旬にうちの姉ちゃんあのイギリスから東京来るから
[00:17:35] へえ。ちょっと3人で
[00:17:38] 姉ちゃん出すんや。
[00:17:40] 3
[00:17:40] 人でいやねちゃん海外のからバレンの
[00:17:44] 側では色々話すネタなるほどなるほど。
[00:17:47] うん。そうそう。そんな感じよ。
[00:17:49] はい。
[00:17:49] 俺もま、こっから復活していきますんでね。
[00:17:52] ね。そうっすね。ちょっとはい。
[00:17:53] 分かりました。
[00:17:54] はい。リープ様でお願いします。えっとね、今日は
[00:17:58] はい。
[00:17:58] せっかendoと一緒になったんで
[00:18:00] あれですよ。今日
[00:18:02] 5月10日に
[00:18:04] もう直前ですよ。
[00:18:05] はい。5月10日の
[00:18:06] 来人があるということなんで、神戸大会
[00:18:08] はい。
[00:18:09] これ僕全然触れてなかったんで
[00:18:11] 僕はもうディープ131
[00:18:12] のことしか頭にないですけどね。
[00:18:13] 出た出た出た出た。
[00:18:15] はい。そっち
[00:18:16] 出た出た出た出た。
[00:18:17] そっちやんないですか?そっちの勝敗予想?
[00:18:18] いや、もう来人よ。そういうとこたら別やから。そういうとこたら別やから。
[00:18:25] はい。5
[00:18:25] 月4日はちゃんと試合見に行くし
[00:18:28] ね。それ終わった後にちゃんとそれについて
[00:18:31] やっぱ感想動画もあげたいなと思って。
[00:18:33] なんで紹介予想やんないですか?
[00:18:34] うん。正月せへんちみなんでやつが
[00:18:38] いや、そんなんだってもうみんながやっぱ求めてる俺が俺のチャンネルで今求めてるんやっぱ来今
[00:18:44] 5月10日直金やないから
[00:18:46] めちゃめちゃ言うな僕はでも僕
[00:18:48] だってもう5月4
[00:18:49] 日ってもうすぐやで明日明後日やで俺ほんな編集間に合えへんやんは僕のチャンネルではディープの
[00:18:54] 131の勝敗予想もは
[00:18:55] さ木さんと撮ってますから1
[00:18:56] 人と取ってませんから
[00:18:57] はい
[00:18:58] さ木さんと取ってますからやっつけ仕事してますから
[00:19:01] やっ仕事って
[00:19:02] 全てあんとさ木翼さんと喋
[00:19:04] いやいや、さ木さんと見どをちゃんと聞きたいなと。で、そさんとマジ僕ちょっと主要な試合ちょっとディープもう喋らせてください。僕のチャンネルで。はい。
[00:19:11] はい。ああ、そうね。
[00:19:11] はい。
[00:19:12] 角のタ安部とか聞きたいしささんの喧嘩。
[00:19:14] あ、確かにね。じゃあちょっとね、来人
[00:19:17] 53の小
[00:19:18] はい。やりましょう。
[00:19:19] はい。ちょっとやっていきたいなと思うんですけど、今回はちょっと大沢式は上からやるっていう。
[00:19:24] そう、そう。よく知ってますね。
[00:19:25] 見てますから。
[00:19:26] はい。
[00:19:27] 見てますから。
[00:19:27] はい。
[00:19:28] え、
[00:19:28] 大沢さんとも仲良くなっちゃった僕。
[00:19:30] あ、です。
[00:19:31] 僕めちゃめちゃ言ってたんですけどね、大沢さんのこと。
[00:19:34] え、結構文句?
[00:19:35] はい。どう?
[00:19:36] 文句と技術論の話ですよ。あ、うん。うん。
[00:19:38] あの、別に人間性のことなんか言ってるけど、それでもね、
[00:19:41] 許してくれる器のでかさ。僕本当にこれを当たり前と思う感謝しないとなと思って。で、え、その来人の日に
[00:19:50] 平た番あるじゃないですか。
[00:19:51] うん。そうやね。それもあんねや。
[00:19:53] はい。それの解説配信一緒にやるんすよ、ここで。
[00:19:57] うわあ。なんで呼んでくれへんの?
[00:19:59] うん。やろうと思ってて。
[00:20:00] なんで呼んでくれへんの?俺も俺大沢さんとは昔マンツマンで
[00:20:04] 1対1で坂道ラッシュした中やねんで。
[00:20:06] 1
[00:20:06] 対1で。
[00:20:07] そうや。昔一緒に練習させてもらってて、ま、どっかであの下水場の
[00:20:11] はい。
[00:20:11] ところの坂があってそこでバイクで
[00:20:14] 2人で待ち合わせして
[00:20:15] 下水場なん
[00:20:16] かわからんけど
[00:20:17] 必要な下水場の情報はい。
[00:20:19] で、そこで大澤さんの2
[00:20:21] 人で坂道した記憶がもう今
[00:20:23] それ言ってた気がするな。
