[00:00:00] はい皆さん小池クベルです今日私の
[00:05:21] 回で絶対ボがないよあね今ダイエットどう
[00:05:25] ですか全然問題ないEのダイエットかな今
[00:05:29] の問題ない問題ないからて今何やってるば
[00:05:35] 仕事とかパソコンでカタででも私
[00:05:38] tiktokで食べたいからこれ
[00:05:41] からまた来たくらちょっとねピでちょっと
[00:05:45] パソコンちょっと辛い
[00:05:47] から面白いな彼本当面白いジでUFCでか
[00:05:53] の仕事で食べたいかな私今でちょっと考え
[00:05:57] てるがあるから後でででたらいいから各時
[00:06:00] の仕事で私今初めてここの近くで見えてる
[00:06:05] からまいい挨拶挨拶したけどでも彼が借
[00:06:10] てる全然違うだってねでもみんな後で
[00:06:15] コメントてくださいみなどうですかで
[00:06:18] めっちゃ似てるじゃん私ね似てないやろ
[00:06:20] コメントも誰誰本物なってるみコメントし
[00:06:24] て誰じゃんけ買ったじゃんじゃんけん買っ
[00:06:26] たちゃ私そうじゃんけ買った私
[00:06:30] チャンピオンチャンピオン私チ私が1個の
[00:06:33] 聞きたい彼のチャンネルでびしはで一緒
[00:06:38] どうですかみんなコメントくださいび
[00:06:40] かかってこい
[00:06:42] じゃん誰もかかってこいびにび座るで
[00:06:48] チーン本当にありがとうございました
[00:06:51] めっちゃ嬉しいですありがとうございます
[00:06:53] 皆忘れてない後で彼が地域トクとかもう
[00:06:56] すぐでチャンネルで作ってるとかみな登録
[00:06:59] てくださいコメントしてお願いします後で
[00:07:01] み自分のチャンネルでコメントてください
[00:07:04] ねおし最後は何ですか最後でボガで行こう
[00:07:09] かなはい123ボガ
[00:07:14] [音楽]
[00:07:29] あ
[00:07:31] [音楽]
