[00:00:00] お健ですえラジ47え終わりましたえま
[00:07:01] 負け方だったんで今回はね結構ずっと
[00:07:05] 硬かったんで僕はそれちょっと良かったな
[00:07:07] と思いましたねまやっぱ持ってる力で言っ
[00:07:10] たらあの堀口君の方が僕はいいと思ったん
[00:07:14] でまああのもっとベラトールの
[00:07:17] チャンピオンとかねで本当に強い
[00:07:22] セルジオペティスに相手に堀口君の方が強
[00:07:25] いって最初から思ってたって言わせる堀口
[00:07:28] 君が本当にすごすごいんですけどそれは
[00:07:31] 本当にあのいい勝ち方だったんでこれから
[00:07:35] ねあの本当にこう堀口の組の強さとの
[00:07:39] やっぱ際立ってるんでねあのバンダム級で
[00:07:43] あと誰がいるんだっていうねまあのpfl
[00:07:46] とか
[00:07:48] ベラトールとかでまpflでバンタム級が
[00:07:52] いないんですけどまそこ誰か呼んできて
[00:07:55] やるのかま本当ちょっとそれは楽しみだな
[00:07:58] と思いました
[00:08:00] 続いてクベル小池Vアーチレッタですねま
[00:08:04] 本当あの僕はこう予想としてはアーチ
[00:08:07] レッタかなと思っててやっぱアーチレッタ
[00:08:09] がミックスの寝技を凌いでたんでであとは
[00:08:14] もうレスリングとかチタがタックで行くと
[00:08:17] 僕はクベル結構引き込んじゃったりするか
[00:08:19] なと思ったん
[00:08:21] でちょっと難しいかなただクベルは
[00:08:25] スクランブルの中で取る技術はあるとそれ
[00:08:28] は可能性として全然あるぞと思ってたら
[00:08:33] クレベルコイケ
[00:08:41] の変則的なリズムの打撃も当たってたしう
[00:08:46] やっぱりクレベルいいなっていうのがもう
[00:08:48] 本当になんか予想はねアチレッタにしてた
[00:08:52] んですけど
[00:08:53] もう本当になんだろうななんかあか
[00:08:59] ブンブンて来てんですけどクベルがなんか
[00:09:01] もう変なリズムのなんかフックフックとか
[00:09:05] ワツも変なリズムでくるからあれは本当に
[00:09:08] 格闘技しっかりやってる選手大が得意な
[00:09:11] 選手ほど見づらいんじゃないかなって思い
[00:09:13] ました
[00:09:14] ねあとはもう決めの強さでアカに入った時
[00:09:18] にちょっとアーチアタが少し処理に対して
[00:09:21] 自信なさそうだったりしたんであれ打ち
[00:09:24] ヒールうんクレベルは本当にやっぱ首から
[00:09:29] 何かいろんなところの技を持ってるってが
[00:09:32] ちょっと関心しましたでまその後にあの
[00:09:36] 鈴木千選手にえ対戦要求っていうとこでね
[00:09:41] うん本当に面白い鈴木千選手なんで6月
[00:09:45] ゴミ君とやって7月パッキャオででクレ
[00:09:50] ベルといつやるんだっていうね本当に本当
[00:09:54] 過密スケジュールなんですけど本当彼なら
[00:09:56] こなしそうだなっていうのもありますので
[00:09:59] まあ本当に今日のラジ47はもう神工業
[00:10:03] でした本当に次のねスーパーラジまで
[00:10:08] 楽しみにしたいと思いますそれでは皆さん
[00:10:10] ありがとうございました
