[00:00:00] [音楽]
[00:03:34] にキックボクシングやるよりはこういう
[00:03:36] レスリング混ぜてくる相手はこう僕ら
[00:03:39] 受ける側としては選択肢が1つ多いんで
[00:03:42] もしかしたら次のタイムタックル来るかも
[00:03:44] と思いながら上に来たりとかっていうのは
[00:03:47] まあもらったりはしますけどまそんなに
[00:03:51] 効くパンチではないですよねこうパジも
[00:03:54] アレッタも
[00:03:59] うーんまあちょっと今負けてる
[00:04:03] から最初のま後から見たらね結局あの
[00:04:08] 頭付きだったんだけど一応ダウンみたいな
[00:04:11] 感じになっちゃってたんでうん次取り返さ
[00:04:15] ないとまずいぞっていうの
[00:04:17] と結構アーチュレッタが疲れてたんで
[00:04:21] もっとボディを狙って体力を削っていこ
[00:04:24] うって
[00:04:25] いう作戦を立ててまし
[00:04:28] たでダウンは全然対したことないからそこ
[00:04:31] までタックルにを気にしないでもいいか
[00:04:35] なっていう話はしてた気がし
[00:04:40] ます選手も避するシーンあるんですけど
[00:04:42] そこあま聞いてる印象はなかっ
[00:04:45] たそうですねま前てのジャブなん
[00:04:49] でまジャブで倒れるってことはあんまない
[00:04:52] から大丈夫かなと思ってましたけど
[00:05:05] こうボディを攻めていこうという指示の中
[00:05:08] でそのボディを攻める1つの手段として
[00:05:10] この膝蹴りが意これはなんかね弟が自分で
[00:05:16] 用意してたみたいですけどねあのアチレタ
[00:05:19] のワンツタックルの癖を分析しててこれ
[00:05:24] 分析通りの膝だったみたいですけど
[00:05:30] アレット戦の前のあの元屋線の時も膝蹴り
[00:05:34] を最近では割と回選手の武器になってはい
[00:05:37] そうですよねはいだいぶ天下だったり組際
[00:05:42] の膝がうくなってるっていう印象あります
[00:05:50] ねうんパントジの方が高いと思いますはい
[00:05:54] ただま簡単にやテイク取られないのは
[00:05:57] 間違いないと思いますね
[00:06:00] だから逆にテイクダウンをなるべく取られ
[00:06:04] なければ弟は省エネで戦うことができるし
[00:06:07] テイクダウンをたくさん取られてしまう
[00:06:10] ようなら相当消耗すると思うんでまそこが
[00:06:12] 結構勝負の別れ目かなと思って
[00:06:20] ます僕は70%かと思ってますね
[00:06:25] はいうん特になんかこう得意なタイプでね
[00:06:29] パントージャて弟が
[00:06:32] うんむしろ打撃が強くてね寝技がそんな
[00:06:37] 強くないみたいな例えばシマリとかそっち
[00:06:41] の方が多分むしろ苦手だと思うんでこう
[00:06:44] いうアーチレタとかパントージャみたいな
[00:06:46] タイプは弟が最も得意な相手だと思ってる
[00:06:51] ん
[00:06:52] でま普通に勝つと思いますけどま
[00:06:57] アレッタのにガガ前に出ながらテクダウン
[00:07:01] 混ぜてくるって意味ではまあうん気をつけ
[00:07:05] ないといけない相手ではあるけど僕は
[00:07:07] 勝てると思ってますね
[00:07:09] はいえ弟のUFCデビューとなるえUFC
[00:07:14] 310がえ日本時間週2月8日に行われ
[00:07:18] ますえUNNEXTの月額会員の方は追加
[00:07:21] 料金なくご覧いただけますの
