[00:00:01] ハロハロどうもジョビンですこの
[00:15:54] かもよくわからんけど松島小うんでこれね
[00:15:57] 打撃ま相は悪くないと思う関
[00:16:00] 選手なんかまっすぐのマジストレートいい
[00:16:03] なあれ全然当たる可能性あるんじゃないか
[00:16:05] なうんでダウトベックは結構俺フック系な
[00:16:09] んかなと思ってたんやけどうんもう今
[00:16:12] まっすぐ打てるよサウスポーで左
[00:16:13] ストレート伸びるしうん回転も早いし強い
[00:16:18] よなまあでもここは打撃自体はそんな差
[00:16:22] ないと思うけどまさ能力が違うと思ううん
[00:16:25] ダウトベックのがだいぶ上と思うし
[00:16:27] フィジカル面であ圧倒的にダウトベックの
[00:16:30] 方が上で俺は何度かね何度も言ってるけど
[00:16:33] MMAでは1番重要なのはフィジカルと
[00:16:35] 思っててそこの面でダウトベックが圧倒的
[00:16:38] に優位なんでうん流れの中でもダウト
[00:16:41] ベック上とるでしょうしうんパンチもそこ
[00:16:45] まで技術のさわない今なダウトベックのが
[00:16:47] やっぱ有利でどっかで形しちゃう気がする
[00:16:49] けどうこれも形する気がするないやどうか
[00:16:54] な結構関選手ね目も良かったりするけど
[00:16:58] うんうんでも圧倒されると思うなやっぱり
[00:17:02] うーねうんいつも俺ジャブっていうけど
[00:17:05] 関生じゃ特にこの試合はジャブつけばいい
[00:17:07] と思うダウトベックみたいなタイプには
[00:17:09] うんジャブとスイを使いこなせればいいと
[00:17:11] 思うけどどうかないやでも判定までいく気
[00:17:14] がするなうん1発が当たりそうな気もする
[00:17:16] けどダウトベックのうん判定やなうん判定
[00:17:20] でやっぱフィジカルでだいぶ余ってるんで
[00:17:22] ダウトベックがなんか流れの中で上取っ
[00:17:24] たりしてダウトベックがうんで打撃でも
[00:17:27] うん有効だとか力でえだいぶ優勢になって
[00:17:30] ダウトベックの判定がち勝利予想にえして
[00:17:34] おきますはいえ次が第5試合スパイク
[00:17:37] カーライルVキムギぴょうんこの
[00:17:41] マニアックなカード組んでくるよ
[00:17:44] ねこれどうかなこれも改めて映像見直した
[00:17:49] けどうんま2人ともねえ何でもできる
[00:17:55] トータルファイターでうん
[00:17:59] キムぎぴょがこれあんまり知られてない
[00:18:01] ことと思うけどなんか大怪我してるよね
[00:18:04] なんかえ全十字人体をなんか一部断裂し
[00:18:06] てんのかな大きがしての復帰戦
[00:18:10] でうんキムキぴ強今ななんかレッツゴータ
[00:18:13] 戦とかも見たなだいぶ過去の試合うん
[00:18:17] パンチ力あるしえラジランドマークの試合
[00:18:19] も見たしうんうみ戦も見たしいや強いんや
[00:18:25] けどそれの上位互感が変るって感じがする
[00:18:28] なあ上位股間で言てまそこまでの圧倒的な
[00:18:31] 差はないんやけどうんドロドロの試合に
[00:18:35] なる気がするこの試合はお互いがなんか
[00:18:37] 打撃当てたりとか上取り合ったりとか上
[00:18:40] 取っても返したりとか結構目し展開になっ
[00:18:43] て最終的にでもどっちかって言ったら
[00:18:46] カーライルのが上回ってると思ううん結局
[00:18:50] 決められへんしカライルって誰とやっても
[00:18:53] 堀江線とかもねあの3ラウンドの後頭部の
[00:18:55] 打撃がなかったら多分カライル買った買っ
[00:18:57] てたと思うし
[00:18:59] うんホ相手にねあの試合やっぱすごいし
[00:19:02] カーライルを攻略するのってマジ難しいと
[00:19:05] 思う目もいいし組み技もね強いしうんただ
[00:19:10] 俺は個人的にそんな好きじゃないけど
[00:19:12] 変えるなぜなら武器がないからうんやっぱ
[00:19:15] 一ゲに引いてた選手が俺は魅力を感じる
[00:19:17] からカーライルはそんなに好きじゃないし
[00:19:20] だってトップに行ける気がないもんいや
[00:19:22] 強いとは思うけど超トップに行ける気が
[00:19:25] ないしやっぱ俺は武器がある選手のが好き
[00:19:27] かなって個人的に重いやけどうんでもカイ
[00:19:31] ルってマジ嫌ないてや
[00:19:34] なまこれは結構ごの展開になると思うけど
[00:19:37] カーライルが要所要所で上取ったりとかえ
[00:19:40] ね全ての面でちょっとだけ上回って
[00:19:43] カーライルの判定勝ち予想にしておきます
[00:19:46] はいでは次行きますえ次があこれ結構注目
[00:19:50] されてるよね裏メイン的なえ第6試合武田
[00:19:55] 浩司Vラジャブリー
[00:20:00] ライフあの名前変えてもらってもいいかな
[00:20:04] さんお疲れ様ですおお疲れ小君お前あの
[00:20:07] シトルリンとアルギリンって知ってるかあ
[00:20:09] よく知ってましたよ俺マジではい年齢と共
[00:20:11] に減っていくボストで1回当たり前やそれ
[00:20:15] 目上のト年齢と共に減っていくすごく大事
[00:20:20] な網のうんそうそうそうそう分かってるね
[00:20:22] スルリンとかメロン1.3個キリ54個と
[00:20:26] かあキリ54個無理やアルギニンがト
[00:20:29] パック4つとか食事からだけ取ろうとする
[00:20:33] とすごい難な難しいよう分かっとるなほ
[00:20:36] ちょ本当にしてました分かってるよ
[00:20:37] もちろんだ俺はだからその体疲れやすい人
[00:20:40] とかお酒飲む人にすごいお勧めしてる
[00:20:42] めちゃめちゃええぞえそれやっぱり生物的
[00:20:45] に強くても疲れたりするんですかねそうま
[00:20:47] お前は多分難しいけど生物的に弱い
[00:20:51] からでらバレおかもう1個あるよこの方が
[00:20:55] なんですか下にも聞くなよった
[00:21:00] [音楽]
[00:21:02] え第6試合武田浩司Vラジャブリシェイド
[00:21:08] ライフあの名前変えてもらってもいいかな
[00:21:14] ラジャブリシェイドライフもうこれ覚え
[00:21:18] られへん
[00:21:21] てシェイド
[00:21:24] ライフマジで覚えづらいこれふでいいかな
[00:21:29] 筆いいよねシェイドライフ君筆いいよね
[00:21:33] もうこれ名前変えてもこれ分かりづらいわ
[00:21:37] もう呼びづらいでふなんですけどま
[00:21:41] めっちゃ強いって噂でただ俺映像見たこと
[00:21:45] なかったんできちんと見たんですけど確か
[00:21:47] にめちゃめちゃ
[00:21:49] 強いいやこれめっちゃ強いしいや面白いま
[00:21:54] あのヤンジオに1本勝ちしてるってことで
[00:21:57] もうすごさが分かるよねヤジ相手に普通に
[00:22:00] テイクダウンしてあのクラムでもなね
[00:22:02] クラムトってレスリングの本当世界的
[00:22:04] トップですけどでもなかなかテイクダウン
[00:22:06] できんかった倉本をえ倉本に買ったヤジを
[00:22:11] 低クダしてチョクで決めてるんやけど
[00:22:13] とにかくねえ俺が武田浩司側に立ったら
[00:22:16] もう気をつつけるのは2つチョークと左
[00:22:19] フックと思うこの2つがすごいねすごい
[00:22:22] 武器うんフィジカル強いただねバックの
[00:22:26] 対応そんな良くないんよな
[00:22:29] だから武田浩司が萩原京平戦のように
[00:22:33] バック取って結構キープするっていう展開
[00:22:35] は全然考えられるた寝かしきんのは難しい
[00:22:38] と思うけどうんなんかね1番最近の試合で
[00:22:42] 結構強いやつとやってたけどえフがうんで
[00:22:46] もねバック疲れてるシーンがあったなうん
[00:22:50] 結構長い
[00:22:51] 時間いやでも強いでもねなんかね左目で
[00:22:55] しか見てないよね基本的にが相手のそう
[00:22:59] ずっとこういう感じで戦ってるからこう
[00:23:01] いう感じで大げさに言うとだからま
[00:23:04] 打ち下ろしの右フックとかめっちゃ当たる
[00:23:06] と思うけどなうん右ストレッかまこれ
[00:23:09] なかなかできんと思うけど例えば白塚選手
[00:23:12] の右のカウンターみたいな左フックの
[00:23:14] 終わりにめっちゃ当たると思うけどまあれ
[00:23:17] できるつなかなかわらんと思うけどこう
[00:23:19] いう感じで打つんで左フックをうん相手を
[00:23:22] 見てないというかま悪い時のやくみたいな
[00:23:24] こういう感じで打つからそこにうん左
[00:23:27] フックでもいいし右のろしとかめっちゃ
[00:23:30] 当たると思うな当たるし効くと思う
[00:23:31] ちゃんと見てないからただまサポか竹田浩
[00:23:35] がでも右フックいいと思う今日ね
[00:23:37] うん打撃はすごい雑1発あるけどで前に
[00:23:42] 突っ込んでくる
[00:23:44] からうん膝とかも有効と思うけどな
[00:23:47] カウンターの膝とかあれ効くと思うよ
[00:23:49] まっすぐ突っ込んでくるから思いっきり
[00:23:51] うん膝とかうんカウンターまやっぱジャブ
[00:23:56] かうんそういうのね嫌がると思うけどうん
[00:24:00] でどうかな勝敗
[00:24:02] 予想いやどっちかって言たら不が有利な気
[00:24:05] がする
[00:24:06] なふって言って大丈夫かな怒らんかなこの
[00:24:09] 子まキルギスだったっけその国も俺よく
[00:24:12] わからんないけどキルギスだったっけ
[00:24:14] なんかどっかの国だったよねま分からばれ
[00:24:17] へんよねキルギス共和国やったら俺がふっ
[00:24:19] て呼んでることそんなで怒らんよね怒らし
[00:24:22] たらめちゃめちゃ怖そうやけどうんやっぱ
[00:24:25] ふが有利と思うなでがね多分あんま知られ
[00:24:29] ないけどこれバンタムからあげてくんのよ
[00:24:32] そうで武田浩司はライトからフェザーに
[00:24:34] 落としてフがバンタムからフェザーにあげ
[00:24:37] てるでも俺はあげる方がむしろ有利と思っ
[00:24:40] てるからうん武田浩司もま動けてたし前回
[00:24:44] まあまあ萩原戦ただライト級の方が動き
[00:24:47] いいように見えたしま金的があったから
[00:24:49] ちょっとね分かりづらかったけどあの試合
[00:24:50] はそっから動き落ちたかもしれんしうんで
[00:24:54] も少なくともライト9よりいいようには
[00:24:57] 見えへんね俺からしたら少なくともね
[00:25:01] フェザーの方フェザーでも動けてたけど
[00:25:03] ライト級の方がいいように見えた俺はうん
[00:25:06] やっぱ下げんのって俺どうかと思うよ
[00:25:09] なでフは結構原料から解放されててある
[00:25:13] 程度いい動くと思うしうなんか全局面で
[00:25:18] 若干不が有利な気がするなただまバック
[00:25:21] つけたらそれはチャンスある気がするで
[00:25:25] うんふは下になってももう立のもうまいし
[00:25:28] ジカル強いわそうめっちゃフィジカル強い
[00:25:31] なんか結局上取ってくるんよなだか武田浩
[00:25:34] がテクダン行けたとしても結局フが上
[00:25:37] 取り返したりとかすると思ういやこれ
[00:25:40] 難しいなあとねこれ言っときたいのがフが
[00:25:42] すごいね適当なところあって軽量オーバー
[00:25:44] したりとかなんか大会キャンセルしたりと
[00:25:47] か二重契約してるとかいう噂もあったりと
[00:25:50] かだからこれちゃんと来てくれんのかなっ
[00:25:52] ていう疑問があるわまずそうあと軽量
[00:25:55] オーバーする可能性もあると思うし
[00:25:56] ちょっと色々そういう面で問題ってか不安
[00:25:59] 負が
[00:26:01] うんそれなでもうんどっかでしかもパンチ
[00:26:06] も見えづらそうな軌道がうんパンチもろう
[00:26:10] 可能性もあるしま判定かな判定でうん殺傷
[00:26:14] 能力はだいぶ負が上と
[00:26:16] 思ううん負のパンチで1回ぐらいダウンし
[00:26:19] そうな気がするな負のパンチで竹田こじが
[00:26:22] 1回ぐらいダウンしそうででもそっから
[00:26:24] また盛り返してみたいないつもの展開に
[00:26:27] なってうん組み技でもあんまり差がなくて
[00:26:31] 武田がテイクダウン行ったりもするんや
[00:26:33] けどまた腑に上に取らえたりとかして
[00:26:35] そんな展開の中目し展開の中風が判定がち
[00:26:39] はいよそ1本とか経は難しい気もするけど
[00:26:42] ね武田工相手にうんでもこの存在おもろい
[00:26:46] よねここで1本勝ちとか怪とかするよう
[00:26:49] だったらより面白い存在になるけどうんふ
[00:26:53] はもう相当期待大ですはいではそんな感じ
[00:26:56] で次行かせていただきます次が第7試合
[00:27:00] 上田ミキオ
[00:27:01] V
[00:27:04] シミラーコバルチェクもう名前分かり
[00:27:07] づらい
[00:27:08] なシュミ
