[00:00:00] [音楽]
[00:03:16] で馬自身ので1万体以上メイザーは
[00:03:18] フェザーかスーパーフェザーかないかな
[00:03:20] 59キロぐらい冠したと思う
[00:03:23] それがウエルター招いたが60度っていう
[00:03:25] 奥様が入ってるぜ
[00:03:27] 価格の絵師嬉しいのでもうちょっと上
[00:03:29] ちゃん待って言っても昔にあのマグレガー
[00:03:32] とかやったねちょっと前に行っても大きい
[00:03:34] も入ってアーサーございました台風んだ
[00:03:37] から全然三男敵の等伯時の成長アルト3杯
[00:03:41] 日本で蹴り合いとかじゃない50同店や南
[00:03:44] 3-6
[00:03:46] ユーバー誰かに朝ですね委員会のなぁ
[00:03:49] 上田選手
[00:03:51] ネットって朝から3振る選手の口罰で
[00:03:54] エキシビジョンマッチはんともヒップも
[00:03:57] メールザ活動圧倒なぁ99%普通これも
[00:04:02] あったりしてはいそれも楽しみですね
[00:04:04] ちょっと負けるところがそうぞ敵1体や1
[00:04:08] 回でもその曲げているところがあればどの
[00:04:10] ジャッキ日であるけど待ってろ一
[00:04:13] パーセントはカンナいやらしかったりだが
[00:04:15] まあまあ1%おまへん
[00:04:17] それで練ったキーパンチャーて入る可能性
[00:04:19] もあればどれだけパン長安で5秒間が行う
[00:04:22] けどマップ作ったらいい
[00:04:25] 感じん試合倒せしてまあどんなミスも何
[00:04:29] 今まで食ったわー
[00:04:31] それとももう少し半径4試合直前になっ
[00:04:33] たら0枚はルールチャット決まっているの
[00:04:35] かうご無事ブルーレイするカーっていうの
[00:04:37] とって言ったら
[00:04:39] バッキングを送っていうだけ
[00:04:42] それだけを聞いただけどまだ正式に決まっ
[00:04:43] てないからな野球を行ってます
[00:04:47] プレッシャー
[00:04:49] はいじゃあ今日は大ニュースですはい
[00:04:51] メイザーと朝グラミーくる選手が9月に
[00:04:55] 対戦決定ニュースが飛び込んでまいりまし
[00:04:57] た銘々皿引退し2017年にさえ行わ学
[00:05:01] 映画をれ公式戦はグレーは一応公式する畑
[00:05:05] その俺エキシビジョンのと思うぞだから
[00:05:07] まあまあこのままグレーが
[00:05:15] ブーブー
[00:05:21] ブーブー
[00:05:23] 言っ実際夏だったら
[00:05:27] 引退して5年経っている
[00:05:30] 45歳もう肉体的にはピークを迎えるで
[00:05:33] あろう29歳の mma のストライカー
[00:05:36] 8オンスで実際やったらどうなるかって
[00:05:38] からどうですまあ一般の選手だったら
[00:05:43] パン選手ちょっときついんじゃな
[00:05:45] まだもその6年間をどう過ごしてきたかに
[00:05:47] 言うと思ってホプキンスだって
[00:05:50] 46歳て人生系ゲイゲイの世界
[00:05:52] チャンピオンだといっしょどうなんだろう
[00:05:53] ねぇそのめぐ座がどれぐらい落ちてるか
[00:05:56] まあそれは全盛期の頃に比べたら相当
[00:05:59] 落ちをしてると思いますスピードとか反応
[00:06:01] とかは下がるでしょ3ガン
[00:06:03] 金払えば8ランドでもやるよっつってっか
[00:06:06] ねっすごいだけで脂肪性やそうですパンチ
[00:06:10] だけでしょ
[00:06:10] アジア外相前回大事に出た時て10億とか
[00:06:13] 11億と言われてるよね
[00:06:15] なんかちょっと俺は小屋夫するのがさあ
[00:06:18] laska は選手とまぁエキシビション
[00:06:21] ではねあんだけ改定さがあるちょっと
[00:06:22] スパーリングではないをやって10億だが
[00:06:24] 中直まあこれ言ったら
[00:06:27] 何言ってんだと思われるかもしれないけど
[00:06:28] 前回ナスカ選手がやるってなったときに
[00:06:31] やっぱり日本で一番やるべきっていうかさ
[00:06:35] やるな等しいのは俺は村田さんだろうなと
[00:06:38] 思ったんだけどボクサーとしてねでも
[00:06:40] ボクシングルールなんだけどボクシング
[00:06:42] じゃないもんね
[00:06:44] だからもエンターティメントだよね
[00:06:46] enter 会は口で言ったらもう汗から
[00:06:49] 選手が一番いいんだろうね今一番視聴率
[00:06:52] っていうかその数字を持ってるもんねただ
[00:06:54] その勝敗っていうかどういう内容になるの
[00:06:57] かっていうのはちょっとどうなのそこに別
[00:06:59] 興味はないかな俺は実際問題ボクシング
[00:07:02] ルールでやってあんだけ体重差がある
[00:07:05] キックボクサーが勝てるわけないじゃない
[00:07:06] ですかそう
[00:07:07] そういう勝負論とか以前の問題にすべて
[00:07:11] あん時だってレーザートナーすかせ喋って
[00:07:14] nascar 選手かてんじゃねーかって
[00:07:15] 言ってる人ちょっといたよけっこういます
[00:07:18] よだからそのボクシングのキングというの
[00:07:21] はどれくらい桁違いな存在なのかっていう
[00:07:24] のをイメージとして一般大衆に伝えたわけ
[00:07:27] じゃないですweather だから書く
[00:07:29] とか新規性がちょっと上がったの土地は
[00:07:32] 経ってるからねぇ
[00:07:34] あの頃よりもがこのよりも上がっていると
[00:07:36] いうことはないでしょまあでもボクシング
[00:07:40] っていう曲なりよりも知り尽くしてる男が
[00:07:42] 大丈夫だっつーんなら大丈夫なんでしょと
[00:07:45] 思うけどね良くも悪くん一番スペシャルだ
[00:07:48] からねボクシング史上最高の選手なんじゃ
[00:07:50] ないの
[00:07:51] その好き嫌いは分かれると思うよね
[00:07:53] スタイルとかさ
[00:07:54] ああいう立ち振舞いとかさ
[00:07:56] 好き嫌いは分かれと思うけどこと言って
[00:07:58] スキルっていう意味においてはねうーん
[00:08:01] それはなかなか薄れないと思うよ例えば
[00:08:04] スピードとか瞬発力が落ちるじゃないどう
[00:08:06] 考えたってインターしてんだから落ちる
[00:08:08] けど何かでカバーしたただその命名座の
[00:08:11] パンチャーさくら選手が産卵筒で倒される
[00:08:14] と思わないけどね行ったグローブ10
[00:08:17] オンスかねまあでも上に立って元々
[00:08:19] アメリカ字八幡すかういるため8やって
[00:08:22] いっ
[00:08:23] まあ自由でも8でも気をちゃんあると思う
[00:08:26] メイウェザーの患者作戦し倒れるか倒れ
[00:08:28] ないと思うよボクシングのスーパー
[00:08:30] スペシャルの選手っていうのは7年前の
[00:08:32] ことは7年経っているのにこんなことに
[00:08:35] なるのっていうのをって来たじゃあ現役の
[00:08:38] ナンバーワンってどうなるんだっておき
[00:08:40] ますボクシングでやるやるんだからええ
[00:08:43] ええええボクシングって協議の中で
[00:08:45] ボクサーが勝つのを当たり前だと思います
[00:08:46] しそれがねキックボクサーだった連盟の
[00:08:49] 選手までちゃったら崩れちゃうねっ0どん
[00:08:53] だけですけどスペシャルなボクサーが
[00:08:54] キックボクシングルールでやったらそれは
[00:08:56] 木もくさん勝てないと思うそりゃあ経ちが
[00:08:59] うっひゃーそう笑えになるっていうをと
[00:09:02] やっぱすごいよね仕掛けてくるよねすごい
[00:09:05] と教
[00:09:07] はいありがとうございました名文 a
[00:09:10] fighter の朝倉みくるサーガ9月
[00:09:12] にフロイドメイウェザー
[00:09:14] 試合をするということで前回まあ天神さん
[00:09:17] はボクシングは甘いという階級間した
[00:09:22] 朝倉みくるさんは階級的には同じくらいな
[00:09:25] んですがどうなると思いますか
[00:09:27] これはもう目上さんがわぁのルールでしょ
[00:09:32] はいボクシングです完全な
[00:09:34] うーん厳しいよねー turn round
[00:09:37] の予定なんですが天神さんは1ラウンド
[00:09:40] デー
[00:09:41] いやだからそれやってみないとわからん
[00:09:44] けど
[00:09:44] 分散も一番るところ彼の c 高いねー
[00:09:48] 家今朝は日照ミットを持たれてますがその
[00:09:51] 時に下山のファンちっていうのは
[00:09:53] 奥さん当たる感じです
[00:09:55] トゥルンと彼らが良い距離組んで e 3
[00:09:57] と売ってますから
[00:09:59] 当て方がうまいんで当て勘がん
[00:10:02] これ教えてもできないん
[00:10:05] ストリートファイトという感じも経験し
[00:10:07] てるんでしょ
[00:10:08] ねぇ
[00:10:09] そういう方は当てかと思うんですよ狙って
[00:10:12] 打つんだから
[00:10:14] 目を二猿の後は可能性も高いよ
[00:10:16] 高いと高いけどいざ神宮中で上がったら
[00:10:19] もう
[00:10:21] 懐が深いような気がしていけない夜も気が
[00:10:25] する
[00:10:26] はい
[00:10:27] メイウェザーは45歳です
[00:10:30] まだまだ強いですか
[00:10:33] 強いというか
[00:10:34] うまいんですよ
[00:10:36] 完治もらわないんですよ
[00:10:39] じゃあ今回もまあ名レーザーで完封するか
[00:10:42] ko で僅かという感じですかねレッスン
[00:10:45] 例があるん
[00:10:46] ただまあこれでまたボクシングの話題が一
[00:10:50] つ増えたというか楽しみですよ出るまた米
[00:10:54] the がしてという旗試合をするかって
[00:10:57] いう楽しみがあるんですよだからうん
[00:11:00] 今回の試合は2回目ということでどうなる
[00:11:04] かというのは楽しみでありますね
[00:11:06] ですよ
[00:11:08] 一説によるとこの前メイザーが朝倉日くる
[00:11:11] と青発表記者会見やったんですその記者
[00:11:15] 会見持っ11002億円
[00:11:19] いやーしゅごいが入ったり床にフラット
[00:11:22] つけると
[00:11:23] 大事ですかねぇ
[00:11:24] その記者会系の1時間ほどにを笛が増える
[00:11:29] 必ず一ねぇてねスキルが違うよねー
[00:11:33] 今回の試合で汗グラミーくる選手は長いを
[00:11:36] 大きくする有名にするのは目的
[00:11:39] tristar カーン
[00:11:41] 勝敗以外のところでもまあ楽しみがあるか
[00:11:43] なうんいいん
[00:11:46] 行くして小川囲碁をにて慕う行くしでお
[00:11:49] がーいぶん牛なおハお客してお顔ね武兵衛
[00:11:53] するの目指す4号
[00:11:57] ran が
[00:11:59] ん
[00:12:00] ああああああ
[00:12:02] いやー
[00:12:04] ガンガーガー
