=== 秋元強真 パッチー・ミックス 予想 朝倉未来 ===
ZxrfWO3fUQc | ジョビンのMMA塾 | 【解説配信】秋元強真vsパッチーミックス解説配信
hi3D4JjDDd0 | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】メインで戦う秋元強真、今までの道のりを振り返る 朝倉未来とのSNSでのアツいやり取りにも言及『RIZIN.52』試合前インタビュー
ifLXeUg1qOg | ジョビンのMMA塾 | 【ジョビン】秋元強真がミックス対策として青木真也と練習
o17e-Oc1Agk | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】秋元強真、パッチー・ミックスと至近距離でにらみ合い 鈴木アナ「２人が離れません」『RIZIN.52』追加対戦カード発表記者会見
bAZTAtG9_9c | RIZIN FIGHTING FEDERATION | 【Trailer】RIZIN.52 | 秋元強真 vs. パッチー・ミックス etc.
QgHPXvv31h0 | カクトウ5ch速報【格闘技まとめ】 | ミックス 秋元のある事に気付いてしまう【2chまとめ】【2chスレ】【5chスレ】
sh_cgpW_RNw | カクトウ5ch速報【格闘技まとめ】 | 秋元強真大金星！！！ミックスをKO！！！ 【2chまとめ】【2chスレ】【5chスレ】
jLcsTyYSAZI | 格闘技2ch5chまとめ | 【あれ？】ミックスがUFC2連敗でリリース、あれ？この人も？【格闘技反応】【ネットの反応】
UA6s2jx5Lfg | U-NEXT格闘技公式 | 【RIZIN.52】秋元強真 vs. パッチー・ミックス【ハイライト】
2Bxsk9ZznfA | サンスポ | 【RIZIN.52】秋元強真、RIZINで〝敵なし〟状態もUFC行き否定「僕とやりたいなら日本に来い」　パッチー・ミックスを2回TKO撃破
gLMvqG88bQk | RIZIN大好き | 【超強真星】秋元強真VSパッチーミックス試合決定！
rqosb0xB-_w | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】秋元強真、青木真也との“寝技特訓”で自信つく！世界に強気発言「俺とやりたいなら日本に来い」
YDS9IxPZMfE | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】強すぎる19歳・秋元強真、元ベラトール王者をボコボコに！2R衝撃KO
3q8R2U9PeUY | RIZINみんなの反応集 【ネット民の反応】 | 秋元強真がパッチー・ミックスに２RKO勝ち！

=== 秋元 パッチーミックス 勝敗予想 ===
bAZTAtG9_9c | RIZIN FIGHTING FEDERATION | 【Trailer】RIZIN.52 | 秋元強真 vs. パッチー・ミックス etc.
lWaG7LGvg5A | ABEMA 格闘【公式】 | 【速報】秋元強真 vs. パッチー・ミックス｜【RIZIN.52】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
k3O1yzoXZJc | 【切り抜き】ジョビンから学ぶMMA | 【勝敗予想】パトリック・ミックスでも難しい
N_PzVxGoYXM | RIZIN【切り抜きch】 | 堀口恭司がパトリックミックスに敗北直後、RIZIN榊原CEOに謝罪する瞬間が切ない
UA6s2jx5Lfg | U-NEXT格闘技公式 | 【RIZIN.52】秋元強真 vs. パッチー・ミックス【ハイライト】
WGB0txClyOo | デイリースポーツ【公式】格闘技・プロレスチャンネル | 【RIZIN.52】高木凌 秋元強真の激勝に「やばいしか言えないです」自身の今後は武田光司にラブコール
7jCvNjl8iLo | おぎの日常【扇久保博正】 | まじか！RIZIN追加カード発表を見て！
KwWklEuIooE | 山本KID応援アカウント | 27歳の頃の山本\
3yjPjxd0sTE | oricon | 【RIZIN】榊原CEO、王者・シェイドゥラエフの対戦相手に言及　高市早苗首相の名言オマージュで熱いメッセージ　『RIZIN.52』合同公開練習
HRzZICrrmqA | ABEMA 格闘【公式】 | 【速報】ルイス・グスタボ vs. 桜庭大世｜【RIZIN.52】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
4Y3B03rrFjA | RIZIN 格闘技 切り抜き | 覚醒した朝倉海を試合後に絶賛する元谷友貴
dd3El2siWVo | ABEMA 格闘【公式】 | 【速報】秋元強真 vs. 萩原京平｜ RIZIN LANDMARK 12 in KOBE ABEMA PPVで全試合生中継！
YA9NkitJIUk | ABEMA 格闘【公式】 | 【速報】ビクター・コレスニック vs. 武田光司｜【RIZIN.52】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
RbX9HRq1JqE | U-NEXT格闘技公式 | 【RIZIN.52】征矢貴 vs  トニー・ララミー【ハイライト】
4P-NFCoeey8 | U-NEXT格闘技公式 | 【RIZIN師走の超強者祭り】篠塚辰樹 vs. 冨澤大智
x7q-cOoflNI | ABEMA 格闘【公式】 | 【速報】カルシャガ・ダウトベック vs. 久保優太｜【RIZIN 大晦日】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
Kk2FrRESnnM | oricon | 【RIZIN】冨澤大智、篠塚辰樹にTKO負け 2年越しのリベンジならず呆然「終わっちゃったな」　『RIZIN師走の超強者祭り』試合後インタビュー

=== RIZIN.52 秋元強真 勝敗予想 ===
lWaG7LGvg5A | ABEMA 格闘【公式】 | 【速報】秋元強真 vs. パッチー・ミックス｜【RIZIN.52】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
WGB0txClyOo | デイリースポーツ【公式】格闘技・プロレスチャンネル | 【RIZIN.52】高木凌 秋元強真の激勝に「やばいしか言えないです」自身の今後は武田光司にラブコール
bAZTAtG9_9c | RIZIN FIGHTING FEDERATION | 【Trailer】RIZIN.52 | 秋元強真 vs. パッチー・ミックス etc.
UA6s2jx5Lfg | U-NEXT格闘技公式 | 【RIZIN.52】秋元強真 vs. パッチー・ミックス【ハイライト】
HRzZICrrmqA | ABEMA 格闘【公式】 | 【速報】ルイス・グスタボ vs. 桜庭大世｜【RIZIN.52】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
3yjPjxd0sTE | oricon | 【RIZIN】榊原CEO、王者・シェイドゥラエフの対戦相手に言及　高市早苗首相の名言オマージュで熱いメッセージ　『RIZIN.52』合同公開練習
RbX9HRq1JqE | U-NEXT格闘技公式 | 【RIZIN.52】征矢貴 vs  トニー・ララミー【ハイライト】
x7q-cOoflNI | ABEMA 格闘【公式】 | 【速報】カルシャガ・ダウトベック vs. 久保優太｜【RIZIN 大晦日】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
OsO3cvXZVvY | ゴルフスポーツクラブ 💪g | RIZIN】秋元強真が萩原京平をレフェリーストップTKO「どんだけもらっても俺は心折れないから」bfd
Nwj3JaOdlH4 | ABEMA 格闘【公式】 | 【速報】神龍誠 vs. ヒロヤ｜【RIZIN 大晦日】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
aNBQezcRr3w | ABEMA 格闘【公式】 | 【速報】伊澤星花 vs. RENA｜【RIZIN 大晦日】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
xyTtkqFbxFA | oricon | 【RIZIN】篠塚辰樹、冨澤大智に圧巻TKO勝利！試合後も暴言連発「二度と俺の名前出すな」 ヒロヤに再戦要求も　『RIZIN師走の超強者祭り』試合後インタビュー
4P-NFCoeey8 | U-NEXT格闘技公式 | 【RIZIN師走の超強者祭り】篠塚辰樹 vs. 冨澤大智
Z75-iTe8_Fw | ABEMA 格闘【公式】 | 【速報】ラジャブアリ・シェイドゥラエフ vs. 久保優太 ｜【RIZIN LM13】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！

