[00:00:01] [音楽]
[00:16:02] なんとなく
[00:16:04] 体型とか
[00:16:05] 感じでスタミナ
[00:16:07] すごいあるのかな
[00:16:09] んで
[00:16:10] 武田選手のスタミナ系
[00:16:12] すごいんでそういう削り合いがちょっと見
[00:16:15] てみたいなね
[00:16:25] みんなそれがね武田選手のそこが見たいと
[00:16:27] 思います
[00:16:37] ですよね何だろうそれに持っていくのが
[00:16:40] すごいうまい選手ですねいやー佐々木選手
[00:16:43] はどう思いましたか
[00:16:45] 僕は見てみてまあやっぱりオール
[00:16:48] ラウンダーだなとメルマゴ一派なのに手札
[00:16:50] 1プレートにならずに
[00:16:51] 打撃をしっかりやるであの慶応
[00:16:54] フィニッシュも結構あるんですよ左フック
[00:16:56] 倒したりとかも結構あるんでしっかり
[00:16:59] 唾液をやりつつやっぱりでもテイクダウン
[00:17:01] 狙っていくようなあのブランドで接種対戦
[00:17:03] に
[00:17:06] 相性いいと思いますはい
[00:17:09] 対戦の経験のある谷地選手から見て
[00:17:11] 武田選手の強み
[00:17:14] 前に出る
[00:17:15] 根性ファイトですよねでタフだし
[00:17:18] 絶対引かないっていうところがやっぱり
[00:17:20] 強めですよね
[00:17:21] 選手
[00:17:23] 武田選手とやるの嫌ですもう私が男だっ
[00:17:25] たら
[00:17:29] いやーあの強みは本当に強いなあのモード
[00:17:32] 入ってるの強いっすよね
[00:17:34] それでは対するrizen代表の武田選手
[00:17:37] についてですがまずはVTRがあるので
[00:17:40] それを見てみましょう
[00:17:58] 3つ目だもんねいやー
[00:18:05] すごい
[00:18:07] 倒れないよ
[00:18:09] 今みたいなこれ下のタックルもまあ
[00:18:10] しっかりね切れるから本当
[00:18:14] 最初は
[00:18:21] 久美さんでボクサより全然したね
[00:18:32] しっかり
[00:18:40] 貰ってんのに
[00:18:42] 組んだら強いのねだけど
[00:18:44] 4つもやっぱプレッシャーあります
[00:18:46] やっぱりテクニックを持ってるし
[00:18:50] 力だけじゃなく
[00:18:51] 力のね流し方とかお前だろうし
[00:18:54] 黒木強そうなんですけど武田くんの
[00:18:58] なんかもうギュッじゃなくて
[00:19:01] ずっとこうまあ
[00:19:02] ルーズなんだけどずっと取れないみたいな
[00:19:04] だけ固めてる
[00:19:11] みたいな
[00:19:17] すごい年末この再戦でいいんじゃないです
[00:19:20] か
[00:19:22] 再放送でいいかもしれない
[00:19:27] わもう1回
[00:19:28] すごい
[00:19:37] ですよね
[00:19:42] 白いかわかりやすいですね
[00:19:52] 武田選手の映像を見ましたけどどんな
[00:19:54] どんなんでもう喋り尽くしましたけどね
[00:19:57] いやもう本当にあの
[00:20:00] 野生のゴリラたちが
[00:20:02] 偶然だったあんな
[00:20:09] 感じですか
[00:20:19] 逆に武田さんこの弱みってあるんですかね
[00:20:21] これ見ると
[00:20:23] 八千選手よく勝ったんだって思いました
[00:20:26] すごいな時もありましたね僕
[00:20:28] 本当に
[00:20:29] 立ってる
[00:20:32] めちゃくちゃ強いですよね
[00:20:36] やっぱ最初に当てるしかないですよね打撃
[00:20:39] とかね
[00:20:40] 効かせるっていうか
[00:20:42] 強いんで
[00:20:44] 抜群のタックルもしっかり切ってました
[00:20:45] からねやっぱ切れるって事はね次の
[00:20:49] アイテムね下のタックルの選手だから
[00:20:52] 組めるから
[00:20:54] 前に出れるってありますね
[00:21:01] 雷神vs
[00:21:04] 同士の対決です
[00:21:08] ね
[00:21:13] [笑い]
[00:21:30] それを踏まえてこの試合がどうなるかと
[00:21:33] 楽しみでフライ級なんですよね
[00:21:37] もっともっとフライ級ですけどお互い
[00:21:40] バンタムに上げてて久々のフライすんね
[00:21:43] そうですねそこも
[00:21:45] 調整具合がどうなっていくんだろうなって
[00:21:48] いうやっぱ今までより
[00:21:50] 減量過酷なはずですからそこの調整力も
[00:21:54] 試合に影響してくんのかなって思いますね
[00:21:58] はい見た感じは結構適正に近いかなと思う
[00:22:01] んですけどね
[00:22:21] 運動力
[00:22:22] 半端ないから
[00:22:23] 太れないと思うんですよね
[00:22:27] 適正ですよね
[00:22:30] 本当に2人とも久々のフライ級なんで
[00:22:33] コンディションとか体調がすごく気になり
[00:22:34] ますよね人
[00:22:38] 懐疑結構4kgとか5キロぐらいあるんで
[00:22:41] 影響しないことはないかなと思いますけど
[00:22:43] しかもこの階級での4キロとかってでかい
[00:22:45] ね
[00:22:46] あとは荻窪さんが2回負けてるんで
[00:22:50] 多分もう
[00:22:51] ラストチャンスぐらいな気持ちで
[00:22:53] 戦うと思うんですけどその気持ちが見れ
[00:22:56] たら
[00:22:56] すごくいい試合になるようなはい感じあり
[00:22:59] ますよねあの
[00:23:03] 結婚の後ねすごい厳しいというかシビアの
[00:23:08] マッチメイクでまだ教授とやるのみたいな
[00:23:11] ちょっと
[00:23:13] すごいなってそう教授とやることがすごい
[00:23:15] なって
[00:23:19] 試合したくない
[00:23:25] んだよね
[00:23:28] でもやっぱ
[00:23:31] 受けて立つってことはこう称賛するかある
[00:23:34] と思うんでそこに見ても2せてもらいたい
[00:23:38] ですよね
[00:23:39] うるかさんはどうですか僕は今でもやっと
[00:23:43] やってくれんのかと思いますよ
[00:23:45] 僕は逆にそのあの過酷なバンタム級
[00:23:48] トーナメントだったじゃないですか
[00:23:50] あれってかなり多分
[00:23:52] 命削ってた1年だったと思うんですよ
[00:23:56] ロードトゥ
[00:23:57] 堀口さんねあれで勝った勝者がや
[00:24:00] るっていう話だけどそれをもぎ取ったおぎ
[00:24:04] ちゃんがそうですね
[00:24:05] キムスエット
[00:24:10] かと思ってここはもうやって欲しかったん
[00:24:13] で今回の
[00:24:16] 代表という形で出場するのですが
[00:24:20] 皆さんご存知だと思いますが一応説明させ
[00:24:22] ていただきます
[00:24:30] レベルに挑戦し判定がちで王座に取得を
[00:24:34] 雑食に成功しました日本人初のベラトール
[00:24:36] 世界を順に輝きます今年再びベラトールに
[00:24:40] 挑戦したが2連敗だが強さに関しては
[00:24:42] 日本最高峰の選手ということでそうですね
[00:24:46] はいこの試合に関しては2度敗北を消して
[00:24:49] いる荻窪選手の戦い方ですね
[00:24:51] 非常に鍵になると思うんですけども
[00:24:53] お三方から見て
[00:24:55] 堀口選手を倒すポイントとなる
[00:24:58] 部分
[00:24:59] 先に例な選手これで
[00:25:02] 選手を倒すポイント
[00:25:04] ポイントやっぱり一番最初打撃した後なん
[00:25:07] でどう
[00:25:08] 組み立てていくのかなっていうのはあり
[00:25:09] ますね
[00:25:16] ただ男性の場合1発当たっちゃえばって
[00:25:19] いうのがあるのでそこの
[00:25:21] 金太郎選手はね全然
[00:25:24] 当ててましたからそういう部分なのかなと
[00:25:26] はそれでも教授にやるっても
[00:25:29] 至難の業だって僕らなんてね何年も練習し
[00:25:33] てねそう練習してましたけどあの入りに
[00:25:36] 合わせられたこと1回もないですか
[00:25:47] そこを狙うって言ってもねなかなか
[00:25:51] ちょっとなんかありそうな
[00:25:53] 難しいですけどね
[00:25:54] 本当に2回やった中での
[00:25:58] 持ってきたことない展開とかは狙いたいの
[00:26:00] かなと思うけどその一発動そんな簡単に
[00:26:03] 許さないとは思うんでどういう戦略になる
[00:26:06] のかなって
[00:26:07] 本当に
[00:26:09] 聞いたわけじゃないんだ本人にあれです
[00:26:10] けどかなり練ってると思うんですよね
[00:26:12] 作戦を2回目の時ダウンぽいのありました
[00:26:15] よね組からの方って
[00:26:17] ショックみたいな
[00:26:20] それはすげえ
[00:26:24] まあだから3度目はまた変わるんじゃない
[00:26:27] ですかね
[00:26:49] 白とか入れてると思うけど
[00:26:52] こんぐらいタイトに
[00:26:54] 詰めてからの
[00:26:56] フェイントなんだなぁ
[00:26:58] ぐちゃぐちゃにしたいですけどここのマン
[00:27:00] 怖いですもんねすごいし
[00:27:03] 距離もやっぱ長いですからね
[00:27:06] 触れない
[00:27:07] 触りに行けない
[00:27:10] あの一ランドのパンチ受けてのこのテイク
[00:27:13] なんですよね
[00:27:14] 練習式で2人は組はどうでしょう堀口くん
[00:27:17] の
[00:27:17] だって何年前ですかもう78年前
[00:27:21] ぐらいなことないでしょ
[00:27:24] まあ大嫌いでまあいつも言うけど力が
[00:27:27] すごいよね
[00:27:32] 金太郎
[00:27:34] ややこしいけど
[00:27:37] 本当にそうその例えば
[00:27:40] スクワット系とかもその重り持つやつより
[00:27:42] 全然重いのでやっちゃうくらい
[00:27:53] ちょっとね方固めは昔から得意だった
[00:27:55] [拍手]
[00:27:59] りできる感じだよねあまり練習では使わ
[00:28:02] なかったんだけどまねるケープ戦も
[00:28:04] カタカタですね
[00:28:07] [拍手]
[00:28:10] いい試合でしたよね
[00:28:12] 医者でしたね
[00:28:16] はいじゃあ試合図を見ていただきました
[00:28:18] けど安選手改めて堀口君どうですか
[00:28:21] 強いっすね
[00:28:22] 穴がない本当に
[00:28:24] 穴がないです
[00:28:27] ガジ乗ってきた
[00:28:33] コンプリート
[00:28:33] 本当に穴がない
[00:28:34] 完成とか高いですね本当に
[00:28:36] 試合する人大変だなっていう
[00:28:38] のは本当に大変です
[00:28:40] 早いっすよねもう切り替えも早いし
[00:28:43] 全部で勝負できるし
[00:28:45] 奥さんどうするんですかね
[00:28:54] 選手側からしてもうだからああいう
[00:28:56] カウンター
[00:28:59] 反応に反応
[00:29:01] 絶対そういう反応してくるものにこう当て
[00:29:04] ていくしかないんだけどそれ
[00:29:06] わかっててもできないですよね
[00:29:08] こうぼーっとしてたら絶対打ってきて
[00:29:10] くれるんでそれこうやってカウンターとか
[00:29:14] 逆にねやってたけどまあそれであの
[00:29:17] 凱旋氏はちょっと当ててねあの右当てまし
[00:29:20] たね
[00:29:20] あれはもうああいうのってね多分10回
[00:29:24] やって100回やって1回当たるかどう
[00:29:26] かって感じだと思いますそれにね
[00:29:29] 全賭けしてもいいしそうですね私
[00:29:34] 勝負でもう4の字で組んでっていうもう
[00:29:36] 距離をもう潰して潰してですね狙いとかで
[00:29:39] 固めるしかないのかなと思うけどバック
[00:29:42] 取れないとやっぱきついですよね多分下に
[00:29:44] 立ち上がるだろうからマグロスからマグロ
[00:29:48] 抑えられない
[00:29:50] 鰹でしょ
[00:30:04] じゃあちょっと今度は逆に
[00:30:07] 代表の
[00:30:08] 選手
[00:30:09] 試合映像を見ていただきたいと思います
[00:30:13] ちょっとウルカー入ってるもん
[00:30:15] [音楽]
[00:30:17] ねー
[00:30:22] の関数高いですね
[00:30:25] 全部綺麗に全部できますね
[00:30:34] 本当に
[00:30:37] なんかこの要素で撮っていくところが完全
[00:30:40] にわかってますよねちゃんと
[00:30:43] この試合に関してはやっぱし大きくも
[00:30:47] 選手がしっかりリングで練習ロープで練習
[00:30:50] してんなっていうのすごい感じたんです
[00:30:52] けど
[00:30:53] やっぱしこう壁レスとかになりがちじゃ
[00:30:57] ないですか壁あのねケージとかだけど
[00:31:00] やっぱそこでちょっと
[00:31:02] 差出たのかなって
[00:31:04] 井上選手は
[00:31:06] 練習環境でこのリング
[00:31:08] でこの
[00:31:11] スクランブルや環境があったのかなって
[00:31:12] そう思うんですけどどうですか
[00:31:17] いつもだったらここで
[00:31:19] 固定できるのを大きく
[00:31:21] むくんが
[00:31:23] うまく逃げたりもうここら辺削れちゃって
[00:31:26] ますよねもう結構これで削れて立ってから
[00:31:29] はかなり消耗しましたね日本選手がバック
[00:31:32] 取られるイメージがあんまりないんでそう
[00:31:34] ですね
[00:31:35] こういう受けの弱さも出たのかなっていう
[00:31:45] はい
[00:31:46] 映像見ていただきましたけど八選手から見
[00:31:47] て荻窪選手の強みそして弱み」ってどんな
[00:31:51] 感じですかね
[00:31:52] スクランブル強いっすね
[00:31:53] 組んでからのこの際の攻防で絶対
[00:31:56] 優位なポジション取るっていうところ
[00:31:57] やっぱり
[00:31:59] 強いなあと思う人見てて
[00:32:00] 自信もあるんでしょうねこの
[00:32:02] 展開になったなっていう
[00:32:04] すごい子さんを持ったフィジカルも強いし
[00:32:06] 丈夫
[00:32:07] スタミナも切れないでさっき言ったように
[00:32:10] 際でちゃんと取りきるとか
[00:32:12] 逃げるのも上手だしああいう工房やったら
[00:32:16] 強いですよね
[00:32:21] 選手ももう僕も昔から知ってるんでもう
[00:32:24] コンプリート入った代表みたいななんでも
[00:32:27] できるみたいな打撃もできるし
[00:32:29] みたいな
[00:32:30] ただもう教師と同じ時代に
[00:32:33] 同じ階級ってだけでちょっとかわいそうだ
[00:32:36] なってぐらいであの
[00:32:39] 穴ないっすよね元々
[00:32:41] 戦績がめっちゃいいっすもんめちゃくちゃ
[00:32:43] いいですねはい
[00:32:44] めちゃくちゃいいですね
[00:32:48] ほぼ負けてないですね
[00:33:18] ストーリーが一番あるんじゃないですか
[00:33:41] [音楽]
[00:33:53] [拍手]
[00:34:01] 選手の紹介をお願いします
[00:34:03] レスリングがバックボーの元ベラトール
[00:34:05] 世界バンタムキュウオウジャー
[00:34:07] 現在はヴェラトール世界バンタム級
[00:34:09] ランキング3位
[00:34:10] 先生は26勝4敗
[00:34:13] 現在のベラトールを代表する選手の1人
[00:34:16] 26勝4敗
[00:34:19] すげー成績ですねはいじゃあアジアー選手
[00:34:23] のVTRがあるんでまずはそれを見てみ
[00:34:25] ましょう
[00:34:28] エドワードも元々シュートですもんね出
[00:34:31] そうね
[00:34:33] めっちゃ反則してたイメージがそうか
[00:34:36] アジェッタはTJの
[00:34:38] ジムっすよねDJディナーショーの
[00:34:42] フットワークに似てるんすよね
[00:34:45] このスタイルでもめちゃくちゃ好きなんす
[00:34:47] よねTJのスタイル
[00:34:49] 結構わけわかんない
[00:34:51] スイッチの仕方しますね
[00:34:52] すごい角度から
[00:34:55] やっぱ足が止まらないっすよね
[00:34:58] [音楽]
[00:35:08] フィジカルエグそうな
[00:35:11] では映像を見てもらいましたけど
[00:35:14] 皆さんの印象ちょっと聞いていきますいや
[00:35:15] まあ強いシンプルに強いですね
[00:35:18] うんはいでこのなんつーの距離と
[00:35:21] 角度
[00:35:22] 上手く使って
[00:35:24] 常に自分の
[00:35:26] 心地いい距離と戦ってるんだろうなって
[00:35:28] いうのは見てて思いましたねあれをずっと
[00:35:31] 多分最終ラウンドまでやり続けるから
[00:35:34] 相当スタミナもあるしなんかアーチレッタ
[00:35:37] スタイルというか
[00:35:39] 勤務スーチョロとか噛み合うような気がし
[00:35:41] ますけどね
[00:35:41] やっぱずっと足動き止めないで
[00:35:46] スイッチもしまくってフェイント入れ
[00:35:48] まくってってあれずっとやられたらやだ
[00:35:50] なっていうのは
[00:35:51] 単純に思いますね
[00:35:57] すごい好きなんでスタイルがやっぱりその
[00:35:59] TJディナー賞ももともとすごい好きだっ
[00:36:02] たんですけどそのスタイルにやっぱり
[00:36:04] 似てるというかでもTJともまた違う
[00:36:07] スタイルがあって
[00:36:08] すごいフィジカルも強くてレスリングも
[00:36:10] できる本当に26勝4敗っていうね伊達
[00:36:13] じゃない成績がつくだけど
[00:36:16] 書いてあると思いますはいあんなに足
[00:36:18] 動かして引き追い詰めだと思ったあの黒崎
[00:36:21] から怖いですよねあれどうやってんのって
[00:36:23] なりますよ
[00:36:25] だからあれを目の前でやられた時に
[00:36:28] TJとも僕スパーしたことあって
[00:36:31] わかんないんすよ
[00:36:32] 足が運びが
[00:36:33] 足だけ見ててもわかんないしあれなんで今
[00:36:36] 変わってんのみたいな
[00:36:37] 感じになって
[00:36:39] ジャブだったものがストレートになって
[00:36:40] たりとか
[00:36:42] すごい不思議と
[00:36:43] リズムがあると思うとすごいですよすごい
[00:36:45] ですよね
[00:36:46] 今見た感じの強みと見た感じのウィーク
[00:36:50] ポイントがあれば
[00:36:52] 選手
[00:36:53] 角度を取るの上手いっすねあと距離だから
