[00:00:00] レスラー系はもや選手すごい得意だ
[00:03:02] ストライカーのは苦手だとストライカー
[00:03:05] 相手だとやっぱ朝倉カ選手とかそう堀口
[00:03:08] 選手とか堀口選手ちょっと
[00:03:10] オールラウンダーまちょっと2人はね
[00:03:12] ちょっとレベルがあれだけどそういう
[00:03:14] ところにはま確かに敗戦してるけどうん
[00:03:17] 太田選手とか倉本選手とかうんには万力の
[00:03:21] 強さをせとこありますねそううんで特に
[00:03:24] 元谷選手はその序盤の打撃の反応の悪さ
[00:03:28] みたいのがあると思うのでうんそこは秋本
[00:03:31] 選手のそのハンドスピードだったり表選手
[00:03:34] としてはやっぱり相性が悪いのかなとそう
[00:03:36] いうとこを見てもますほと秋本選手の打撃
[00:03:40] ジャブがうまいしそのジャブがうまい選手
[00:03:43] は結構モさんはこうもらっちゃうところが
[00:03:46] あるから結構それでこうダブルアムガード
[00:03:48] ガードしたところがで最近のさちょっと
[00:03:51] 進化しててですねはい踊るダブルアーム
[00:03:54] ガードになったですよ知てますちょ動くん
[00:03:57] ですよこれ返すですよああなのでまここも
[00:04:02] 多分対策バに積んでくんじゃとなるほど逆
[00:04:05] に言うとその秋雲選手はえっと鈴木選手の
[00:04:09] 試合で組の強さも披露してくれてこれ驚い
[00:04:12] たんだけど確それでもやっぱりあの金太郎
[00:04:15] 選手にバック取られてたシーンがどうして
[00:04:17] も俺はなんか今回のその元屋さんを予想
[00:04:20] する不安予想なんだけどあそこ元屋さん
[00:04:22] だったら取り同じ形になったら取る
[00:04:24] でしょうと思うんだよね確1本まで行っ
[00:04:27] ちゃう感じがしますねその手はすごいそっ
[00:04:30] から逃げるの得意だった言ってたけど権の
[00:04:33] 強さぐらいの力を持たさ持ってると思うん
[00:04:36] だよねそこにそういう決めの強さとかは
[00:04:38] あとフィジカルの面はどう考えますか
[00:04:41] うーんそのシンプルな体の力の強さみたい
[00:04:45] なものは元さんのが上なんだろうけどただ
[00:04:50] スピードとか展開の速さとかていうところ
[00:04:53] で見ると秋葉選手はあると思うから
[00:04:56] フィジカルさっていうのはもしかしたら
[00:04:58] 試合の中ではあまりにうんそうじゃないか
[00:05:01] なと思うまだ体できてないよね体で負けた
[00:05:05] よねっていう風にはならないんじゃないか
[00:05:07] なまなので僕の予想はですねはいま打撃戦
[00:05:11] から始まりますから打撃戦では秋本選手が
[00:05:14] 優先に立つも本屋さんが地名だをもらわず
[00:05:18] にどっかでうまくえクリンチしてテイク
[00:05:24] ダウンの展開がどっかで生まれてうん1本
[00:05:27] 取るもしくはコントロール
[00:05:30] もしくは打撃戦でケさってことは元屋さん
[00:05:34] が負ける展開もあるってことですかあり
[00:05:36] ますそれなるほど迷ったって言ってるじゃ
[00:05:38] ないですかはいで結構その打撃で本当に
[00:05:41] ジャブうまいしワンツつなぎもうまいし
[00:05:44] テンポ早いし一発1発にこだわりが全然
[00:05:47] なくてああこれで倒れろみたいな打撃を
[00:05:50] 絶対打たないからなんからパンパン
[00:05:52] パンパンパンパンパンパン出されてってま
[00:05:54] パニックになっちゃうってのもあると思
[00:05:56] 分かんないうちにもう経されちゃうあんま
[00:05:59] パンチに一発にこだわらないからこそ
[00:06:01] テイクダウンディフェンスしやすいみたい
[00:06:03] なところも絶対ありますからねあとねその
[00:06:06] スタンドのパンチがうまいのもちろんだ
[00:06:08] けどパウンドの処理もめちゃくちゃうかっ
[00:06:10] たあのめっちゃインパクトの時間が短くて
[00:06:13] ダウンしたら仕留められちゃなるほどはい
[00:06:16] でも結構今喋りながらでも悩んじゃう
[00:06:19] ぐらいキたというかよよくわかんない
[00:06:22] ぐらいあの僕僕もやさんのあのディープで
[00:06:26] 平松選手やった時にはいはい最初めっちゃ
[00:06:28] ダウンしてもなんフィニッシュ寸前まで
[00:06:31] 行かれたシーンとかやっぱ蘇ってくると
[00:06:34] あれがま秋本選手だったら終わらされてる
[00:06:37] 可能性も高いなと思うんでそれはねはい
[00:06:40] またちょっとお忘れなようなですけどもう
[00:06:43] 一度お話しますさ2人います確にの元さん
[00:06:49] れの元さん出てきますんでれの元さんの時
[00:06:52] それあるんですよそうね僕今日話してるの
[00:06:57] 当りしてる
[00:07:01] 始まるまでマジでわかんないマジでわかん
[00:07:03] ないほと当日現れるまでも出てくるか
[00:07:06] わかんないからでもハズれで出てきて2
[00:07:10] ラウンド目ぐらいから当たりに戻してくる
[00:07:12] 強さもありますいやただ元々元谷さん自体
[00:07:16] は強いから2人いてもこう真ん中に寄って
[00:07:18] くる
[00:07:19] ねその強みもありますよねうんまたその
[00:07:23] 秋本選手が一切そこが今見えないじゃない
[00:07:26] ですかなんか奇妙な強さというかそうあの
[00:07:29] うん本当にそう奇妙な生き物なんでこ
[00:07:33] あんな若くてあんな強くてさそうねしかも
[00:07:36] 子供の頃からやってたわけじゃなくいや
[00:07:38] どうどういうことなのだからこのままここ
[00:07:41] もスカッとクリアして行っちゃうところも
[00:07:44] 想像できるし元屋さんみたいな
[00:07:47] オールラウンダーMMAが本当強い人と
[00:07:49] やってそこが見えるところもま見てみたい
[00:07:52] 気持ちもあるしっていうところで楽しみだ
[00:07:54] なって感じですねこれもしですよはいこの
[00:07:57] 段階で元屋さんをにはい勝つようなことが
[00:08:01] あればはいこれはいずれ日本の最強の選手
[00:08:05] になるのはもう間違いないでしょ日本す
[00:08:09] ませ間違えましたアジアはい
[00:08:13] いやせかもしれないていうところはね本当
[00:08:17] にこの一斉で占えると思いますはいアは
[00:08:21] なんで元屋さん僕はまあれですねどう見て
[00:08:25] も元屋さんの方がやゴリラに強いじゃない
[00:08:28] ですか
[00:08:30] どう見てもなそれはどう見てもゴリさんの
[00:08:34] 型だ怒らねどう見てもこうちょっと系統
[00:08:39] 一緒なんで髪型だけす誰と一緒な
[00:08:44] の僕僕全然違うだろ全然違うだろ怒られる
[00:08:51] よということではいいや楽しみすね当日
[00:08:57] とんでもないスターの誕生を目撃すること
[00:08:59] になるのかま晩の元さの強さを見ることに
[00:09:03] なるの楽しみにしておりますこの動画を見
[00:09:06] てごみあるなって思ったらコメントグッド
[00:09:10] ボタンお願いしますお願いしますお願いし
[00:09:13] ますご視聴ありがとうございました
[00:09:15] ありがとうございました熱が出たお腹痛い
[00:09:19] 痛い怪我したポキって言った様々な症状に
[00:09:23] 心味になって信いたしますお気軽にお
[00:09:26] 問い合わせください
[00:09:28] 武蔵村山クリニック
[00:09:32] 男チャンネル登録よろしくねグッドボタン
[00:09:36] もよろしく
[00:09:42] [音楽]
