[00:00:01] きしょきし
[00:05:27] とかやってるんで。うん。分析力とかわか
[00:05:31] うん。たけてると思うんで。でもテイク
[00:05:33] ダウン能力も正直そんなにないと思う。
[00:05:35] ビニシウスからテイクダウン奪うのもシナ
[00:05:37] の技と思うね。うん。ただ寝技になったら
[00:05:40] ちょっと荒けずりな部分があるんで
[00:05:42] ビニシウス選手が。うん。だからま、勝つ
[00:05:46] とし
[00:05:46] たらうん。下になって、ま、この試合に
[00:05:50] 関しては引き込んでもいいと思うけどね。
[00:05:52] 変に打撃とか一切やらずに下になって、え
[00:05:56] 、上田さんのアームロックからの
[00:05:58] フィニッシュだったらあり得るかなと思う
[00:06:01] けど。ま、上取りたいけどね。上取りたい
[00:06:04] けどなかなかそれが難しい気がする
[00:06:07] 。うん。いや、これ結構強いよ、マジ。
[00:06:10] ビニシスって
[00:06:11] 。うん。西谷君とMMAルールでやっても
[00:06:14] 全然わからんのじゃないかな。全然わから
[00:06:17] んと思。どっちかつか。うん
[00:06:20] 。ま、これ普通に考えてビネシウスの慶王
[00:06:24] がちかな。1ラウンド。うん。上田さん
[00:06:27] 応援してるんですけど、なかなか難しいと
[00:06:30] 思うんで。久しぶりの試合でうん。
[00:06:34] ビニシウスのあのパンチに対応できんのか
[00:06:37] なと思っちゃう。なんかもう面食らう気が
[00:06:39] する。うん。あの回転力、あの打撃の強さ
[00:06:43] 。うん。でもちょっと意地が見たいけどね
[00:06:47] さんのうん。自分が、ま、勝つことよりも
[00:06:50] 、え、セコンドとか、え、してる自分の
[00:06:53] 選手が勝つことの方が優先順位が高いよう
[00:06:56] な気するんやけど、上田さんって本当に
[00:06:58] 思いやりあるし、そこまで勝つことにうん
[00:07:02] 。執着してない気が正直しちゃうんやけど
[00:07:04] 、でもね、ファイターとしてリングに
[00:07:07] 上がったからにはそこで執着ね、するべき
[00:07:09] やし。うん。意地が見たいな。で、取れ
[00:07:12] んかったとしても、とりあえずタックル
[00:07:14] 行った方がいいんじゃないかな。
[00:07:16] タックル行ってうん。引き込むというより
[00:07:19] も流れんの中で下になるのはしょうがない
[00:07:20] と思うんで、下になって、えー、
[00:07:24] アームロックうん。からの技があればそれ
[00:07:28] だけはまだフィニッシュの可能性あるかな
[00:07:29] と思うけど。え、5分2ラウンドか。うん
[00:07:33] 。まあ、普通に考えててでもビニシウスが
[00:07:36] 1ラウンド京王がち。はい。予想にして
[00:07:39] おきます。はい。ただちょっと上田さん
[00:07:41] 頑張ってほしい。はい。そんな感じでは次
[00:07:44] 行かしていただきます。えっと、次が、え
[00:07:50] 、佐々木ひ郎V中や優雅。
[00:07:55] え、中や優雅のことあんまり分かって
[00:07:57] なかっ、え、ちゃんと調べてみたんです
[00:08:00] けど、ま、第2戦争出てることは俺も知っ
[00:08:02] てたんやけど、そんな強くないんじゃない
[00:08:05] かなと思ってたんやけど、思った以上に
[00:08:06] できるよね。トミーヤ野に負けてんのかな
[00:08:09] ?トミーヤ野に負けた試合とか見たし。ま
[00:08:13] 、でもトミーヤ野がめちゃめちゃ強いから
[00:08:15] ね。
[00:08:16] それ足勘であっさり負けてて
[00:08:18] 。うん。元々これ柔道かな?なんやけど
[00:08:21] 柔道ってま、これも白い人多いと思うけど
[00:08:25] 足感が禁止なんですよ。え、だから柔道化
[00:08:28] に足感やるっていうのは超有効で、だから
[00:08:31] 佐々木君からしたら相性はうん、いいと
[00:08:33] 思う。でもね、トミー矢野戦負けたけど
[00:08:37] トミー野と戦うって時に足感の対策はした
[00:08:40] と思うよな。あっさり取られたけど、それ
[00:08:44] が生いんじゃないかなと思うんやけどな、
[00:08:45] この試合で。ただね、これ全然騒がれて
[00:08:50] ないけど、このこと触れてるやつ俺見た
[00:08:52] ことなかったけど、これね、75km契約
[00:08:55] なんですよ。で、中やって調べてみたら
[00:09:00] フェザー級でやってて、格闘代理戦争とか
[00:09:03] だから体重さむちゃくちゃあります、これ
[00:09:05] 。はい。だからもうかわいそう。これを
[00:09:08] やらされ。ま、でもしょうがないけどね。
[00:09:10] まあね。うん。角がうん。そんなにないっ
[00:09:13] ていうか、え、佐々木選手に合わせて
[00:09:16] しまうのもしょうがないと思うんやけど。
[00:09:18] うん。75kmでこの体重差がさすがに
[00:09:23] 痛いんじゃないかね。2人とも
[00:09:24] グラップラーと思うんで。グラップラーは
[00:09:26] やっぱね、体重い方が絶対有利と思うんで
[00:09:28] 、俺。うん。これは佐々木君有利じゃない
[00:09:32] かなと思うけどね。ただ普通の同じ体重
[00:09:35] だった時に考えたらうん。寝技、中選手も
[00:09:39] 寝技もできるし、レスリングめっちゃ強い
[00:09:41] 。柔道事みの四つの投げとか強いし。
[00:09:45] そんな簡単にテイクダウンされへんと思う
[00:09:46] よ。佐君
[00:09:48] から体重差あるからな。
[00:09:52] でかうで打撃だったら仲やのが有利な気が
[00:09:56] するけど結構パンチできるよ。うん。打撃
[00:10:00] だったら同じ体重だったら中や選手有利と
[00:10:03] 思うけど、ま、別にうん。めちゃくちゃ
[00:10:06] できるわけじゃないけど。
[00:10:08] やっぱ体重差を加し
[00:10:11] て君が1本勝ちするんじゃないかなと思う
[00:10:14] けどな、これ。うん。中も全然悪くない
[00:10:17] けど。ただ各闘技に対する思いが全然見え
[00:10:21] へんけど俺トミーやのから、え、そっから
[00:10:25] 制してないよね。おそらくそれも上目指す
[00:10:27] んだったらどうかと思うし
[00:10:29] 。うん。ちゃんと練習もやってないんじゃ
[00:10:32] ないかな、このオファー来るまでは
[00:10:34] 。うん。やっぱここは佐々君が寝技
[00:10:38] 持ち込んで中選手も寝技できる
[00:10:41] けどうん。足間とかあと三角とかもね柔道
[00:10:46] にないわけじゃないけどあんまりないのよ
[00:10:48] 。その文化がそのガードポジションから
[00:10:51] パスしようっていう動きなんかほとんど
[00:10:53] ないと思うしね。ガードポジションになっ
[00:10:54] たら、え、柔道化はそのまま下向いて
[00:10:57] うつ伏せになって亀になって待つとそう
[00:10:59] 思う。だから下からの三角とかにもそんな
[00:11:03] 対応できないんじゃないかなと。た、魔け
[00:11:04] シアとかで練習したからそれはま、ある
[00:11:06] 程度なんとかなるか
[00:11:07] 。うーん。でも足間でやられちゃうんじゃ
[00:11:10] ないかなと思うね。うん。でも中選手から
[00:11:13] したらとにかく打撃でテイクダウンされ
[00:11:15] ないことはできると思うけど。で、寝技に
[00:11:18] 付き合わずにうん。全然あるとは思うん
[00:11:23] ですけど、佐々木君が1ラウンド足間で1
[00:11:25] 本勝する可能性が1番高いんじゃないかな
[00:11:28] と思います。はい。そんな感じかな。はい
[00:11:33] 。では次行かしていただきます。次が
[00:11:35] ちょっとスマホに試合順に乗ってるんで、
[00:11:39] ええ、本戦第1試合から行かしていただき
[00:11:42] ます。平本城Vたまる時。はい。この試合
[00:11:48] からうーん。これね、
[00:11:52] えー、なんとなくまだ試合とかちゃんと見
[00:11:54] てない時、たまる時予想にしてたんです
[00:11:57] けど、なんかポテンシャルめっちゃ高いっ
[00:11:59] ていうね、言うしね
[00:12:01] 。うん。で、平本ジはMMAね、結構前
[00:12:05] からやってるけどうん。たまる時選手が
[00:12:09] ファイターズフローっていうのもね、いい
[00:12:10] と思わってんのが結構対応できるんじゃ
[00:12:13] ないかなと思ったんやけど僕ここ勝利、え
[00:12:17] 、勝敗予想平本ジに変更しておきます。
[00:12:20] はい。そして結構自信があります。これは
[00:12:23] たまる時と思ってたけどこれ平本ジなと
[00:12:27] 思った。え、いろんな映像を見た限り、え
[00:12:30] 、田丸選手
[00:12:31] は確かに打撃はめちゃめちゃ強い。なんか
[00:12:34] ナ川天使似てるよね。ファイトスタイル。
[00:12:37] え、サスポやし。え、ね、ナ川天津との
[00:12:40] 結構最近のキックスパーとかも見たけど、
[00:12:43] え、2024年末かな。そのスパーとかも
[00:12:46] 見たし、え、試合ライズの試合とか何試合
[00:12:48] か見たけど打撃はもうめっちゃいい。うん
[00:12:52] 。で、え、でもそんな殺能力はそこまで
[00:12:55] ないよね。ないわけじゃないけど。うん。
[00:12:58] パンチも蹴りもできて、えー、何よりも気
[00:13:01] になったのがね、距離が近いよね。距離感
[00:13:05] が近くて。これ結構面くらうと思うよ。
[00:13:08] 実際に試合になった時の距離感の搭作に。
[00:13:12] 田選手の良さがあんま出づらいと思う。
[00:13:15] うん。思った以上に遠いと思う。試合に
[00:13:17] なったら。うん。で、近い距離でそれね、
[00:13:20] 打撃やったら田丸選手のが圧倒的有利なん
[00:13:22] でしょうけど、まず面食らうと思うし。え
[00:13:25] 、平本ジの試合を見たんですけど、改めて
[00:13:28] 、え、有子戦とか見たけど4つからの
[00:13:32] テイクダウンが素晴らしい。これどこで
[00:13:34] 覚えたんかなってぐらいね、ま、相手が有
[00:13:36] なんでね、え、ま、そこまで参考にならん
[00:13:39] かもしれんけどでも田る選手よりは腰重い
[00:13:41] と思うよ、俺。勇志の方が現時点ではね。
[00:13:45] うん。で、やっぱりね、エめでそんな甘く
[00:13:47] ないと思うし。うん。こっから先はね、玉
[00:13:51] の選手めちゃくちゃ伸びるんでしょうし、
[00:13:52] ポテンシャルの高さはすごいけど。さすが
[00:13:55] にこれ平本城えね負けたけど木村戦も
[00:13:58] テイクダウン奪ったと思う
[00:14:00] し四つからのテイクダウンがめっちゃいい
[00:14:02] んですよ。うん。テイクダウン平本ジが
[00:14:07] 結構あっさり奪ってそっからでもえサブ
[00:14:10] ミッションの対応とかファイターズフロー
[00:14:12] でしっかりやってると思うから決めんのは
[00:14:14] 難しいんじゃないかなと思う。うん。そう
[00:14:18] 。決めって覚えんのにマジ時間かかるから
[00:14:20] 。ま、キープもそうやけどで、キープも
[00:14:23] そんなにはできんと思うけど、平本城現
[00:14:24] 時点では立たれたりもすると思うけど、で
[00:14:28] も何度もテイクダウン奪って、え、結構だ
[00:14:30] 、え、だんだんだんだん消耗してきて田、
[00:14:33] え、田選手がで、判定平本なんじゃないか
[00:14:36] なって思いますが。はい。ま、打撃
[00:14:39] めっちゃいいけどね。でもなかなかその
[00:14:42] 行きたり意識借り取るようなパンチじゃ
[00:14:43] ないし。うん。ま、蹴りとかもいいけど、
[00:14:48] それはさすがに平本城もうん。警戒するん
[00:14:51] じゃないかなって思うけどね。で、5分ね
[00:14:53] 、これ3ラウンドか。5分3ラウンドで
[00:14:57] キックのスタミナめちゃくちゃあるん
[00:14:59] でしょうけど、実際の試合でうん。組まれ
[00:15:03] た時の消耗ってすごいと思うよ。そこ平本
[00:15:05] ジはやっぱ慣れてるから。うん。有戦が
[00:15:08] そうやしうん。何試合もやってるんでそこ
[00:15:11] は慣れてると思うんでやっぱりこれ平本ジ
[00:15:14] が大幅有利なんじゃないかなと思って。
[00:15:17] 結構タロで自信あったんやけどなんとなく
[00:15:18] やけど調べてみたら平本城で俺自信あり
[00:15:22] ますこれは平本城が4つでうん。それ逆に
[00:15:26] 防げたらすごいけどね。たまるがでも多分
[00:15:30] 近い距離で戦いたいはずだ。田丸る選手は
[00:15:32] ある程度でも近い距離になったらより組ま
[00:15:35] れるしうん。発泡ふ下がりっていうかもう
[00:15:38] なんかすごいやりづらい。何この感じって
[00:15:40] パニックになると思う。田選手はうん。で
[00:15:44] 、広むとはタックルとかも入ればいいと
[00:15:46] 思うしね。
[00:15:47] うん。ここは平本城の勝利が、え、硬いん
[00:15:49] じゃないかなと僕は思います。はい。平本
[00:15:53] ジが3ラウンドつけ切って、え、判定ガチ
[00:15:56] 予想にしておきます。はい。では次行かし
[00:15:59] ていただきます。
[00:16:01] えー、次が、え、山本アーセンV富沢大地
[00:16:08] サマ。はい。山本アーセント。山本
[00:16:12] アーセンもサつけてもいいぐらいやけどね
[00:16:14] 。山本アーセン様対富沢大一様
[00:16:18] 。うん。山本アーセンはね、青木深夜さん
[00:16:22] 筆頭に色々いじったりして、ま、俺も
[00:16:24] もちろんいじったりしてて、結構ね、ネタ
[00:16:27] キャラみたいにはちょっとなってきて
[00:16:28] しまってるんですけど、ま、俺のせいも
[00:16:30] あるんですけど、まあでも強いよね。え、
[00:16:34] やっぱ福田龍夜戦の、え、ボクシング
[00:16:37] テクニックもめっちゃあったし。うん。ま
[00:16:40] 、ジャブめっちゃもらってた印象がある
[00:16:42] けど、でもね、普通に戦えたし、互角に
[00:16:46] 打撃でもなぜテイクダウン行かないのか
[00:16:49] もう意味が分からんかったけどもはい。
[00:16:51] もう意味が分からんかったけど、ま、夢で
[00:16:53] ね、お告があったからね。神様の怖いな。
[00:16:56] 神様のお告げどうなるんやろ。これ神のお
[00:17:00] 告げで膝蹴りに吸い込まれるように
[00:17:02] タックル池けみたいな夢見たらどうするん
[00:17:04] やろ。アーせ。それはもう効かんといて
[00:17:07] もうお告げとかもう遂行してください作戦
[00:17:10] を。
[00:17:11] もうで、え、山本アーセンと富沢大地が
[00:17:15] サウスポ同士なんですよね。で、見つの方
[00:17:18] がやっぱ膝は当たりやすいと思う。うん。
[00:17:23] ま、ちょっと古い話ですけど、え、藤田か
[00:17:26] 和vミルコクロコップの第1戦目とかね、
[00:17:29] 藤田和がオースドックスでミルコが
[00:17:32] サウスポーでタックル両足タックル入った
[00:17:35] 時に顔面に膝もらって藤田がちまめりに
[00:17:38] なってでも倒れなかったっていうね。あれ
[00:17:40] まだすごい印象残ってる試合ですけどうん
[00:17:43] 。やっぱ見解って膝が合わせやすいけど
[00:17:46] まずサスポ同士っていうので富沢は、え、
[00:17:49] 合わせづらいと思う。いつもよりいつもと
[00:17:52] かはね、最近膝蹴切りで慶用してるけど、
[00:17:54] ま、多分それが1番の得意技だと思うけど
[00:17:56] 、富座はで、パンチで考えた時にうん、
[00:18:00] 福田龍やにそんなパンチもらわんかった。
[00:18:02] まあまあジャブはもらってたけど、ま、
[00:18:05] フィニッシュ、えー、うん、ダメージでね
[00:18:07] 、別にフィニッシュされたわけじゃないん
[00:18:09] で、え、フィニッシュは難しいんじゃない
[00:18:11] かなと。富沢のパンチで元々そんな殺傷
[00:18:15] 能力ないし。うん。富沢大臣もおそらく
[00:18:17] 右きサウスポなんじゃないかな。うん。で
[00:18:20] 、打撃はだからそんなに膝蹴り、ま、
[00:18:24] 膝蹴りも絶対じゃないけど、ま、膝蹴りと
[00:18:26] ハイキックとかうん。あれを気をつけて
[00:18:28] たらいいし、そこまで山本アーセンからし
[00:18:31] たら脅威になるもんじゃないんじゃないか
[00:18:33] な。夢のお告げが1番脅威と思いますけど
[00:18:38] 。山本アーセントって普通に戦ったら
[00:18:41] アーセンと思うけど、やっぱりこの試合。
[00:18:44] うー。あ、ただ富沢大一さんがそういえば
[00:18:47] 俺ちょっとドキュメント見てないけど運転
[00:18:51] 手当たってるらしいね。ちょ、見てない
[00:18:52] けどこれちょっと見て見てたやつの情報や
[00:18:54] けどすごいね。富沢様らしいなと思った
[00:18:57] けどそれがま、いいと思うけど別にま、
[00:18:59] 格闘時にね、専念しようってことなん
[00:19:01] でしょうけど。うん。なんか大きく見せ
[00:19:03] よっていう富沢様らしい発想やなと思う
[00:19:06] けどね。俺は絶対いらんけど。運転手も車
[00:19:08] も俺はいらんと思ってるけど、ま、別に
[00:19:11] それはね、それぞれの自由なんで。え、ま
[00:19:13] 、でも書く時に書きって思いはすごい
[00:19:14] 伝わる。ま、それも含めてとにかく角集中
[00:19:17] して上に行こうってマジ俺は見えるけどね
[00:19:19] 。うん。めっちゃ見えるその姿勢は。富沢
[00:19:23] 様ね、ファイターズフローム行ってるのも
[00:19:25] いいと思うし
[00:19:26] 。うーん。富沢様が勝とうと思ったらどう
[00:19:29] すればいいかな。
[00:19:32] 膝蹴り黒って結構ね。うん。テイクダウン
[00:19:36] されるリスクもあるしね。俺アッパーの方
[00:19:39] がいいんじゃないかなと思うけど。これ俺
[00:19:41] ね、鈴木千にも言おうと思ってたんやけど
[00:19:43] 。うん。あの、この前関根さんがゲバ
[00:19:47] カールだったけ、ババカールにアッパーで
[00:19:50] KOされたけど、タックル入る時にあれが
[00:19:52] 1番リスクないと思う。うん。で、
[00:19:54] アッパーだったらその見解ちじゃない、
[00:19:57] そのサウスポ同士でもあんまり関係ない気
[00:20:00] がするし、リスクもないし。うん。ま、
[00:20:02] 膝蹴りもね、ちょっと見せたらアーセも
[00:20:04] 怖いと思うからタックル入んのがうん。
[00:20:07] たまに見せんのはいいと思うけど。うん。
[00:20:10] アッパーとかいいと思うけどな。タックル
[00:20:12] 入る時にリスクないし。うん。あとやっぱ
[00:20:16] ジャブ、サスポ同士ってやっぱジャブが
[00:20:18] 当たりやすいから。うん。サスポ同士とか
[00:20:22] 同士喧嘩の方がジャブは当たりづらいで。
[00:20:25] アーセンは福田にジャブはもらいまくって
[00:20:27] たから。うん。そうだな。俺だったら
[00:20:28] ジャブで組み立てていくと思うな。うん。
[00:20:31] 特にアーセンにはジャブがいいと思う。
[00:20:34] アーセンの武器って右フックやしジャブ
[00:20:37] だったら、えー、そのフック系に対して
[00:20:40] うん。当たると思うし、俺が富沢様の
[00:20:43] セコンド作んだらジャブで組み立てる。で
[00:20:45] 、え、最近できてるけどちゃんとタックル
[00:20:48] を気にしてるからって膝のフェイント
[00:20:50] ばっかり行って腰を低く構えるんじゃなく
[00:20:51] て普通の構えと本来の打撃が1番打てる
[00:20:55] 構えで戦うべきやしてまでもそれはできる
[00:20:57] と思うね。様いやでもさすがに難しいん
[00:21:02] じゃないかこの試合。うーん
[00:21:04] 。さすがに別にアーセン応援してるわけ
[00:21:08] じゃないですけど、ここは付け切られて
[00:21:13] うん
[00:21:14] 。やっぱりね、前も言はガブリトが得意な
[00:21:18] んでダースチョク覚えれたらいいと思う
[00:21:21] けど、
[00:21:22] まあうせにその決め技はない気がするな
[00:21:27] 。うん。でも判定でアーセンが、え、
[00:21:31] テイクダウン行きまくって、え、判定がち
[00:21:33] かな。で、伊藤ゆきに買ってんだよね。
[00:21:36] 川尻さんとの、え、勝敗予想で。え、伊藤
[00:21:39] ゆきは負けたっていうことになってて、え
[00:21:41] 、それ間違ってるって意見結構多かった
[00:21:43] けど、伊藤佑きにね、え、めっちゃくちゃ
[00:21:46] タックル行きまくって、え、勝ってあの
[00:21:48] 試合ね、本当感動したけど俺。うん。
[00:21:52] あんな試合が見ればうん。そしたら
[00:21:55] フィニッシュもできる気がするけどな。
[00:21:57] トイさんもやっぱ相当疲れると思うけど。
[00:22:00] 1分の試合ばっかりやってるし。その
[00:22:02] 組み合わせに長いラウンドやってないもん
[00:22:03] ね。多分ね、今までめちゃめちゃうん、
[00:22:06] 溜まる時と一緒でめちゃくちゃ消耗すると
[00:22:09] 思うけど、5分3ラウンドでやっぱり3
[00:22:11] ラウンドぐらいまで行ったらフィニッシュ
[00:22:13] できる気がするけど普通に。うん。やっ
[00:22:16] たらうん。で、ま、アセはその決め技
[00:22:19] まんまない気がする。俺がアセンなら
[00:22:21] チョークとダスチョク、この2種類を徹底
[00:22:25] して練習するけど、それができてるなら1
[00:22:26] 本勝ちできると思うけど。2ラウンドか3
[00:22:28] ラウンドで。うん。でもそれもないような
[00:22:31] 気がするし。あと練習環境が心配なよね。
[00:22:34] クレイジーBがなくなったっていうのは
[00:22:35] 結構メンタル的にも大きい気がするけど
[00:22:38] 悪い意味でね
[00:22:39] 。うん。そんな気がするけど
[00:22:42] 。うん。アーセンもでもミール彩かつがり
[00:22:46] でトライブ行ったらいいのに行ってんのか
[00:22:48] な?行ってるかもしれんけど。俺なら絶対
[00:22:51] 行くけど。ポテンシャルは高いんやから
[00:22:53] 練習環境どんどん変えてさ。うん。寝技と
[00:22:57] かも1から充実とかやったらいいのに。
[00:22:59] やってないよね。多分俺がアーセなら行く
[00:23:02] わ。うん。充実からすごいとこ行って寝技
[00:23:05] をゼロから襲われたいもレスリング強いの
[00:23:07] なんか分かりきってるからそっからのね
[00:23:10] 対応であったりとかフィニッシュであっ
[00:23:11] たりとかそうすればいいと思うけど。うん
[00:23:14] 。はい。ただまここは、え、山本アーセン
[00:23:18] の付け切っての判定がち。ただ富沢様がね
[00:23:21] 、勝得も見たいしうん。ま、ジャブで
[00:23:25] 組み立ててうん。タックルにアップ合わし
[00:23:28] たりとかするかな、俺だったら。はい。
[00:23:31] そんな感じではい。では次行かして
[00:23:33] いただきます。えー、次が、え、試合順が
[00:23:38] 朝久
[00:23:40] 。朝下の名前なんて言うんかな、これ。
[00:23:43] 朝久太陽か
[00:23:46] 。太陽選手。V宇雑吉選手。うざ選手って
[00:23:53] フジテレビの社員らしいね。全然知ら
[00:23:55] んかったわ
[00:23:57] 。うん。なんかヨディとのね、スパー動画
[00:24:01] をエッグして見たです。見たんですけど、
[00:24:04] あれのしちゃうんやと思っちゃいました。
[00:24:06] 今日ねえ、本人の承諾なしで。うん。ね、
[00:24:10] なんか蹴りまくって言うて、ま、蹴りが
[00:24:12] 得意なんですよね。蹴りが得意なんです
[00:24:14] けど、蹴りに弱いイメージがあるけど。
[00:24:18] うん。で、
[00:24:20] えー、うざ強いよ吉合にもきしいと思われ
[00:24:24] ちゃいそうですけど、本気で格闘技強い
[00:24:27] やつがうつ強しやって名前にするかなって
[00:24:30] まず思っちゃうけどね。うん。少なくとも
[00:24:33] 本気で取り込もうとするやつがうざ強い
[00:24:35] よしには俺もうせえへんと思うけど。うん
[00:24:38] 。井上がそんな名前にすると思う。色な。
[00:24:42] ちょっとね、神のような存在なんで
[00:24:44] ちょっと言いすぎかもしれんけど、それは
[00:24:46] ちょっと思っちゃうんですけど、ただ試合
[00:24:48] 映像見たらね、思った以上に強い今日ねえ
[00:24:52] 、白と体重戦とか見たけどダウン奪ってた
[00:24:55] し
[00:24:56] 。うん。ま、パンチも蹴りもできるし。
[00:24:59] うん。構えも俺めっちゃいいと思うし
[00:25:02] 。うん。強いよね。めっちゃ強いと思うん
[00:25:06] やけどステップとかもいいし。うん。でも
[00:25:10] もうこれ普通に考えて厳しいでしょう、
[00:25:14] 浅手に。いや、厳しいって。うん。4連勝
[00:25:19] してるんやけど最初にでポテンシャルは
