[00:00:02] 2024年首都圏初開催になりますヨボ
[00:04:25] てますしそうですそしてもう1つ特徴的な
[00:04:27] のが海外勢入ってきてるじゃないザ級に
[00:04:30] ついにそうなんすよあ邪魔なんす
[00:04:34] よ呼ばれなくなるんすよいやいやそんな
[00:04:37] ことないですよ逆に言うとそこで戦ってか
[00:04:40] なきゃいけそうですね本当にこうやっぱ
[00:04:42] 元々の形ってやっぱ日本大海外みたいな
[00:04:45] やっぱそういうのがやっぱ恒例と言います
[00:04:48] か格闘技の大5みたいなところもあるんで
[00:04:50] やっぱそういうところで海外勢と戦って
[00:04:52] もうぶっ倒していきたいですよねうんより
[00:04:54] ね海外からまた注目されるねえ試合が増え
[00:04:57] てくと思いますはいさそれでは敗予なん
[00:05:00] ですけれどもまずは日韓対抗戦3試合の
[00:05:02] 予想から参りましょうえ倉本和選手とヤ
[00:05:05] 選手の1戦そしてえフライ級ですね新誠
[00:05:08] 選手とジ選手の対戦ですねえそしてえ
[00:05:12] バンタ中島太選手とキ選手の対戦この3
[00:05:15] 試合が行われます日韓対抗戦は3試合
[00:05:18] まとめて皆さんに予想していただきます
[00:05:20] さあそれではですねえ皆さんお手元にある
[00:05:22] フリップえ見せていただきましょう
[00:05:24] オープン
[00:05:27] どうぞどうでしょうえっと
[00:05:30] まずですねえ井沢選手がえおキス選手とヤ
[00:05:37] 選手が勝つとそして龍選手が勝つそして
[00:05:40] 白川選手はえキス選手神龍選手倉本選手が
[00:05:45] 勝つとうんそしてえヒ選手がえキムスチ
[00:05:48] 選手キムスチ選手やっぱり硬いですね新
[00:05:51] 選手勝って新選手も硬いそしてえ倉本選手
[00:05:54] が勝つとまここで分れますねはいはいはい
[00:05:57] はいということなんですけれども選手が2
[00:06:00] 勝いっぱいで韓国チームの勝ちとえどうし
[00:06:03] てこういう予想にしたと教えていただけ
[00:06:04] ますかままずキムスーチョル選手は皆さん
[00:06:08] ご存知の通りうんはいあのバンタム級
[00:06:12] トーナメントを終わってその優勝者の仰木
[00:06:17] 久保選手に勝ったんですよはいはいもう
[00:06:20] 実質時期タイトル挑戦者なんじゃない
[00:06:23] かっていうぐらいな実力なんですけど韓国
[00:06:26] の試合に出てたんですよねはいでなくなっ
[00:06:30] ちゃっててでも圧倒的に強かったじゃない
[00:06:32] ですかやっぱりであのスタミナとあの何で
[00:06:37] もできる感じとあの泥臭さうんがもう中島
[00:06:42] 太一選手け切られちゃうんじゃないかなっ
[00:06:45] ていうような予想ですで心龍選手はもうま
[00:06:49] 前回ちょっと負けちゃったんですけどそこ
[00:06:51] からさらにその決めるっていことにすごい
[00:06:54] 多分執着してやってくると思うので1
[00:06:58] ラウンドではいま首チク系で1本取ると
[00:07:02] 思いますなるほどほほほほで倉本選手とヤ
[00:07:05] ジオ選手なんですけどちょっとヤジオ選手
[00:07:08] は沖縄の時にシジさんに打撃で沖縄ですよ
[00:07:12] ね外人でやりましたね正司さんに勝ってる
[00:07:15] のでその打撃の強さで押し切るんじゃない
[00:07:19] かなっていうような予想ですで2ラウンド
[00:07:21] を京王これ2ラウンドっていうのははい
[00:07:23] なんとなくなんと
[00:07:25] なくはい伊沢式の回答ですねなんとなく
[00:07:29] ありがとうございますはいということでし
[00:07:31] たそしてえ白川選手どうですかはいそう
[00:07:35] ですねえ中島選手とキムスーチョル選手ま
[00:07:38] ほもこれもあの井沢さんとみの感じです
[00:07:41] けどもキムスチル選手は本当にもう実力者
[00:07:44] であのもう無人像なスタミナを持ってる
[00:07:47] じゃないですかうんそうですね一生攻め
[00:07:48] 続けるっていうでま中島選手もテイク
[00:07:51] ダウンディフェンスももちろん強いですの
[00:07:53] で打撃も強いですなのでま打撃戦も
[00:07:56] 繰り広げられるしテークダウンの攻防も
[00:07:59] あの起こるんですけどでもやっぱり
[00:08:02] スタミナでやっぱ2ラウンド目3ラウンド
[00:08:04] 目なんだかんだキムスチ選手がもう
[00:08:07] ズルズルズルズル自分のペースに持って
[00:08:09] いってハデまでハデガチっていうあうん
[00:08:13] あのこうイメージがなるほどはいわいた
[00:08:16] 湧きましたねで心龍選手とインジョヒョン
[00:08:19] 選手まインジョヒョン選手ってあの日本人
[00:08:23] 選手にも2人倒したりとか打撃
[00:08:27] めちゃくちゃうまいはい選手なんですけど
[00:08:30] [音楽]
[00:08:32] 負
[00:08:35] 正本めちゃめちゃ強い選手なので1枚抜け
[00:08:40] てるからとうん対戦相手に比べるとでそこ
[00:08:43] でもうあのもう速のタックルからえ寝技に
[00:08:48] 引き込んででそこ
[00:08:50] でこのイジョンヒョン選手が沖が上がろう
[00:08:53] とした時にも穴すねほなぜ穴いやなんか
[00:08:58] もうイメージへえ選手がこれをやってるあ
[00:09:02] そうですかでキュってもうくるっと回って
[00:09:05] 1本ですよもうこれも1ラウンドでうんで
[00:09:08] もまあの本当に強い選手なんではいはい
[00:09:11] はいていうのとであとまこれが難しかった
[00:09:14] んですよぶっちゃけヤジ選手と黒本選手
[00:09:16] はいえこれねヤジ選手はもうあの
[00:09:18] ストライカーででシジさんとの試合を見る
[00:09:21] 限りもやっぱ綺麗な打撃するんですよね
[00:09:23] サウスポーではい綺麗な打撃でででリーチ
[00:09:27] さんも14cmあるとうんとで14cm
[00:09:31] あるんでなかなかクラムス選手入れないと
[00:09:34] 見せかけてあのやっぱクラモ選手も
[00:09:38] レスリングめちゃめちゃグレコ強いじゃ
[00:09:40] ないですかもうすっと一瞬で入って近づい
[00:09:42] てでそっから組で削って削って削って結局
[00:09:47] なんかまドロドロな感じになるんすけど
[00:09:49] はいま倉本選手勝ちだねみたいな感じの
[00:09:53] 判定勝ちおいうイメージですなるほどそう
[00:09:56] いった戦い方そういう感じですうんさあ
[00:09:59] そして広谷選手はいえっと僕はキムスチル
[00:10:04] 選手の判定勝ちかなと思いますはいていう
[00:10:06] のはまあのアーチュレッタと試合した時
[00:10:10] もう本当にまアーチレッタってすごい
[00:10:12] スタミナのある選手なんですけど全然負け
[00:10:15] ないぐらいスタミナでちょっと逆にまさっ
[00:10:17] てる部分あったんじゃないかなっていう風
[00:10:19] な印象がま僕そこですごい強くてましかも
[00:10:23] ま打撃もできてでトータルで結構できるん
[00:10:25] でまそうなった時にそのま村島選手ほいと
[00:10:29] この前の合まラジで見た時にま打撃が
[00:10:32] すごいまなんかすごい印象的だったんです
[00:10:35] けどやっぱりまやっぱ組ができるっていう
[00:10:38] オールラウンダーに対してやっぱオール
[00:10:39] ラウンダーってやっぱ敬されないこともま
[00:10:41] 本当まうまいというかやっぱそういう
[00:10:44] ところでスタミナがあるっていうところで
[00:10:46] ま反対がちにまなるんじゃないかなって
[00:10:49] いうこのなる
[00:10:58] 新龍月体ががししてるような打撃の
[00:11:00] ストライカーみたいなイメージででも
[00:11:02] やっぱ心龍君とま1回練習したこともある
[00:11:05] んですけどそのま本当に組が結構強くて
[00:11:09] 瞬発型でま力も強いんでまテイクダウン
[00:11:12] できれば全然なんかそこから心龍選手の
[00:11:15] 展開になるんじゃないかなっていう風に
[00:11:17] 思ってるんですけど多分でも本当結構勝っ
[00:11:19] てる選手なんでその辺はまそのそんな簡単
[00:11:23] にはいかないのかなっていう結構しのがれ
[00:11:25] てしのがれてってなると思うんすけど
[00:11:27] やっぱ3ラウンドぐらい最後の最後でいつ
[00:11:29] も神龍選手こう忍者チョークでそういう時
[00:11:32] 決めるイメージがあるんでまそこで忍者
[00:11:34] チョーク入ってま回転してうんうんうん
[00:11:37] ギリ決めれるんかなっていうあのドラゴン
[00:11:39] デスロールですあそうですそうですいつも
[00:11:41] 決めるやつですねはいあれで決めるんか
[00:11:43] なっていう回転するよ絶対そう絶対回決
[00:11:46] もう絶対回転する俺も一緒一緒一2人も
[00:11:49] 一緒ですよねだからあのフロントチクです
[00:11:51] よ要は2つまめちゃったらはいはいそぐっ
[00:11:54] てとりあえず回って決めるかなっていう
[00:11:57] イメージあるですねうんはいで倉本選手と
[00:12:00] ヤジ選手は1回シュートの試合をちょっと
[00:12:03] 見に行った時に倉本選手が戦っててその
[00:12:06] 大会の中で僕1番印象に残ってたんですよ
[00:12:09] それがめちゃめちゃジャーマンスー
[00:12:11] ブレックスしててもうえぐいぐらい
[00:12:12] ジャーマンスーブレックス何発もやってて
[00:12:14] この人体力どんだけあるんかなって思う
[00:12:16] ぐらいやっててしかもそれで相手脳浸透で
[00:12:18] 揺れてTKを勝ちしたんですよねなんか
[00:12:20] そんな展開にしてくれるんじゃないかなっ
[00:12:22] ていうのではい3ラウンドTKを
[00:12:24] ジャーマンスープレックスです思お
[00:12:26] ジャーマンなる
[00:12:29] で決まるってそんなプロレスみたいな結果
[00:12:32] ってあったんですか今までもうあるんすよ
[00:12:34] ねこの人の試合ではもうすごい面白くて
[00:12:37] ええまやっぱ面白い試合見たいんではい
[00:12:40] まあね確かにねあのまあのジャーマ
[00:12:43] 思いっきり食らったらね受け身取れなかっ
[00:12:45] たらかなりやられますよね確かにおお
[00:12:48] やっぱり皆さん3番目ですよねあの倉本和
[00:12:52] 選手とヤジ選手のところでえやっぱり別れ
[00:12:55] てますよねいやここ1番難しいですねうん
[00:12:58] うん難逆の予想だったんですけれども選手
[00:13:01] どうですか2に聞いてうん倉本選手とヤジ
[00:13:04] 選手ちょっと自信がなくなりましいやいや
[00:13:08] いやぶれたらあ
[00:13:10] かんチャンピオンチャンピオン
[00:13:12] チャンピオンだこのリーチさがヤジオン
[00:13:14] 選手14cmってこれなかなかねいや
[00:13:17] なかなかですね近づくの結構ねやきつい
[00:13:20] ですよなか厳しいと思うけどね14cm
[00:13:23] それ14cmって聞いて今驚いてる平選手
[00:13:25] どうですかいやめちゃめちゃあるすねええ
[00:13:28] までもレスラーなんで中に入っちゃえば
[00:13:31] 関係ないんかなって思うすよね別にまそれ
[00:13:33] ま打撃当たっちゃいけないって分かって
[00:13:35] やってると思うんではいはいはいまあ
[00:13:37] クラモ選手も出入りも早いし入る時本当に
[00:13:40] もうサンていくんで新幹線のようにいやだ
[00:13:43] からそこの距離もちょっと詰めれるんじゃ
[00:13:46] ないかなとは思ってますけどねほほ
[00:13:48] なるほど問題なしとはいで逆に伊沢選手
[00:13:51] ヤジ選手予想してますけれどもこの
[00:13:53] 14cmっていうリーチはどこなんですか
[00:13:55] 楽だと思います楽だと思うそヤジ選手
[00:13:59] やっぱ14cm長いともうジャブで遊べる
[00:14:03] うんああと思います差し合いとかしても
[00:14:05] 自分だけ届くんでうんめっちゃ有利に
[00:14:09] 気持ちが楽だと思いますやっててあそうお
[00:14:11] やってま組んだら変わんないんですけど
[00:14:14] はい組むまで打撃の面で言うと
[00:14:16] めちゃくちゃであと組んだ時も結構その
[00:14:20] うん高リーチが違うとあのこのなんて言う
[00:14:24] んですか体感を捉えられないっていうか
[00:14:26] シーンを捕まえらんなかったりするんで
[00:14:29] はいはいはいそこがちょっとやりづらいか
[00:14:30] もしれないですへえあそういうことあり
[00:14:33] ますえないですか組んだとのこのリーチさ
[00:14:37] 身長とかが違うリーチと身長は一緒ですで
[00:14:40] もそれまあのリーチと身長はねあの手の長
[00:14:42] さと体身長がでかい人はその組んだ時に
[00:14:48] 全然聞いてなかったみたい今な心龍選手の
[00:14:52] リーチ見てましもう一いいですかえ説明し
[00:14:56] てあの身長の高さの
[00:14:59] 違う人例えば身長高い人とやる時にこう
[00:15:03] 組んだ時にこうなんかテイクダウンとか
[00:15:06] しようとしてもそのシンを捉えられない
[00:15:09] 感じとかでかい人の方がすかえ本当すかし
[00:15:13] ちっちゃい方がこう体感が太いからこう
[00:15:16] 抱けなかったりするんですけど細長いと僕
[00:15:18] は結構好きすええあ行きやすい逆はいでも
[00:15:21] ま両足とかは取りにくくなるすけどルアシ
[00:15:23] タックルとかは足が長いんでその分広く
[00:15:25] なるんででもその分シングルとかに持って
[00:15:27] ってからくっと持ってっていなんかこうど
[00:15:30] どのこうクラッチとかはしやすいんかなっ
[00:15:32] ていうイメージですけどあ人によるんです
[00:15:34] かねいや多分そうじゃない人によるとか
[00:15:36] スタイルとか確かになるほど伊沢選手とし
[00:15:39] てはやっぱりめっちゃやりづらいですね
[00:15:41] 身長低い方がこう倒しやすいあなんか
[00:15:45] 丸っこいからそう丸っこい超低い人は
[00:15:49] 丸っこいすごい表現が出そうなのなんか
[00:15:53] コロンって倒せますね大きくてなんか
[00:15:55] くねくねてしてる人の方がなんかうん
[00:15:59] バランスでカ選手みたいなあ感じUSCの
[00:16:02] なんかチャンピオンレベルってみんなそう
[00:16:04] いう体型ですよね細長いイメージ最近は
[00:16:06] なんかそういうのがテクダンディフェンス
[00:16:08] 確かになんかしづらいイメージあるうん
[00:16:10] なんかフィジカルっていうよりもバランス
[00:16:11] 系であなるねが強い気がしますそういう
[00:16:15] ことですかるじゃそういうところでも
[00:16:17] やっぱりヤジ選手ねどうなのかっていう
[00:16:19] とこですそうなるほどなそれ確かにね
[00:16:23] ちょっと難しいねこれ難しいですねそれ
[00:16:26] 聞いたらどうですか白川
[00:16:29] いやでもやっぱ僕は倉本選手がはいま
[00:16:32] 押し切るのかなてうんさあそしてえもう1
[00:16:35] つねえ神龍選手とジヒ選手の対戦ですけど
[00:16:37] これ以上ヒ選手ってあのちょっとデータ見
[00:16:40] たんですけどキックボクシングでもプロで
[00:16:42] 試合してるんですよねしかもねあの
[00:16:44] ラッパーなんすよねラッパーあラッパーな
[00:16:46] んか沢龍選手と仲いいみたいで一緒に曲
[00:16:51] 作れたらみたいな話もあるそんなにはいあ
[00:16:54] そうなんですえちなみに入場は入場はでも
[00:16:57] ね芦澤選手て自分で歌えながらくるじゃ
[00:16:58] ない
[00:17:00] はい闘技は闘技だからそう考えるねっぱり
[00:17:05] 面白い手だな実践勝いっぱいはいはいはい
[00:17:09] まだいっぱいしかしてないいうねうん選手
[00:17:11] なんですけれども改めてどうですかこれ
[00:17:14] このカードについてあこれを聞いてもでも
[00:17:17] やっぱ神龍選手が負けるところてちょっと
[00:17:19] イメージがわかないんですよねそれぐらい
[00:17:22] 素晴らしい選手だと思ってるんでやっぱで
[00:17:24] も反省になったらやっぱ打撃の方がラジの
[00:17:27] ルールは有利なんで
[00:17:29] そこがまどうかなっっていう判定は難しい
[00:17:32] すよね正直そのでも決め切れるとは思う
[00:17:34] うんさそして中島選手と気てる選手なん
[00:17:37] ですけれども中島選手皆さんねちょっと
[00:17:39] あのやっぱりパンクラスのねチャンピオン
[00:17:42] でで今ベルトは返上しましたけれどもでも
[00:17:45] 岡田亮選手の対戦見てあれすごく強かった
[00:17:48] じゃないですかいや強かったね強かった
[00:17:51] です強かったですで逆にね何でもできる
[00:17:53] 選手だと思いますしはいはいそれ踏まえて
[00:17:56] もやはりム長の選手っていう形なんですか
[00:17:59] ねそうですねなんかもう泥沼にキムスー
[00:18:03] チョル選手のこの泥沼にこうはらっていく
[00:18:06] んだろうなっていうお感じですま本当
[00:18:09] アーチュレッタ選手とねキスチ選手の試合
[00:18:11] もね本当にもうドロドロの展開でした
[00:18:15] けれどもねああいう戦いって広谷選手ご
[00:18:18] 自身どうですかああいうドロドロの戦いっ
[00:18:20] ていうは広谷選手も結構ガンガン詰めて
[00:18:22] くっていうねイメージがありますけれども
[00:18:24] も気合いっすね自分から地獄にね引き込ん
[00:18:26] でいく感じその地獄の戦いにしてくって
[00:18:29] そうすねなんか気持ちの部分で負けがし
[00:18:31] ないなっていうのがあるんで正直だから
[00:18:33] なんかそっちに連れて行っちゃえばもう
[00:18:35] なんか勝てるんじゃないかなって思っ
[00:18:37] ちゃうんですよね僕うん平井選手の戦い方
[00:18:40] もね本当にあの自分も辛いんじゃない
[00:18:42] かっていうような自分も痛みを伴うけそう
[00:18:45] ですねやっぱ3ラウンドになってくると
[00:18:48] なんかそれを見てる人たちがすごい完成が
[00:18:50] 湧いてくるのがあれがめちゃめちゃあの力
[00:18:53] になるすああなんか最後の1分とかでもう
[00:18:57] マジで頑張れみたいなを完が聞こえてくる
[00:18:59] のはあれはでもスーパーライジで初めて
[00:19:02] 感じたすねあなんかこういう人の声って力
[00:19:05] になるんやなみたいなあそう初めて感じた
[00:19:08] すそういうのが
[00:19:09] ええ綺麗事とかじゃなくてなんかマジで力
[00:19:13] になる時があったっすねじゃスーパライジ
[00:19:16] って本当に人生のターニングポイントに
[00:19:18] あったって感じですかいや本当そうだと
[00:19:20] 思いますやっぱなんか立場とか舞台が
[00:19:23] なんか僕を強くしてくれたなっていうのは
[00:19:25] 本当感じたすねものすごく大部隊に強いっ
[00:19:27] ていうねイメージきましたもんね手そう
[00:19:29] ですね僕の中でも大部隊でま弱くなる
[00:19:32] タイプではないなっていうのは確信したす
[00:19:34] ねうんうんだからそういう意味ではあれ
[00:19:36] ですねやっぱキムスチの選手それができる
[00:19:38] 選手ですからねうん確かにうんいや本当
[00:19:42] そうすよねなんか絶対みんながやりたく
[00:19:44] ない相手すよねこういうこういうタイプ
[00:19:48] なんかKOとかできるんかなって思っ
[00:19:51] ちゃうすよねこんだけなんかドロドロ来る
[00:19:53] とうんちゃんと目もいいしねしはい反応
[00:19:58] もする
[00:19:59] うんあとなんかもう舞台とか関係なさそう
[00:20:02] すもんねもうその辺の路上でも同じような
[00:20:03] 戦い方しそうリング走ってきますもんね
[00:20:07] 確かにね入場めっちゃ早いからさあここで
[00:20:09] え一流ファイターが揃っていますのでえ
[00:20:12] 恒例のえ実演技術解説をお願いしたいと
[00:20:15] 思いますえ中島太一選手とキスジ選手の
[00:20:19] 一戦なんですけれどもえ白川選手にですね
[00:20:22] ま打撃がやっぱりうまいストライカーと
[00:20:24] いうことでえ中島太選手の役をやって
[00:20:27] いただきましてはいえ谷選手にキ選手役
[00:20:32] やっていただきましょうかねはいじゃあ
[00:20:34] それではよろしくお願いいたしますそれで
[00:20:36] は技術解説をよろしくお願いしますはい
[00:20:38] よろしくお願いしますよろしくお願し
[00:20:40] じゃあ僕がさっき中島選手をはいやります
[00:20:43] ま中島選手もあの空手ベースなんでま打撃
[00:20:47] が鋭いですもうアッパーももうすごい回転
[00:20:50] で打ってきますし多分キムスチル選手に
[00:20:52] 対してカーフとかも蹴ってくると思うん
[00:20:54] ですよねローキックだったりとかカーフま
[00:20:56] カーフで散らしたりでそっからちょっと
[00:20:59] 詰めてジャブアッパーとかそのタックル
[00:21:03] 入ってこさせないようにアッパー見したり
[00:21:06] とか左のハイキックとかで多分組み立てて
[00:21:10] くるんじゃないかなって思いますはいはい
[00:21:13] じゃあそれに対してまそれに対してまキ
[00:21:16] スチ選手はま結構そのなんて言うんですか
[00:21:19] ねあの中島選手多分空間作って距離がその
[00:21:24] 分かって強いタイプだと思うんでこう
[00:21:26] リーチいつもこう伸ばしてうんるタイプな
[00:21:29] んでまそれを多分させないようにこういつ
[00:21:31] も通り手足こうちょこちょこちょこちょこ
[00:21:34] 動かして詰めていくんと思うんすよねこう
[00:21:36] やってあ歩きながらねこうやってでこうま
[00:21:38] アングル使いながら斜めに斜めに行って
[00:21:41] コーナーの方詰めていって
[00:21:42] バババババーチャル
[00:21:56] [音楽]
[00:21:58] 選手と戦って負ける選手プレッシャー
[00:22:01] ずっとかけられ続けるっていうイメージが
[00:22:02] あるんでそこは打破してくると思うすほお
[00:22:05] うん
[00:22:06] うんうんはいということでえ長島太一選手
[00:22:09] とキスチ選手戦楽しみです
[00:22:13] [音楽]
[00:22:15] ねヨボプレゼンツラジ46えツトはですね
[00:22:20] 牛久純太郎選手と太田選手の1戦ですえ
[00:22:23] バント急に掛を落とした元フェザー強者内
[00:22:25] 純太郎選手なんですがえいきなり
[00:22:26] レスリングのメダリストと対戦するという
[00:22:30] カードを至りましたえそれではですねこの
[00:22:33] 試合のポイントをですねえそれぞれ伺って
[00:22:35] いきたいと思いますがまずは井沢選手どう
[00:22:37] ですかこの試合そうですね純太郎さんうん
[00:22:41] は元々一緒に練習してて今
[00:22:45] ATT行ってるんですけどうんやっぱり
[00:22:48] すごい真面目ですうーん真面目うん何の話
[00:22:53] だっけこの試合についてポイントポイント
[00:22:57] ね今正確の話
[00:22:59] この試合のポイントはですねあの純太郎
[00:23:02] さんのレスリング力がどれだけ海外で伸び
[00:23:06] てるかなと思いますあとまた今回も新しい
[00:23:10] パーに続くうん次の突っ込みどころを多分
[00:23:15] 持ってきてくれると思うのでそれが見れる
[00:23:18] かこんな真面目な純太郎さんが試合で
[00:23:21] 起こす様々なうんハプニングがなるほど
[00:23:25] すごい隠れみどころかなと
[00:23:28] うんあれ1回パやっただけでねもうこれ
[00:23:31] から求められるキャラになるんですかねう
[00:23:34] 完全なんか真面目そうに見えてるんです
[00:23:36] けど結構ふざけるんですよ純太郎さんだ
[00:23:39] からそれが試合にこう合見えてなるなんか
[00:23:43] 最初にグロブタッチするみたいなやつとか
[00:23:46] もめちゃくちゃふざけた感じでやってき
[00:23:49] たり多分海外だとあれ結構やるらしくて
[00:23:52] オケみたいななんか最初の膝蹴り防止
[00:23:55] みたいなやつで結構確認しってからはい
[00:23:58] やるんですけど太郎さんがやるとちょっと
[00:24:00] 可愛く見え
[00:24:02] ちゃうそうすね確かにねうん可愛らしれ
[00:24:05] ますもんねすごキャップがいいなと思うん
[00:24:07] でそれをちょっと試合中にちょっと気にし
[00:24:10] ながら見てますはいはい白川選手はいね
[00:24:15] そうですねま太田選手のキャリアって
[00:24:18] MMA歴また3年でこないだ一緒になった
[00:24:22] 時に言っててこれ今ざっそのねの経歴見た
[00:24:27] すけどもそうなメンツと試合してますね3
[00:24:30] 年mm力3年の人が対戦する内容じゃない
[00:24:33] ですねこのメンツというかでも間違いなく
[00:24:37] その佐藤翔子選手との試合を減ってから
[00:24:41] もう太田選手強くなってるのは間違いない
[00:24:44] ですしうんでやっぱこれ牛選手って初の
[00:24:49] バンダム級はいてことであのまチャレンジ
[00:24:53] じゃないですかででこれ牛選手はさっき
[00:24:57] 真面目って話も出ましたけどこれすごいな
[00:25:00] と思ったのがこの去年の年末の試合の時に
[00:25:02] ま牛選手とあってでまそれまでやっぱ同じ
[00:25:05] フェザー級やったんであんまりこうしべ
[00:25:07] あの会話とかしなかったんですけどま
[00:25:09] バンダキ急に落とすて聞いてまちょっと
[00:25:11] こう喋ってみてでえ大丈夫なんですか体重
[00:25:15] って言ったらいやもう1回あのバンダム9
[00:25:18] まで落としてテストしたとでテストしてで
[00:25:21] 次の日スパーリング5分3ラウンドやって
[00:25:24] で動けるか確認したんでもう大丈夫ですっ
[00:25:27] て言ってたんですよああもうエコプロやな
[00:25:30] とそうはいだから階級変更するって言った
[00:25:33] 後実は具体的に上げるか下げるかって言っ
[00:25:37] てなかったですよね選手そうテストがあっ
