[00:00:01] せーの。
[00:02:31] それでも6勝参敗なんだね。
[00:02:33] はい。
[00:02:33] 負けてんだね。
[00:02:34] ま、まだ若いすからね。
[00:02:36] うん。何歳?23
[00:02:37] 歳。めちゃくちゃいい選手じゃん。
[00:02:39] めっちゃいい選手。
[00:02:40] しかもこれエンカウンターって前田後ろのジム
[00:02:43] のハ抜き第1号
[00:02:45] めっちゃいい選手びっくりした。右のパンチすごくいいしアグレッシブだしさ。
[00:02:50] てかフライですよね。
[00:02:51] うん。
[00:02:51] フライでこのパンチってあんま見たことないレベルの殺能力すよ。
[00:02:56] すごくいい選手。びっくりした。
[00:02:58] 平本上戦1回見ました。1回目
[00:03:00] 見た。アマチュアのやつグラジエ。
[00:03:01] あれ左フックすたよね
[00:03:03] かな。うん。
[00:03:04] KOワンパンだもんね。
[00:03:06] うん。で、それの再戦なんですけど、
[00:03:09] 戦オールフィ、オールフィニッシュですね。全
[00:03:12] 6勝の6KOを
[00:03:14] うん。
[00:03:14] いや、マジでいい選手。これでも平本城側からしかなりリスクのある試合な気がしますけどね。
[00:03:21] うん。
[00:03:22] 再戦で負けてしまったらもう格付き終わっちゃうんじゃないですか
[00:03:26] ね。もう3戦目はないよ。
[00:03:28] うん。もうちょっと時間上げてから俺だったらやらせたいと思っちゃうんですけど、ま、でも自信があるから受けたんですよ。
[00:03:32] 自信があるんだろうね。
[00:03:34] ま、ま、平本のジの相手があんまいないんでしょうね。勝負論がある。
[00:03:38] あ、
[00:03:39] うん。ていうのもあると思うんすけど、
[00:03:40] え、過去に2023年の3月から3
[00:03:44] 年前だね。
[00:03:45] うん。2
[00:03:45] 人がアマチュアのバンタム級でグラジエーターで戦って
[00:03:49] はいはい。3年前か。
[00:03:50] そっから3年だからね。2
[00:03:52] 人とも20歳ぐらいってことですかね。
[00:03:53] うん。そう。2人とも23と22だから。
[00:03:57] うん。うん。これ相手が30とかで自分が
[00:04:00] 20十歳だった場合でもこの3
[00:04:01] 年後の再生分かるんですけど、
[00:04:03] あ、
[00:04:04] どっちも伸びてるだろうしね。
[00:04:05] ね。もっと勝ち上がったからでいいんじゃないかなと、ま、思っちゃうんですけど。ま、でもいいカード。
[00:04:09] うん。
[00:04:10] うん。でも、
[00:04:11] ま、右フックだな。とにかく雨山選手の
[00:04:14] 右ストレート。ストレート。
[00:04:15] ま、でも平本城王を決めたのは左フック。
[00:04:17] 左だっけ?
[00:04:18] はい。左フックと思います。
[00:04:19] うん。
[00:04:20] で、右ストレートが多分1
[00:04:21] 番武器な僕イメージですけど。はい。
[00:04:24] ま、全部強いんでしょうけどね。
[00:04:26] とにかくね、フライとは思えない一発の武器があるね。
[00:04:29] そうっすね。
[00:04:29] うん。それがいいし、アグレッシブだし。
[00:04:31] うん。僕でも平本城とか平本兄弟がやってるから空から空手でもいいとは思うんですけど
[00:04:36] うん。
[00:04:37] すごいよ、悪さが出てた試合だと思うんですよ。この試合って試合目て。
[00:04:41] あ、もう確かにあの
[00:04:42] すごい体が止まって全部
[00:04:44] ディフェンシブディフェンシブであのこの線を取る。うん。
[00:04:47] あの平本斎藤豊戦は別に良くなかったと思うんですよ。
[00:04:51] うん。
[00:04:52] でも朝倉三ク戦は自分から行ってて体も動いてたんですけどすごい体が止まってて平本城もこの時ってめっちゃ止まってました。
[00:05:00] 確かに改めて見たんですけど体がもう止まって全部ディフェンス側あのカウンターを取りみたいな
[00:05:06] 安倍さんみたいだね。
[00:05:07] あ、そうそうそうそうそうあの感じで一時期そう。あれも多分同じ
[00:05:11] でも正直みんな勝てなかった。みんなじゃないけど
[00:05:14] あれも岩崎先生が
[00:05:15] AC
[00:05:16] 多分そうだよね。前ACC。
[00:05:18] あ、そうだよ。
[00:05:19] で、それの完成系が平本連なんじゃない?
[00:05:21] うん。でも平本連はいろんな空手とかを取り入れたりさんとか
[00:05:26] あの朝倉三は本当完成系だったとアリは素晴らしかったと思う。でも平本城も最近ちゃんと体動かすようになったりとか
[00:05:33] そんなごテごテに回らなくなってきてるんでそこでだいぶ変わるとは思う。
[00:05:37] うん。
[00:05:38] 前回とは
[00:05:39] しかもあの富沢戦のあの組みつきからのリアネクト長のセットめっちゃ早かったけど。
[00:05:45] ああ、そうっすね。
[00:05:46] うん。
[00:05:47] ありましたね。
[00:05:47] あれはすごかったよね。ま、もちろんしれて負け、スプリット負けちゃったけど
[00:05:52] はい。
[00:05:53] あの展開もありえるよね。
[00:05:55] そうっすね。
[00:05:55] うん。
[00:05:56] 僕はでもやっぱMMA
[00:05:58] で最も自由なのはスピードとかじゃなくてフィジカルパワーだと思うんですけど、パワーの面で圧倒的に雨山とも
[00:06:05] 現時点で。
[00:06:05] あ、
[00:06:06] まだフィラムとジョは体が出来上がってない感じがする。
[00:06:09] 確かに
[00:06:09] こっからとも
[00:06:10] フィジカルさはあるね。
[00:06:12] うん。
[00:06:12] うん。
[00:06:13] だからテイクダウンも難しいでしょうし、パンチの殺能力も違うと思うんですよ。
[00:06:17] ああ、パンチの殺能力違うし、俺はね、結構あの木村戦とか見てもあの平本選手のね、
[00:06:24] タックのタイミングうまいから
[00:06:26] テイクダウンできるかもしんないけど多分抑え込めないんじゃないかなって思っちゃうね。
[00:06:31] 立たれちゃいそう。
[00:06:32] うん。そうすね。そう、そう思う。うん。確かにフィジカル強いやつは立てますからね。
[00:06:36] うん。
[00:06:37] フィジカルさがあったら余計。
[00:06:39] あのね、たまる戦みたいになればいいんだけど。
[00:06:42] はい。そうは勝負しない。そうはいかない。
[00:06:45] はい。
[00:06:47] 僕は判定で雨山選手すね。僕再びで雨山で。
[00:06:52] おお。KO
[00:06:54] 王。あ、そっか。全部フィニッシュだもんね。うん。うん。
[00:06:57] あ、そっか。
[00:06:58] と思うけど、ま、わかんないですけどね。平本ジブ成長してて勝てると踏んでこれやってるわけですから。
[00:07:04] うん。
[00:07:04] いやけど、雨山選手右がいいなと思って。
[00:07:06] いや、いいっす。雨山選手はすごい。
[00:07:08] これ球であれ超武器だよね。
[00:07:10] ね。これ人気出ますよね。
[00:07:12] あんま今知られてないと思うけど。
[00:07:14] うん。
[00:07:15] うん。面白いも試合が。
[00:07:16] いや、なんかそのさ、平本連選手に敬勝ちしてるっての知ってるし、平
[00:07:21] あ、平本ジ選手にで来も出てるよね。
[00:07:24] 出てます。出てます。負けてるっす。
[00:07:26] そうだよね。だからあんま印象なかったんだけど
[00:07:29] はい。
[00:07:29] あの、改めて勝ち試合見たら、え、めっちゃいい選手だ。驚いた。
[00:07:33] うん。
[00:07:34] でも平本城がアウトボクシングとかで、ま、有効団を当てて判定ガチを歩きますけどね。テクニックで。
[00:07:40] ああ、スタンドでストライキングで
[00:07:43] どうなんだろうね。あの構え的にあれでアウトボシュンってできんのかな?
[00:07:48] うん。
[00:07:48] もっと体使っていって体使ってどうなんだろうね。ま、確かにストライキングはどれだけ伸びてるかだよね。
[00:07:54] そうね。
[00:07:54] 平本選手。
[00:07:55] そう。ま、でもそれ平本連練習してる。それは相当伸びてると思うんすけど。
[00:07:59] は最高だもんね。
[00:08:00] うん。
[00:08:01] いやけどまあ、山選手が超的。
[00:08:05] はい。
[00:08:06] オールフィニそっか判定じゃないかもね。ケもね。
[00:08:09] 変えていいすか?
[00:08:10] はい。
[00:08:10] 変えていいすか?
[00:08:11] じゃあ俺もKOではい。
[00:08:14] 確かにオールフィニッシュだからね。
[00:08:15] はい。しかもやっぱ1回同じ相手にKO
[00:08:18] で買ってるでかいと思う。また同じことやればいいすもん。そうイメージ的に負ける気しないでしょ。で、逆に負けてる方は平城からしたらイメージがやっぱわかんと思う。
[00:08:26] もらいたくないと思って。それで固くなっちゃう。
[00:08:29] 動きが。
[00:08:30] ア山慶王がちで僕
[00:08:32] 僕もア山KO2
[00:08:33] ラウンドぐらいかな。ま、
[00:08:34] おお。
[00:08:35] ラウンド差わかんないですけど。
[00:08:35] 俺もラウンド差わかんないけど。
[00:08:37] はい。
[00:08:38] はい。え、注目してほしいですね、
[00:08:39] この試合。でも楽しみすよ。
[00:08:41] めっちゃいい選手ですね。
[00:08:42] はい、じゃあ次行きます。
[00:08:44] はい、
[00:08:45] 次が、え、アルタブ取られて最下ボ達也
[00:08:49] V宇ミ小シパタ。
[00:08:51] ああ、そこですか。
[00:08:53] はい。
[00:08:53] これめちゃくちゃ楽しみじゃない?
[00:08:57] ストライカー対決。
[00:08:59] まあ、でももうこれはもう宇さミの試合全部そうなんすけど、うさミが前に行けるかどうかじゃないですか。
[00:09:05] そうしたら
[00:09:06] いやそうだけどこの試合に関しては
[00:09:09] 100%
[00:09:10] 最下選手を前に出るじゃん。はい。確かに。
[00:09:12] なんか噛み合いそうすよね。最下選手が前に行くから来た分には行くつも
[00:09:16] そうざるを終えないっていうかそれこそ得と止め戦みたいになんじゃないの?
[00:09:20] うん。でも
[00:09:22] うさミから行ってほしいすけどね。すごい本人が追い詰められてると思う。多分自分が一番悔しいと思う。最近の試合内容とか前に行けないことを
[00:09:30] そこも一緒自分から行ってほしいな。
[00:09:33] 確か
[00:09:33] 確かに最下花選手が行くから行かざるを偉くなるんでしょうけど。そうじゃなくて自分から行ってほしい。
[00:09:39] そうね。
[00:09:40] う、まあでもこれはうみでしょう。
[00:09:43] おお。最下選手はもうフィニッシュ率
[00:09:46] 93%判定1回しかない。13KOを1
[00:09:49] 判定。うさミ選手は
[00:09:51] 6KO王2判定75%。
[00:09:54] でもうさミってマジ強いすか?打撃
[00:09:56] 強いね。ちょっと抜けてるよね。
[00:09:59] もらってるのもあんまり見たことないですけど。
[00:10:02] おお。
[00:10:03] MMA
[00:10:03] でね、確かにパンチを特に昨幅に着られてたけどパンチはもらってないんじゃないですか、あんまり。
[00:10:08] ああ、確かに。
[00:10:09] 全くじゃないでしょうけど。
[00:10:10] うん。
[00:10:11] 最下が慶王すると膝かないかなと思っちゃうんですよ。ま、
[00:10:15] 最下選手は
[00:10:16] あの
[00:10:17] 天夜を
[00:10:17] 天戦みたいなあキックとか。
[00:10:20] うん。ま、そうすね。ハイキックとかでも蹴りもできるすけね。宇選手。
[00:10:23] ああ、そう。パンチじゃだって
[00:10:25] なかなか難しい。
[00:10:26] 絶対う選手だって思っちゃうけどね。
[00:10:28] ま、勢いがあるから前で
[00:10:29] 1
[00:10:29] 発当てるのはあれだけどテクニック的には宇選手ですね。
[00:10:33] そうですね。でも僕サ花なんですよね。
[00:10:35] いや、確だからざとかマイクとかコメントとかも好きやし。うん。すごい応援したくなるし。面白かったね。
[00:10:42] うん。ま、でも正直ここ1
[00:10:43] 番で負けてしまってますよね。
[00:10:45] ああ。
[00:10:45] 強いし勝つんやけど。
[00:10:48] この前もズマカジに負けたし、パンクラスもこの前負けてましたよね。
[00:10:51] うん。カットで。
[00:10:52] うん。バルボーザ
[00:10:55] まだから選手も勝ってるかな。
[00:10:58] あ選手は細川あれもすごいね。今考えると考えて
[00:11:03] でもあの時の細川一と今は違う気がしますけどね。うん。
[00:11:06] 違、違うのか。そっか。
[00:11:10] いや、俺もこれはま、激しい試合になるし、慶王決着だと思うけど。
[00:11:15] はい。
[00:11:16] ま、宇選手すよね。これは
[00:11:18] KOすよね。
[00:11:19] 選ね、このベテランの
[00:11:22] マイクも含めて好きだけど、ここはね。
[00:11:25] はい。
[00:11:26] ま、10歳さもあるし、年齢もフレッシュ
[00:11:30] はい。
[00:11:31] な宇美選手だと思いますね。
[00:11:32] そう。顎がフレッシュでしょうし。まずね、
[00:11:34] もらったところで。
[00:11:35] うん。うん。
[00:11:37] 僕
[00:11:37] 結構差があるんじゃないかなと思
[00:11:40] マジで
[00:11:40] KOはできないと思って
[00:11:42] 俺KO
[00:11:43] 行ければできると思うすよ。KO
[00:11:45] 行けないと思うんで結局下がっちゃって行かずに
[00:11:48] 来るから
[00:11:50] 返すって感じになって
[00:11:52] うん。
[00:11:52] ええ、俺結構下がると思う。
[00:11:54] このカードお互いストライカーだから
[00:11:57] はい。
[00:11:58] 空クさ。
[00:11:59] お、俺系
[00:12:00] までも絶対まあ一瞬で終わる可能性もあるし楽しみなカードですよね。
[00:12:05] うん。うん。めっちゃいい試合になると思う。
[00:12:07] その意持を見たいね。最下選手の。
[00:12:09] そうすね。
[00:12:09] うん。そのなんだ、テクニックを上回る
[00:12:12] はい。
[00:12:13] 気迫とか根性とか
[00:12:15] はい。
[00:12:15] ちょ、そういうのできる選手。
[00:12:17] そうですね。確かに意持を見たい。
[00:12:18] うん。だ、わかんないね。
[00:12:20] うん。
[00:12:21] 確かに意地がで見えたらどうなるか。ま、
[00:12:24] 1
[00:12:24] 発もありましたね。最下選手も誰でも通せるパワーあるから。
[00:12:28] うん。すごい。ま、それで勝ち切ってチャンピオンになってるからね。
[00:12:32] そうすね。
[00:12:32] うん。だ、勝つ時全部ほぼだからね。
[00:12:34] はい。
[00:12:35] それが当たるかどうかすね。
[00:12:37] そうっすね。
[00:12:37] ただちょっと当たんないかなと思う。木選手相手には。
[00:12:40] う、まあね、
[00:12:42] 当たれば倒せるけど。
[00:12:43] はい、
[00:12:44] 分かりました。じゃあ、
[00:12:45] はい、
[00:12:46] 次。
[00:12:48] え、第7試合ケトロスバスKTペス。
[00:12:51] おお
[00:12:51] かさん、すいません。僕KT
[00:12:53] ペリスがわかんないす。
[00:12:54] あ、マジすか?KTあのカファロとか
[00:12:57] リーカイとか映像見てきたんですけど
[00:12:59] 見ましたけどね。え、
[00:13:00] 32歳
[00:13:01] はい。はい。
[00:13:02] ですよね。7勝10杯すよね。
[00:13:04] はい。
[00:13:05] うん。インビクタで0勝1敗。正直ね、
[00:13:10] あの、ま、1K
[00:13:12] はい。1
[00:13:13] KO61本判定なしのフィニッシュ率
[00:13:15] 100%なんです。それ、
[00:13:17] あ、ごめん。間違えた。それ負けだ。あ、そうだよね。そうだよね。勝った時。そう、そう、そう。
[00:13:23] 100%なんすよ。グラップラーね。
[00:13:26] はい。
[00:13:26] けど、ま、俺何試合か見た限り
[00:13:29] はい。
[00:13:30] あの、レシングが強くないす。
[00:13:34] すぐ引き込んで、
[00:13:35] ま、充術系の
[00:13:37] そう、充術下から
[00:13:38] はい。
[00:13:39] 上取ったり、あ、返して上取ったりバック取んのうまいですね。下からがうまい。
[00:13:43] 下から決めるってよりも下から煽ってバック取ったりしてうまいから
[00:13:48] はい。
[00:13:48] ま、確かにやらしい選手であるけど
[00:13:51] はい。
[00:13:52] レッシング強くないし結構ボディも効かされてたから俺は京ト選手三日月とかでボディ効かすんじゃないかなって
[00:14:01] はい。
[00:14:02] 思うけどな。
[00:14:03] まあ勝てるとは思えないですよね。
[00:14:06] うん。ま、バックだね。
[00:14:08] うん。
[00:14:08] あと、ま、下からのうん。
[00:14:10] 下からのなんかスクランブルっていうか、下からこうバランス崩してバック取ってみたいな。
[00:14:16] はい。ま、三角とかも得意っぽいすね。
[00:14:18] ああ、ただあれか、
[00:14:22] 5ランドマッチ確か
[00:14:24] 勝ってたような気がすんだよな。違うかな?
[00:14:26] うん。うん。
[00:14:27] グランドマッチとかも経験してから、ま、スタミナあると思うんだよね。
[00:14:31] 確かにボディ効かされそうな気がするな。あの、三日カ月いつも膝もね。
[00:14:34] うん。ケトロタスの
[00:14:37] でなんか前線
[00:14:39] こう打撃でやられてんだけどやられてんだけど最後バック取って
[00:14:43] はい
[00:14:43] あの勝ちみたいなリアネキ途長くで勝ちみたいな根性はありますよね。
[00:14:51] まあでもこれはケトロタスを勝たせるために連れてきただまヘ浦のケースありますからね。
[00:14:57] ああ確かに
[00:14:58] そういえばね油断してたら
[00:15:00] 確かに確かに
[00:15:01] お
[00:15:01] けど軽トロ札だと思います。
[00:15:03] メラってレスラーしいですよ。そういえば
[00:15:05] え、そうなの?
[00:15:05] はい。
[00:15:06] ええ、
[00:15:08] めっちゃ格闘技博士みたいなやつが言ってました。カ原を連れてきてくれた
[00:15:11] 格闘技博士が言ってましたよ。だからあれめっちゃ強嫌な相手ですよ。あっても
[00:15:17] テイクダウン行ったって多分なかなか取れないですよ。
[00:15:19] アウトロー的な感じかと思ってた俺。喧嘩屋的な
[00:15:23] ミッシングの下地あるんだ。それは強いよね。はい。
[00:15:25] ええ。
[00:15:26] ま、でも確かにミヘイブラ線があるし。
[00:15:28] うん。
[00:15:29] うん。まあ、油断はできない相手。
[00:15:31] 距離じゃない。本当それこそアウトボクシングにジャブ。
[00:15:34] はい。
[00:15:34] とか三日月きとかでステップでこうかわしてけば
[00:15:38] これはでも本人もでしょうけど
[00:15:41] ライツアウトじゃダメすよね。これはフィニッシュこはしてくれんとここだけはでも絶対それが止まれる試と思う。
[00:15:47] 求められるのはフィニッシュだよね。
[00:15:49] もう勝つことだよね。
[00:15:51] KOとも
[00:15:53] そうね。ただ勝つとしたらうん。あ、勝つとしたっていうかそこを用できるかできないかの
[00:16:00] はい。
[00:16:01] ないあれ問題かなと思う。
[00:16:03] 勝つのは勝つと思う系ってこと
[00:16:05] けど勝つだけじゃ多分評価上がんないかなって感じです。
[00:16:07] でもこの試合に関しては
[00:16:10] はい。
[00:16:10] できると思います。
[00:16:11] おお。
[00:16:12] はい。さすがにこれできると思う。これできなかったらもう難しい気もしちゃうし。
[00:16:16] ああ、俺腹かすと思うな。結構ボディ嫌がって。
[00:16:20] マジさとかいいもん。あの月であの武器なんで無体あの首相撲
[00:16:25] 4つ撲の
[00:16:26] うん
[00:16:26] ね。MMAうまいす。4
[00:16:28] つ撲めっちゃうまい。ステップすごい使った。あの距離感いいじゃないですか。
[00:16:31] うん。今回は倒最初から倒しに行ってしいけどね。
[00:16:36] 結構パウンドもありそうだけどな。下からボディ効かして
[00:16:40] タックル来たの嫌がってサとか。
[00:16:42] そうね。パウンドでフィニッシュ。
[00:16:43] そうそうそう。ここはね、確かに圧勝してもらわないとちょっと困る。
[00:16:48] 7
[00:16:48] 勝10
[00:16:49] 杯とかだからね。もちろん強いけど、あの
[00:16:54] 危険だけど下になって安心できないから下からバック取るのうまいから。
[00:16:58] そう。うん。
[00:16:58] だけどここはフィニッシュですね。はい。
[00:17:00] じゃ、一勝KO
[00:17:01] はい
[00:17:02] はい
[00:17:03] じゃ次行きます。僕あと
[00:17:05] 2試合かなんかあっという間ですね。
[00:17:09] ね。
[00:17:12] 確かに。
[00:17:13] じゃあ第8試合大田シロブV金太郎。
[00:17:15] いやあ、来た。これはね、マジで難しい。
[00:17:19] うん。
[00:17:19] これ本当わかんない。むジョビンさんの意見が聞きたい。そう。うー。まあ、いい時の大田の大田でしょ。
[00:17:29] そうすね。
[00:17:30] いや、まさに俺もそう思います。いい時の太田信選手は大田信選手だけど
[00:17:35] でもいい時じゃないと思うんすよ。
[00:17:36] うん。ま、2連敗中すね。
[00:17:39] はい。
[00:17:40] 元やサバテロとしかも
[00:17:43] 2フィニッシュ負け。
[00:17:45] いや、でもそんなことよりも
[00:17:46] はい。
[00:17:47] あの、ヘルニアでずっと試合できてなかったじゃないですか。
[00:17:49] うん。うん。
[00:17:50] で、自分で会見に打ったんすよ。
[00:17:52] はい。
[00:17:53] で、なんか膝も痛めたみたいな全然練習できてないみたいなこと言ってて。
[00:17:57] あ、うん。
[00:17:58] 多分もうやっぱ年齢だけの問題じゃなくてやっぱレスリングずっとやってきて体がボブロボロなんですよ。
[00:18:03] 消耗してるんですね。
[00:18:04] それオリンピックとかもう目立つだけで相当な鍛錬やってるじゃないですか。もう
[00:18:10] 超壮絶な生き残りだから
[00:18:12] 4年に1回1
[00:18:13] 人しかその階級で出れないとさ。
[00:18:15] はい。そうすね。
[00:18:16] この俺たちのプロ
[00:18:17] MMAとはちょっと全然違うよね。
[00:18:19] そうね。
[00:18:20] 負けてもまあ試合あるかっていうのじゃないもんね。
[00:18:23] もうそこで負けたらおしまいだから道が
[00:18:25] 4年間の道が閉ざされる。
[00:18:27] そう。で、もう満心ですよ。
[00:18:29] 確かに。
[00:18:30] で、膝を前人体を痛めてたんかな。痛めて全然練習できてなかった。で、今もじゃ、全力で練習できてるかったら多分できないと思うよ。試合まで。
[00:18:38] フルパワーでね。
[00:18:38] フルパワーで。で、首の問題もあるし。
[00:18:40] うん。うん。
[00:18:41] そう考えたらわかな。
[00:18:43] しかも金太郎はめっちゃ成長してるみたいで、今グラップリングがすごいんですって。
[00:18:48] うん。ええ。誰情報?
[00:18:49] ま、それも格闘技を
[00:18:51] カマロを紹介してくれてお、なるほど。
[00:18:53] なんかイ垣組で無双してる。やっぱ
[00:18:55] ATTから帰ってきて。
[00:18:56] そうなの?
[00:18:56] すっごい決めが強くなってる。
[00:18:58] ええ。じゃ、あのヒールフックもマジで実力なんだ。
[00:19:01] はい。
[00:19:03] ちょっとなんかたまたまかなと思っちゃったけどやっぱりそうなんだ。
[00:19:07] はい。
[00:19:07] じゃあ期待できるね。グラップリング。そうだよね。
[00:19:11] あのさ、ま、もちろんパンチもさ、魅力だけどさ、
[00:19:15] あのフィジカル的に言うとやっぱやっぱグラップリングだよねって思っちゃうよね、金太郎って。
[00:19:20] やっぱそれは強いよねってしっかり覚えたら、あのフィジカルの強さと思う。でも金太郎もすに毎回言うんですけど、前に行かないのが気になるんすよね。
[00:19:28] で、それはメンタルもう酷したいでしょ。この前のリあの試合も下がってて、しかもあれで買ってしまった
[00:19:35] 成功体験があるから今回下がると思う。で、そした方が組みやすいんですよ。
[00:19:38] あ、そっか。私の部からしたら
[00:19:41] うん。そうね。
[00:19:42] うん。だからどうかな。でもこういうの僕コツというかアホみたいなこと言うすけど前に行けないやつどうすればいいかって
[00:19:51] 1ラウンドの最初に行くことすよ。
[00:19:53] うん。へえ。
[00:19:53] 逆に途中からも行かんでもいいと思う。
[00:19:56] 1
[00:19:56] ラウンドの最初に行けるかどうか。1
[00:19:57] ラウンド最初に行けたら行けると思う。
[00:19:59] おお。
[00:20:00] うん。途中から切り替えのってなかなか難しいですよ。
[00:20:04] 例えば2ラウンドから前に行こうとか
[00:20:06] 1
[00:20:06] ラウンド最初様子見て途中から行こうとしても、ま、切り替えれるやつもおるけどなかなか難しいですよ。
[00:20:11] 難1
[00:20:12] ラウンドのファーストコンタクトで行けるかどうか。一
[00:20:14] 番最初に行けるかどうか。
[00:20:15] そうしたらあとは別にずっと行かんでもいいと思うしけど行ける癖ができるとか自分中で最初に行けたんだったら
[00:20:22] そのイメージが対点も残るしね。
[00:20:24] そうすね。そうそうそうそうそう。
[00:20:25] 次行か23
[00:20:27] 行かないとしてもそのプレッシャーあるよね。
[00:20:28] はい。そう。だからうさにもう金たらも最初に行くべき。
[00:20:31] 1番最初に。
[00:20:32] あ、なるほど。
[00:20:33] 行くって決めて。と思うんすけど。
[00:20:35] いや、さすがに行けるんじゃない?こんだけ充実した練習環境で。
[00:20:39] しかも技に自信があるのがでかいすよね。そう。
[00:20:41] それってメンタル的にもすごくいいじゃん。なんか無双してるんだったら、あ、俺も今までと違うなって自分の中で
[00:20:48] あるだろうし、それがいい方向に行って、
[00:20:51] 元々のそのアグレッシブさ出てくんじゃない?
[00:20:53] はい。そうですね。
[00:20:54] スランプ脱出っていうか。
[00:20:56] はい。
[00:20:57] そういえば金太郎といえばあ、
[00:20:59] 大使、
[00:20:59] 例の大使さん、どうした?
[00:21:00] バレネさんに怒らずに大使に切れてくださいよ。
[00:21:03] ま、最近外されてるけど、
[00:21:04] あ、外されてる。
[00:21:05] どんな気持ち?お前大使に言いましょう。
[00:21:08] 大使さん知らないもん。
[00:21:09] 中途半端な気持ちでトレ、トレーナーじゃないか。セコンドやってた。
[00:21:13] いや、もう大使さんをだ言える立場じゃないじゃん。バレンさんお互いも一切の伸びないでしょうしね。大
[00:21:18] 危険とか言ってる。
[00:21:20] 炎上すらしないでしょ。大さ、大さん最近セコンドつけないんの?
[00:21:25] 最近セコンド
[00:21:26] サポートはしてるでしょ、常に。
[00:21:27] でもホテルは行って
[00:21:30] 隣の部屋かなんかでTikTok
[00:21:31] ライブちょっと夜中やってるらしいですよ。
[00:21:33] あ、今ね隣で金太郎で金太郎。
[00:21:35] 今回いい。絶対勝てる。ま、うるさくできないから。ちっちゃくで言うけど
[00:21:39] 関係者ずらしてね。
[00:21:40] めっちゃコンディションいいよ。期待して。
[00:21:44] 僕ね、大使、
[00:21:46] 俺使大使の顔
[00:21:48] マジでね、コラボ以来たんですけど
[00:21:50] 断られました。
[00:21:51] ええ、あれほど出たがりの大さんなが。
[00:21:54] そう。それほどいいでしょうね。
[00:21:55] それほど憎いや。
