[00:00:00] です
[00:11:48] でもねあのやっぱりねみくるは
[00:11:54] このタイプとかまあやっぱライジンの
[00:11:58] フェザー級を見渡した時に
[00:12:02] 雷神のフェザー級で言ったらマジで僕は
[00:12:07] クレベルみくる
[00:12:10] で
[00:12:11] まあ金原
[00:12:14] ケラモフがいるみたいな感じでまあでも
[00:12:16] みくるはクレベルとめくるは少しこう優位
[00:12:21] な立場にいるんじゃないのかなというで金
[00:12:24] ちゃんと
[00:12:26] ケラモフがそこら辺に対してどうなのかな
[00:12:29] とかね近所に関して言うとやっぱり年齢的
[00:12:31] に少し以前に落ちてるんですここがどうか
[00:12:35] なというところなんですけどそういう
[00:12:37] ところで行った時にちょっとこう僕は
[00:12:39] みくりが少し
[00:12:40] 大事な
[00:12:42] フェザー級で言えばちょっと
[00:12:44] 少しリードしてるかなというところがある
[00:12:47] んだけどもに関しても僕は多分
[00:12:51] みくるはこれはいけると思ってんじゃない
[00:12:54] のかなと思ってますね
[00:12:57] 基本的には上で組んでくるけども
[00:13:00] シングルから
[00:13:03] クラッチとかするんですけどそこに関して
[00:13:07] 言うと
[00:13:09] ケラモスの感じで行くと僕はみくるは
[00:13:14] 蹴り足キャッチ
[00:13:16] キャッチ
[00:13:18] 以外は結構ディフェンスできんじゃないの
[00:13:20] かなと思っててでまぁ倒された時にねその
[00:13:25] ケラモフ決めは強いんでその決めの強さっ
[00:13:28] ていうのはなんかちょっとこうタイミング
[00:13:29] 的にあのちょっとこう
[00:13:32] ここから入るかっていう
[00:13:34] 技とかもあるんであのちょっとそこら辺は
[00:13:37] 決められるなんかちょっとスクランブルに
[00:13:41] なった時した時にちょっと決められる可能
[00:13:44] 性はあるかなとは思うけどもやっぱり有利
[00:13:48] なのは朝倉未来で僕パーセンテージ的に
[00:13:52] 言ったら僕はミクロは70%
[00:13:57] ぐらいの感覚かなと思ってますねで
[00:14:03] まあ本当にここに関して言ってもまあ
[00:14:06] やっぱ僕は
[00:14:07] 朝倉未来の判定勝利で
[00:14:10] [音楽]
[00:14:12] 僕は
[00:14:14] 言ってほしいなと思ってますねはい
[00:14:19] 続いてこれがね結構僕は絶妙絶妙というか
[00:14:24] あの面白いなあと思ってるカードでベラ
[00:14:28] トールフライ級の
[00:14:31] もう本当に日本のもう本当スーパー
[00:14:35] ヒーローというかね堀口選手ですね日本の
[00:14:37] MMAの今や顔ですからねの堀口選手と
[00:14:43] 新進気鋭のフライ級のねまあ雷神のフライ
[00:14:47] 級の
[00:14:48] 堀口選手を抜いた時に
[00:14:50] 誰が一番はってなった時に考えられるのが
[00:14:54] まあ神龍選手ここに大きく盆もいるのかと
[00:15:00] かねそういうところなんでまでここで新年
[00:15:04] 選手僕が面白いなと思ってるのはやっぱり
[00:15:08] あの
[00:15:09] [音楽]
[00:15:10] ここもう本当に年齢的に若いのももちろん
[00:15:13] なんですけど
[00:15:15] 本当に若いしこの1年ぐらいでグングン
[00:15:20] 伸びてて
[00:15:23] 通常で考えたら僕
[00:15:27] 堀口選手はねベラトールや
[00:15:30] UFCで戦ってきた相手とかを考えた時に
[00:15:33] まあ
[00:15:34] 組み技をねもうもちろん
[00:15:36] 小泉先生めちゃくちゃいいしで打撃も
[00:15:40] めちゃくちゃいいですね
[00:15:42] 大学をめちゃくちゃいいんですけど神龍
[00:15:45] 選手がほんとこうこの日を追うごとに強く
[00:15:50] なってきててまあ
[00:15:53] 喧嘩を殺してやるっていうのも言うし自分
[00:15:57] がナンバーワンでも平気で言うしね
[00:15:59] メンタル的に
[00:16:01] めちゃくちゃいいしねでまあ本当どれだけ
[00:16:06] 伸びてんのかなっていうね今回の前回の
[00:16:08] 試合を終えてからどれだけ伸びてるんだっ
[00:16:11] て
[00:16:12] 選手との試合覚えてからですね
[00:16:15] どれだけ伸びてるんだっていうところも
[00:16:17] あるのでどんな試合になるんだってでこの
[00:16:20] 試合に関して言うと
[00:16:23] 普通に考えたら
[00:16:25] 堀口くんですねなんかやっぱりその今まで
[00:16:28] やってきた選手とかそのまあねやっぱり今
[00:16:33] までやってきた多い久保とかにしても
[00:16:37] 結局タックルを
[00:16:39] ね
[00:16:41] 倒せなかったですしねで
[00:16:44] 打撃でもなかなか
[00:16:47] 崩せなかったしそういう意味で行くとまあ
[00:16:51] パーセンテージ的に言ったら
[00:16:56] 僕はね
[00:16:59] 堀口君80
[00:17:02] で
[00:17:04] 森林君20%
[00:17:06] でただ新宿の場合っていうのは何があれか
[00:17:12] なと思うのは
[00:17:14] 打撃はねまあやっぱり堀口君の方が上だと
[00:17:17] 思うんですけどやっぱり
[00:17:20] どれだけ伸びてんだっていうのとあの
[00:17:22] やっぱその
[00:17:25] 昔はね判定ばっかの選手だったのが
[00:17:30] 昔言ってももう本当にこの
[00:17:33] 2年前とかそんなもんなんですけどこの1
[00:17:36] 年ぐらいから
[00:17:38] USCを目指すとかなってた時に
[00:17:40] フィニッシュしなくちゃいけないってなっ
[00:17:42] てから結構フィニッシュに行く
[00:17:46] 結構
[00:17:48] しつこく決めに行く形とかも結構あったり
[00:17:51] とかするんで
[00:17:54] 伸びてきてるなぁと思って後もあの削り方
[00:17:57] とかもねすごい常にフィニッシュを狙うっ
[00:18:00] ていう姿勢が結構
[00:18:02] 面白くなってきて伸びてるんでまあこれは
[00:18:04] ねあのどれだけ伸びてきてるんだっていう
[00:18:07] ところですねだからまあ通常普通に考え
[00:18:12] たらねあのー
[00:18:14] 堀口君勝利なの予想ですよねだけどまあ
[00:18:18] やっぱり
[00:18:19] 新緑君はねあの
[00:18:21] 6月9日6月7日にね僕らトークイベント
[00:18:25] やるんですけどもそこでもちょっとゲスト
[00:18:28] で来てくれるって言うところもありますし
[00:18:30] ね本当にそこはねまあほんとこう僕がね
[00:18:33] 心理くんにであとまあ日本の格闘技界の
[00:18:37] 今後を考えた時に
[00:18:40] やっぱり
[00:18:42] これはまあちょっとこう僕の気持ちという
[00:18:46] かね
[00:18:48] 堀口は本当に強い本当に強いし
[00:18:51] 全部持ってるんですよね打撃も寝技もだ
[00:18:56] けどやっぱりもう今やもうこの56年ね5
[00:19:01] 年以上じゃ6年
[00:19:04] 6年7年6年7年もうちょいか
[00:19:09] もうあのずっとアメリカで
[00:19:12] 拠点を移してほぼもうアメリカの選手
[00:19:17] みたいな感じなんでやっぱりその世界でも
[00:19:21] トップのアメリカの選手に対して
[00:19:25] なんかねなんか僕の中で堀口君って日本人
[00:19:28] ですごい応援も通常だったりしてるんです
[00:19:31] けどやっぱり日本でやってる選手とやる
[00:19:34] ときに僕の気分的に言ったらねなんかこう
[00:19:39] してほしいなっていう気持ちもあるんで
[00:19:40] まあここでね本当にまあ僕判定だったら
[00:19:45] 堀口君かなと思うんで心理くんがどっかで
[00:19:52] どっかでね
[00:19:56] ダンスとかね
[00:19:58] ダンスとかねそういうの
[00:20:01] 忍者とかねああいう首系のものをねパコッ
[00:20:04] と入れてそれであの1本勝ちとか知って
[00:20:08] くれたら本当に面白くなるなっていう
[00:20:11] 展開ですねただやっぱり
[00:20:15] 唾液の面でも
[00:20:16] 侵入くんは堀口君の
[00:20:20] 打撃だとちょっとこう少し難しいかなと
[00:20:23] 思うんでそこに対して
[00:20:25] シンジ君がタックルに入ってそれを切って
[00:20:28] ちょっとこうスクランブルになった時に
[00:20:31] 前半は僕はまあペース的に言ったら堀口君
[00:20:35] がペースは握るだろうなと思うんですけど
[00:20:39] そこをこう結構しつこくしつこく組んで
[00:20:42] 組んででなかなかあの堀口君を抑え込め
[00:20:46] なかった堀口君が抑え込めなかったりそこ
[00:20:49] に対してシンジ君がしつこく組みに行っ
[00:20:51] たりなんだりとかしてるうちに何
[00:20:54] [音楽]
[00:20:55] 度か堀口君の上を通るけどそこを抑え込ま
[00:20:58] せずに動いたりしてでそこでこう
[00:21:01] スクランブルしてるうちにパコッとね
[00:21:04] シンジ君がとって1本が違あればなって
[00:21:08] いう感じですねはい本当に今度のね
[00:21:12] スーパーライジングね
[00:21:14] めちゃくちゃ
[00:21:16] 楽しみな面白い
[00:21:17] マッチメイクなので
[00:21:19] 期待したいと思いますありがとうござい
[00:21:21] ました
