[00:00:01] えいよいよ今月29日に行われるヨボ
[00:07:12] 選手には萩原選手ならこう戦うっていうの
[00:07:14] を解説していただきますえまず2選手がえ
[00:07:19] 高木選手の戦略の実演をお願いしますはい
[00:07:22] お願いしますちょっと遠い距離から萩原
[00:07:26] 選手がカーフをバン蹴るんですけどこれ
[00:07:29] 食らって高木さにこうやってここに多分力
[00:07:32] 入ってるんで食らってずっとでもここを
[00:07:35] あのスコスコーピオンじゃなくて何でし
[00:07:37] たっけスナスナイパースナイパー
[00:07:40] スナイパー
[00:07:41] スコーピオンサリサリの人ねあでも同じ
[00:07:45] ですね同じオッケーオッケースナイパー
[00:07:47] みたいにグーってやって何発か食らった時
[00:07:49] にドンってはいうわあカーフに合わせる
[00:07:52] 最初は遠くてはいパンチたんないと思う
[00:07:55] けどあ最初は遠いとこが蹴ってくるけど
[00:07:57] だんだん距離が近くなってちゃて高木選手
[00:08:00] ってすごい多分距離感超細かい距離もあ
[00:08:03] ピント合わせがうまいすごいピント合わせ
[00:08:05] めっちゃうまいんでそこでストーンって
[00:08:07] 打ち抜いて萩原選手が初めて出身警するお
[00:08:11] 出身しちゃういやもう高木選手が勝つ相手
[00:08:14] 全員出身なんであそうなんだ全員身記なん
[00:08:17] ですよええだから今回もやはいはい
[00:08:20] ありがとうございますそれではソ選手が
[00:08:23] 萩原選手のこう戦うっていう実践をお願い
[00:08:25] しますはい高木選手その京勝ち全部右なん
[00:08:30] でまやっぱり萩原選手も右は警戒してると
[00:08:33] 思うんではいまカーフでやっぱりしっかり
[00:08:36] こう下に意識行ってでカーフ効いてくると
[00:08:39] やっぱりどうしても一発頼よりというかま
[00:08:42] ほと右が得意なんでこの右のパンチをこう
[00:08:45] 出さざるえなくなるんでで萩原選手も右
[00:08:48] から結構入るんででこの右交差してでこの
[00:08:52] 左が当たるんじゃないか回フクはいと僕は
[00:08:55] はいじゃないかなとえ高木選手の右に右を
[00:08:58] 合わせてはいそうですねでお互当たん
[00:09:01] なきゃそっからの開始でそうですね萩原
[00:09:03] 選手絶対こう左返すですよね右打った時あ
[00:09:06] 開始の左フックそうですね回しの左フック
[00:09:09] が当たるんじゃないかなとなるほど思い
[00:09:10] ますなどありがとうございますえ雷人
[00:09:12] フェザー級ストライカー同士の一戦お
[00:09:14] 楽しみ
[00:09:20] に続いてのカードは女子スーパートム級1
[00:09:24] マッチえ伊沢成果え選手vs朝倉神奈選手
[00:09:28] の試合です
[00:09:29] 無敗の城伊沢選手にえこの試合で引退する
[00:09:33] 朝倉選手が挑むというこのカード勝負の
[00:09:36] ポイントを伺いましょう皆さんどう
[00:09:37] でしょうやっぱり女子格闘技なんでケ選手
[00:09:41] どどうでしょうこのポイントえそうですね
[00:09:44] 伊沢選手がバックボン柔道って結構思われ
[00:09:48] てると思うんですけどレスリングも元々
[00:09:50] めちゃめちゃできるんですよでる練習した
[00:09:53] ことはあるははいずっとしてたのでその強
[00:09:56] さも知ってるんですけどもうずもう
[00:10:00] とんでもないですかとんでもないです打撃
[00:10:02] も打撃ももちろんできますね1本勝ちが
[00:10:05] 多いんでなんか打撃あんまり見ないんで
[00:10:08] 打撃できないんじゃないかっていう
[00:10:10] イメージもあるとは思うんですけど打撃も
[00:10:13] ちょっとこう独特な蹴り方とか打ち方なの
[00:10:16] で軌道が読みづらいというかでそれに
[00:10:19] 合わせて流れるようにタックル入るんでま
[00:10:23] そこももち切りづらいですしはい切逆にそ
[00:10:27] 選手ははいねさはい神奈選手と同じ大門で
[00:10:33] ありセコンドに疲れるんですかそうですね
[00:10:36] も毎回まセコンドにはお今回もセコンド
[00:10:39] 今回もセコンドでいきます俺もちょっと
[00:10:41] あれですけどどうですかコンディション
[00:10:43] シあの久しぶりの試合かつまあの彼女は
[00:10:47] もう最後これ最後で引退すると言ってるん
[00:10:49] でやっぱりモチベーションとしては高いと
[00:10:52] 思いますねはいまやっぱり最後っていう
[00:10:54] ことでこうもうやってやるっていう気持ち
[00:10:56] はすごい強いと思うのでじゃあ2手は伊沢
[00:11:00] 選手はいの試合を見て同じ階級の女子
[00:11:06] で勝てる人いんのかなってぐ強いイメージ
[00:11:09] があるんであなんか朝倉選手がはいその
[00:11:13] レスリング行って倒したとしてもそっから
[00:11:15] が強いじゃないですかはい相手が誰とか
[00:11:18] じゃなくて伊沢選手に勝てる人いんのか
[00:11:20] なってぐらいのイメージでしたねあ日本の
[00:11:21] スーパーアトム級ではいもうその辺の対策
[00:11:25] もはいもちしっかり言える範囲でま家の
[00:11:29] 範囲ではいそうですねはいその辺ばっちり
[00:11:32] ばっちりだっますはいえその辺の話を
[00:11:34] 踏まえて勝敗予想を聞きましょう
[00:11:38] どうぞおケト選手が伊沢選手1本
[00:11:42] 勝ち2選手も井沢選手1本勝ちそしてソ
[00:11:47] 選手は神奈選手の判定勝ちはい僕が伊沢
[00:11:51] 選手のリアネキ長本勝ちですねト選手予想
[00:11:56] の解説をお願いしますはいえっと川尻さん
[00:11:59] と同じくま井沢選手のチョークかま忍者ま
[00:12:03] チョク系ですねフロントとか忍者かまそう
[00:12:07] いうので1本勝ちするかな1ラウンド2
[00:12:10] ラウンドどちらかで早い段階で早い段階で
[00:12:14] なるほどこれ同じ階級のね対戦ですけど
[00:12:18] もし自分が戦ったらとかは考えますま自分
[00:12:22] はそのま打撃と技どちらかというと打撃の
[00:12:25] 方が好きなのでこう井沢選手であっても
[00:12:28] 朝倉選と戦うであってもま自分だったら
[00:12:31] 打撃であ殴り合うあ殴り合うの好きなん
[00:12:35] ですスキーであの戦の作戦言えたらあの
[00:12:41] 作戦ですかいや1ランド目はあの感じで2
[00:12:45] ランド目は絶対にテイクダウンを行こうっ
[00:12:47] ていう作戦だったんですけどなんか気づい
[00:12:50] たるまでもそれはレナ選手いやレナ選手の
[00:12:53] うさだと思いますそのあにさせるあ
[00:12:57] なるほどはいまと戦う時も打撃でいくと
[00:13:01] はい距離取るって感じですかほどでこの
[00:13:03] 試合は伊沢選手のポそうですねはいじゃ次
[00:13:07] 2選手お願いしますはい僕もあの伊沢選手
[00:13:10] の一本勝ちですリアネキとチョークてどう
[00:13:14] いうチョクでしえあの後ろから張あ
[00:13:18] なるほどそれですかね自分おそれで1本
[00:13:22] がちではい試合展開の予想としては朝倉
[00:13:26] 選手があの打撃嫌がってちょっと
[00:13:31] たっくさんそ抑えられてじゃないですけど
[00:13:34] ぐるって回ってはいはいそこはもう分かっ
[00:13:37] てました
[00:13:39] ストレートはい持っますあなるほどじゃあ
[00:13:42] お願いします選手商予想展開はいはい僕
[00:13:45] これ展開けど言っちゃうとまま展開そう
[00:13:48] ですね作戦があれなんであれですけどま
[00:13:51] そうすねまそのま伊沢選手の決めのやっぱ
[00:13:55] 決めからとかっていうのはもう警戒は常に
[00:13:58] はいしてるんでま作戦をまそのやっぱり
[00:14:01] しっかりどこまで冷静に遂行できるかって
[00:14:04] いうのはま練習見ててもやっぱり全然あの
[00:14:07] カナ打撃も強いのではいはい他の女子選手
[00:14:10] とかのスパーリングを見ててもはいま
[00:14:12] やっぱりでも本人はやっぱレスリング
[00:14:14] バックボーンなんで少しね試合になると
[00:14:17] ちょっと苦手意識がはいあるのかなと思う
[00:14:19] んですけどまそこやっぱ空を破ってこう
[00:14:21] 打撃でもまあの技技というかまテイク
[00:14:25] ダウンでもやっぱり勝負できたらえま判定
[00:14:28] で勝つんじゃ
[00:14:30] はい思います僕もあれですね伊沢選手なん
[00:14:33] ですけど多分カナ選手はタックルでうん来
[00:14:37] てカナ選手が勝つんだとしたら僕はもう潮
[00:14:41] 漬けだと思うんですよねテイクダウンして
[00:14:43] ガードの中からコツコツ殴るで三角しいで
[00:14:46] みたいなだけどタックルに僕もなんか切ら
[00:14:50] れて忍者チクかバック回られてリアネとか
[00:14:54] なと思うんですけどまそれ辺の対策そこも
[00:14:57] 分かってた上で対策はい
[00:14:59] いちその先をその先を行く朝倉ガンナま
[00:15:03] あとあれですね借を持てるかどうかあうん
[00:15:06] 久しぶりの試合でやっぱりなんかほわって
[00:15:09] こう優しい感じするじゃないですか優しい
[00:15:11] んですよね本当にこう普段から試合も
[00:15:13] やっぱりこうそうですねそのさきというの
[00:15:15] ははいそうさきを久しぶりの試合でうん
[00:15:18] 作れるかどうかかなと思うですけどその辺
[00:15:20] も大丈夫ですかま最後なんでよはいそこも
[00:15:24] でもたまになんかあのやっぱり試合で
[00:15:27] たまに見せるんですよはいキラーあの
[00:15:30] キラー桜カナはいパウンドだったりとか
[00:15:34] なんか結構はいああの強くぱ打てる時は
[00:15:38] 打てるのでなるほどうんまそういうとこは
[00:15:41] 見せればはいはいありがとうございます実
[00:15:44] 技術解説をお願いしたいと思いますケト
[00:15:47] 選手には元チームメイトの伊沢選手なら
[00:15:50] こうするソ選手にはこちらもチームメイト
[00:15:53] の朝倉選手のはこうするっていう解説を
[00:15:56] いただきます
[00:15:59] まずはケト選手から伊沢選手の戦略を実演
[00:16:02] お願いしますはいえっとまえっと1本なん
[00:16:06] で忍者かフロントだと思うんですけど初め
[00:16:08] 伊沢選手がこっちのまインカーフであっ
[00:16:11] たりとかあと三日月こう蹴ってってで
[00:16:14] ちょっとこう遠い距離とかでもやがって
[00:16:16] 多分朝倉選手がまシングルかタックル入っ
[00:16:20] てくると思うんでまそれに対してこっちで
[00:16:23] いつも通りフロントするのかまこっちで
[00:16:26] 忍者被せるのかあ展開かなと思いますで1
[00:16:30] 本1本なるほどありがとうございますそれ
[00:16:33] ではえソ選手がはい朝倉選手なこう戦うと
[00:16:37] いう話をはいセコンドなんですけど
[00:16:39] セコンドなんでちょっと作戦作戦みたいに
[00:16:42] なっちゃうと思うんであれけどいや作戦は
[00:16:45] 言ったらま割れちゃうんであれですけど
[00:16:48] まあそううっすねも僕レ得意なんではい
[00:16:51] もうやっぱりタックルと打撃混ぜてはい
[00:16:54] 戦うしかないんですけどと打撃混ぜてはい
[00:16:56] はいはい戦うしかないんですけどでのまカ
[00:17:01] がもうバゴンつって行くと思いますはい
[00:17:03] パンチではいもうこれではいパンチけ言え
[00:17:07] ないですねそセコンドですからねはいそう
[00:17:09] なんですよねはいありがとうございます
[00:17:11] はいえ伊沢聖香選手た朝倉神奈選手女子
[00:17:14] MMAの注目の1戦をお楽しみにして
[00:17:22] ください続いてのカードはフェザー級の
[00:17:25] ワンマッチファンアーチュレッタvsええ
[00:17:29] ラジャーフアリシェイドライフ選手の試合
[00:17:31] ですえ3000前からねえ強い強いと言わ
[00:17:35] れ今年6月のラジ初3戦では毎評判通りの
[00:17:39] 強さを見せてくれたシェイドラク選手が元
[00:17:42] ラジバンタム強者のアーチレッタと戦う1
[00:17:44] 戦これやばいっすよねシェイドライフ同じ
[00:17:47] 階級で2選手シェイドライフどうですた
[00:17:50] いややばいなとなんかシェイドラ選手3人
[00:17:53] とかとやりたいとか2人とかやりたいです
[00:17:55] かはい3人目ぐらいだったら
[00:17:59] そんな弱気なこと言わないで1人目でいい
[00:18:02] でしょいやあの武田戦を見ると武田が
[00:18:05] あんな投げられて後ろ疲れて何もできない
[00:18:08] 見たことないんでいやあれ見てちょっとえ
[00:18:12] 今フィジカルだったら勝負できるでしょ
[00:18:15] 自分今までフィジカルでま負けたことない
[00:18:17] んでそこあれなんですけどフィジカルって
[00:18:19] いうかそのそもそも強い生物として生物と
[00:18:23] して強いねあ生物として強いすねどうすか
[00:18:26] シェイドラクアーチレッタケツさん自分も
[00:18:29] その前回武田選手との試合を見てま武田
[00:18:33] 選手があんなに簡単にこう組まれて投げ
[00:18:37] られて持ち上げられてみたいなのが今まで
[00:18:39] そん見たことなかったので見たこと23歳
[00:18:43] ですかね2000年生まれですよ2000
[00:18:46] 年生まれミレニアム世代やばいすよね
[00:18:49] びっくりしたもう顔の貫禄はもう40代調
[00:18:52] ですよ部長みたいな顔して23歳なんだと
[00:18:56] 思って驚いたんですまだまだ強くなるって
[00:18:59] ことですよねそ選手どうですかアレット逆
[00:19:03] にいや僕はアーチュレット選手この前
[00:19:05] ちょっとあのクベル選手に足取られて負け
[00:19:08] ちゃったのでやっぱりまこのままじゃこの
[00:19:11] ままではこう終わらないというかはいまた
[00:19:13] こう盛り返してくるんじゃないかなと今の
[00:19:15] 話を踏まえて勝敗予想をお聞きしましょう
[00:19:18] 一斉にどうぞ
[00:19:23] はいケト選手がシェイドライフ選手の判定
[00:19:27] 勝利判定勝利はい2選手もシェイドレフ
[00:19:32] 判定がちはいおソ選手がアチュレット判定
[00:19:37] がちはい僕もシェイドレファてがちそれで
[00:19:42] はえケト選手から予想の解説をお願いし
[00:19:45] ますシェイドライフ選手の判定勝利かなっ
[00:19:48] て自分は思うんですけどそアーチュレッタ
[00:19:51] 選手は前回クベル選手だから決められた
[00:19:54] だけであってなんかはい形負けするイ負け
[00:19:59] するイメージもうんないんですけどこう
[00:20:03] シェイドライフ選手のその若
[00:20:05] さのま若いでそのスタミナとかでもずっと
[00:20:10] 自分のペースで動き続けることができるん
[00:20:12] じゃないかなと思ってのシドラ選手の判定
[00:20:16] なるほどじゃあ2選手すいませんお願いし
[00:20:18] ますシドラ選手の判定がちでその
[00:20:21] レスリング対決じゃないですかはいそれで
[00:20:23] なんかその展開が常にもう5分3ラウンド
[00:20:26] ぐるぐるぐるぐるってもてもあると思って
[00:20:30] てやっぱり最終的にはシェイドラウ選手が
[00:20:33] 決めに行こうとするっていう展開が多く
[00:20:35] なるんでうシドライフ選手が安定だと思う
[00:20:39] んすけどこれででももしもシドライフ選手
[00:20:41] が武田戦みたいにはいはいすぐ一本勝ちと
[00:20:45] か毛勝ちするようなことがあればいや3人
[00:20:48] 目でもやりたくねえなえ名乗り出るんじゃ
[00:20:52] なくてそれそんなことがあれば俺がやって
[00:20:54] やりますよいやそれはちょっとそうですね
[00:20:57] 5人目ぐら
[00:20:59] 長いはいありがとうございますじゃ宗谷
[00:21:02] 選手はいアーチュレットの判定勝ちはいま
[00:21:06] 皆
[00:21:06] さん選手予想なんですけどまあの勝ってる
[00:21:11] 試合確か全部フィニッシュしてるんですね
[00:21:14] 11戦オールフィニッシュはいでま
[00:21:17] ほとんど1ラウンド2ラウンドで
[00:21:19] フィニッシュしてると思うんですけど
[00:21:21] やっぱり3ラウンドこうフルでまアッタ
[00:21:25] 選手決めるのま難しいと僕は踏んでてで
[00:21:28] 武田選手やったもうパワーを結構使う戦い
[00:21:32] 方をしてるようにもパンチもですけどはい
[00:21:35] 見えるんで最初は多分シェラ選手優勢だと
[00:21:38] 思うんですけどチタ選手がだんだんこう
[00:21:41] スタミナとかで上回ってきてでま判定で
[00:21:44] 勝つんじゃないかなとはい23選手シェド
[00:21:48] スタミナ切れますよでもあの出力で15分
[00:21:52] 動くのは難しいんじゃないですかね体力
[00:21:54] 切れるとこ想像つかないですつかないです
[00:21:57] よねも定ですねシェイドライフ上回ると
[00:22:01] 思うんですけどこれシェイドライフ選手は
[00:22:03] 打撃どうすかねまだ組しか見てない結構
[00:22:06] 試合も組中心なんで打撃結構右すごい
[00:22:10] 思いっきり振ますそう右のスイングフック
[00:22:13] しかなくないですか結2選手と似てるなと
[00:22:16] 思って2選手も右じゃんあそうですねけど
[00:22:19] 2選手は当感あるじゃないですかうんシド
[00:22:22] ライフあんま当てかないな思いきり振って
[00:22:25] くるけどあ最初のところでも多分ライフ
[00:22:28] 選手が2ランド目とかも行ってその組ん
[00:22:31] だりするのをちらつかせたら多分みんな
[00:22:34] 組むのもちょっとやがってる時にバゴーン
[00:22:36] て組の意識させて右パコンはいほと武田戦
[00:22:39] みたいな圧勝しちゃったらフェザー球が
[00:22:42] やばくなりますよそれを日本人みんなで
[00:22:45] やっぱり倒しに行かないとあ5人で5人で
[00:22:49] 5人で5対1の日本人なめられちゃそこ
[00:22:53] は人で5人で倒しに行くとのいやこれこれ
[00:22:57] どうすけど上までるフジー級の
[00:23:00] チャンピオン今鈴木鈴木千選手にやらせる
[00:23:04] 前に日本人の誰かがこういう外人選手たち
[00:23:07] をえるべきだと思うんでコレス選ウト
[00:23:10] ベックジモそこら辺はそのレフ4人います
[00:23:13] よ上に行かせないで誰か本人が飛べるべき
[00:23:16] だなっていうだからみんなに本に誰か任
[00:23:20] じゃなくて全然誰でも僕はもちろん受け
[00:23:24] ますけどでもシェドライ選手みたいな
[00:23:26] タイプの人って多分オールラウンきついと
[00:23:28] 思う
[00:23:29] 鈴木選手レベ選手とか1発持ってないと
[00:23:32] はい1発の武器がないと厳しいやっぱカで
[00:23:36] 負けないから俺は誰とやっても勝つ可能性
[00:23:39] あると思うけど
[00:23:40] ねも倒せる当てたら倒せる自あるんです
[00:23:43] けどで腕取ったら決めれるでしょいでも
[00:23:46] 本当にちょっときついです
[00:23:51] ね実演技術解説をお願いしたいと思います
[00:23:54] 今回も2選手にはえなこうするそして僕が
[00:23:59] チレたらこうするていう解説をしていき
[00:24:02] たいと思い
[00:24:04] ますではえまず2選手がシェイドラ選手の
[00:24:08] 戦略の実現をお願いしますはい
[00:24:10] フィニッシュはないと思うんすけど最初
[00:24:12] やっぱりでっかいのバーンてやっそれは
[00:24:14] 当たんないでやるんですけどでもだんだん
[00:24:17] このシドラ選手ガンてみついてゴロゴロゴ
[00:24:20] ロってなった時に組の強さを感じて
[00:24:23] ちょっと立った時に組むのやがったとこに
[00:24:26] バーンて当たったりフラ
[00:24:28] てその打撃でもいいの当てるし寝技でも
[00:24:31] どんどんシェイドライフ選手があの強い
[00:24:34] 打撃をバンバンて当ててフィニッシュに
[00:24:36] なんなくてもその印象が強くて判定がまだ
[00:24:40] から全体で上回るって感じですね同じよう
[00:24:43] な展開でし合うんすけどシド選手のが
[00:24:46] 上回ってるっていうなるほどはい感じ思い
[00:24:48] ますまアーチュレットもそうですよね同じ
[00:24:50] タイプなんでもうとにかくタックル
[00:24:52] タックルテイクダウンで振ってテイク
[00:24:55] ダウン繰り返してぐちゃぐちゃにしてまチ
[00:24:58] て勝
[00:24:58] したらね僕パンチだと思いますねええ結構
[00:25:02] ミニフックは強いけどそれ以外まだ見せて
[00:25:05] ないのと打たれ強さちょっと分かんない
[00:25:08] じゃないですかはいはい意外とアーチ
[00:25:10] レッタの方が精度はアーチレッターの高い
[00:25:12] と思うからお互いフック振り回しても
[00:25:14] アーチレッタのパンチがノーガードンの
[00:25:16] とこ当たった面白いかなとどんな試合に
[00:25:19] なるか楽しみですシェイドレイク選手対
[00:25:21] アーチレッタどうぞ楽しみにして
[00:25:27] ください人48勝敗予想続いてのカードは
[00:25:31] バンタム級タイトルマッチ井上直樹選手対
[00:25:34] キムスーチョル選手の一戦ですバンタム級
[00:25:36] の新たな王者を決めるにふさわしい実力者
[00:25:39] 同士の一戦を皆さんに予想していただき
[00:25:42] ますそれではお手元の予想を発表して
[00:25:45] ください
[00:25:49] どうぞはいテト選手がスチ選手の判定勝利
[00:25:54] えお2選手は井上選手の判定勝利
[00:25:59] えそして佐選手はスーチョル選手の判定
[00:26:02] 勝利僕もスーチョル選手の判定勝ちですね
[00:26:05] はいそれではまずケト選手に予想の解説を
[00:26:08] お願いします結構井上選手綺麗な打撃足
[00:26:12] 使って綺麗な打撃をするイメージがあるん
[00:26:14] ですけどこうぐちゃぐちゃ来られる相手に
[00:26:18] 相性は良くないのかなと思っててうん確か
[00:26:20] に大久保選手とかあそうですそうです
[00:26:23] アーチュレッタ選手とかには結構判定で
[00:26:26] 負けてしまってるイメージがあるので
[00:26:28] 選手がやっぱりスタミナとかそういうこう
[00:26:31] ぐちゃぐちゃ行って上回って判定勝利する
[00:26:34] のかなと思いますそれでは2選手お願いし
[00:26:37] ます僕もなんか井上選手は自分で多分
[00:26:40] 分かってると思うんすよあのぐちゃぐちゃ
[00:26:41] されの嫌なのはいはいだからこそ今回は
[00:26:44] めっちゃそこ対策っていうかあしてると
[00:26:48] 思うんでぐちゃぐちゃ来られても自分の
[00:26:51] 距離でその戦いきって判定がちするんじゃ
[00:26:54] ないかなっていうのはスチル選手ってあの
[00:26:58] 1番びっくりしたのがあの僕の1個したん
[00:27:00] ですよ確か32歳32歳僕キム周長選手
[00:27:05] 12年前ぐらいに同じとこワンとか出てた
[00:27:08] んですよへえだ12年前だから二十歳じゃ
[00:27:10] ないですかそうですね周長選手でもこの
[00:27:13] ですこのままそうですね自分12年前で
[00:27:16] 変わってないですよずっと変わらなくて
[00:27:17] 自分逆に若いなと思ってたんですよずっと
[00:27:20] みその見た目が変わらないからはいはい
[00:27:22] はい年取ったら若いなと思ったんですけど
[00:27:24] そんなことはないですよね別に変わって
[00:27:26] ないすよね変わってないじゃあソ選手お
[00:27:29] 願いしますはいま僕もそうですね井上選手
[00:27:32] もうすごい綺麗な打撃で前距離をこうし
[00:27:36] するのがすごい上手でキックボクサーの
[00:27:39] 史郎選手とかと練習しててすごいなんか
