=== 秋元 パッチーミックス 予想 ===
ChAWWqEmMtA | ジョビンのMMA塾 | 【ジョビン】パッチーミックス撃破！秋元強真はUFCで通用するのか？次戦予想
hi3D4JjDDd0 | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】メインで戦う秋元強真、今までの道のりを振り返る 朝倉未来とのSNSでのアツいやり取りにも言及『RIZIN.52』試合前インタビュー
OCT6kRRG_jo | junmma | 【UFC5】秋元強真 vs. パッチー・ミックス / kyoma Akimoto vs Patchy Mix【RIZIN】
uwItu4rB4UA | カクトウ5ch速報【格闘技まとめ】 | 秋元強真「UFC行った途端に減量がキツくてどうこうって言い訳すんな」【2chまとめ】【2chスレ】【5chスレ】
3q8R2U9PeUY | RIZINみんなの反応集 【ネット民の反応】 | 秋元強真がパッチー・ミックスに２RKO勝ち！
-kmrvZEEJwc | 朝倉兄弟【切り抜き】 | 【RIZIN.52 公開計量】秋元強真 vs パッチー・ミックス

=== 秋元強真 パッチー・ミックス 予想 ===
ChAWWqEmMtA | ジョビンのMMA塾 | 【ジョビン】パッチーミックス撃破！秋元強真はUFCで通用するのか？次戦予想
ZxrfWO3fUQc | ジョビンのMMA塾 | 【解説配信】秋元強真vsパッチーミックス解説配信
5kaQ6xxyq1I | ジョビンまとめ | 秋元強真に負けたパッチーミックスの使い道を考えるジョビン
xppG1rPXvkw | 格闘技2ch5chまとめ | 【衝撃】RIZIN.52有明大会のメインは秋元強真vsパッチー・ミックス！【格闘技反応】【ネットの反応】
2oKCFhEK9qY | 齋藤MMAチャンネル | 秋元強真がパッチーミックスを衝撃KO🔥　RIZIN
lWaG7LGvg5A | ABEMA 格闘【公式】 | 【速報】秋元強真 vs. パッチー・ミックス｜【RIZIN.52】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
r44zgezcrUI | oricon | 【RIZIN】秋元強真vsパッチー・ミックス、一触即発のバチバチ睨み合い！殺気溢れるフェイスオフにスタッフ制止　『RIZIN.52』公開計量
hi3D4JjDDd0 | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】メインで戦う秋元強真、今までの道のりを振り返る 朝倉未来とのSNSでのアツいやり取りにも言及『RIZIN.52』試合前インタビュー
ifLXeUg1qOg | ジョビンのMMA塾 | 【ジョビン】秋元強真がミックス対策として青木真也と練習
o17e-Oc1Agk | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】秋元強真、パッチー・ミックスと至近距離でにらみ合い 鈴木アナ「２人が離れません」『RIZIN.52』追加対戦カード発表記者会見
bAZTAtG9_9c | RIZIN FIGHTING FEDERATION | 【Trailer】RIZIN.52 | 秋元強真 vs. パッチー・ミックス etc.
QgHPXvv31h0 | カクトウ5ch速報【格闘技まとめ】 | ミックス 秋元のある事に気付いてしまう【2chまとめ】【2chスレ】【5chスレ】
sh_cgpW_RNw | カクトウ5ch速報【格闘技まとめ】 | 秋元強真大金星！！！ミックスをKO！！！ 【2chまとめ】【2chスレ】【5chスレ】
jLcsTyYSAZI | 格闘技2ch5chまとめ | 【あれ？】ミックスがUFC2連敗でリリース、あれ？この人も？【格闘技反応】【ネットの反応】
UA6s2jx5Lfg | U-NEXT格闘技公式 | 【RIZIN.52】秋元強真 vs. パッチー・ミックス【ハイライト】
2Bxsk9ZznfA | サンスポ | 【RIZIN.52】秋元強真、RIZINで〝敵なし〟状態もUFC行き否定「僕とやりたいなら日本に来い」　パッチー・ミックスを2回TKO撃破
gLMvqG88bQk | RIZIN大好き | 【超強真星】秋元強真VSパッチーミックス試合決定！
rqosb0xB-_w | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】秋元強真、青木真也との“寝技特訓”で自信つく！世界に強気発言「俺とやりたいなら日本に来い」
YDS9IxPZMfE | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】強すぎる19歳・秋元強真、元ベラトール王者をボコボコに！2R衝撃KO
3q8R2U9PeUY | RIZINみんなの反応集 【ネット民の反応】 | 秋元強真がパッチー・ミックスに２RKO勝ち！

=== RIZIN 52 秋元 予想 ===
lWaG7LGvg5A | ABEMA 格闘【公式】 | 【速報】秋元強真 vs. パッチー・ミックス｜【RIZIN.52】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
9z6YleHFSjg | ABEMA 格闘【公式】 | 【RIZIN】「どうなっても絶対に勝ちます！」気合い十分の秋元強真、10代最後の日を勝利で飾れるか！｜【RIZIN.52】ABEMA PPV現金キャッシュバックキャンペーン中！
XSGP7GsgwmQ | サンスポ | 【RIZIN.52】秋元強真、4年前に朝倉未来に送った〝弟子入り〟志願DM振り返る
bAZTAtG9_9c | RIZIN FIGHTING FEDERATION | 【Trailer】RIZIN.52 | 秋元強真 vs. パッチー・ミックス etc.
HRzZICrrmqA | ABEMA 格闘【公式】 | 【速報】ルイス・グスタボ vs. 桜庭大世｜【RIZIN.52】ABEMA PPVで全試合生中継！現金キャッシュバックキャンペーン中！
N9KGVXjLNwk | U-NEXT格闘技公式 | 【RIZIN.52】ルイス・グスタボ vs. 桜庭大世【ハイライト】
PCGY562KGAM | oricon | 【RIZIN】秋元強真、ミックスに衝撃KO勝利！朝倉未来からの祝福に感激「僕が背負っていきたい」 『RIZIN.52』試合後インタビュー
JTi7t_KwGTs | デイリースポーツ【公式】格闘技・プロレスチャンネル | 【RIZIN.52】秋元強真が激勝 朝倉未来の\
drY3N3zA52A | oricon | 【RIZIN】高木凌、秋元強真の勝利に衝撃「やばいっすね」リベンジ誓う  木村柊也にTKO勝利も不完全燃焼　『RIZIN.52』試合後インタビュー
WGB0txClyOo | デイリースポーツ【公式】格闘技・プロレスチャンネル | 【RIZIN.52】高木凌 秋元強真の激勝に「やばいしか言えないです」自身の今後は武田光司にラブコール
UA6s2jx5Lfg | U-NEXT格闘技公式 | 【RIZIN.52】秋元強真 vs. パッチー・ミックス【ハイライト】
xppG1rPXvkw | 格闘技2ch5chまとめ | 【衝撃】RIZIN.52有明大会のメインは秋元強真vsパッチー・ミックス！【格闘技反応】【ネットの反応】
hi3D4JjDDd0 | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】メインで戦う秋元強真、今までの道のりを振り返る 朝倉未来とのSNSでのアツいやり取りにも言及『RIZIN.52』試合前インタビュー
YDS9IxPZMfE | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】強すぎる19歳・秋元強真、元ベラトール王者をボコボコに！2R衝撃KO
q4DdU4aHmJw | デイリースポーツ【公式】格闘技・プロレスチャンネル | 【RIZIN.52】秋元強真　３月８日で20歳「２日ぐらい寝ずに遊びたい」20代は公私で充実「ベルト巻きたい」
lsbgDK63-rs | ENCOUNT｜エンカウント | 【RIZIN.52】 秋元強真「衝撃のKO劇」試合後会見
r44zgezcrUI | oricon | 【RIZIN】秋元強真vsパッチー・ミックス、一触即発のバチバチ睨み合い！殺気溢れるフェイスオフにスタッフ制止　『RIZIN.52』公開計量
dMmPNm3oSRI | サンスポ | 【RIZIN.52】〝超新星〟秋元強真「ステロイドだけ検査して」　Bellator元王者はカチン…　大会のメインカードが決定
rqosb0xB-_w | マイナビニュース【エンタメ・ホビー】 | 【RIZIN】秋元強真、青木真也との“寝技特訓”で自信つく！世界に強気発言「俺とやりたいなら日本に来い」
aVGZ8olG2g0 | U-NEXT格闘技公式 | 【RIZIN.52】高木凌 vs. 木村柊也【ハイライト】

