[00:00:00] じゃあ50終わりますありがとうござい
[00:21:33] どういう経緯でそうなったのかとかあの
[00:21:37] 本人はどう思ってるのかとかね
[00:21:42] で
[00:21:45] 間違いない
[00:21:46] 雷神だから受けたのかでも
[00:21:48] ムエタイにも自信があるのか
[00:21:50] とかねそうですね
[00:21:54] メーターは
[00:21:55] 自信はあるんだろうけども運命もね
[00:21:57] チャンピオンですよね一応
[00:21:59] 胃腸とか言っちゃダメなんでタイでも
[00:22:01] チャンピオンなってるんで
[00:22:03] そこはまあ強いということで
[00:22:07] いますかねはい
[00:22:09] じゃあ次が第7試合はい
[00:22:13] 安倍第一選手対玉野響選手でこれ
[00:22:16] ウェルター級の
[00:22:18] 試合ですねはい
[00:22:21] まあ
[00:22:25] 安倍選手は
[00:22:26] 打撃系の
[00:22:30] 打撃とあと10秒だったかな
[00:22:31] [音楽]
[00:22:34] の選手で
[00:22:36] 田村響選手は
[00:22:37] シュートの艦隊兵用のチャンピオンにです
[00:22:40] よね
[00:22:41] うんそうですねはいでまあ
[00:22:45] 打撃というよりは寝技がうまい選手うまい
[00:22:47] というか強い選手で
[00:22:51] 結構もう固く試合を
[00:22:54] 組むというかそうですね
[00:22:56] 不要な選手
[00:22:57] ですよね
[00:23:01] 安倍選手は多分
[00:23:03] ゴリゴリに行くだろうし
[00:23:05] 年齢ですね
[00:23:06] 結構ありますね
[00:23:09] 寝かしていきたいんじゃないかなと思うん
[00:23:10] ですけどそうですねやっぱパワーも
[00:23:13] 安倍選手のありそうだしちょっと多分
[00:23:16] 選手はまあカルペリウム福岡でまああの
[00:23:19] うちにも来てくださったことがあってそう
[00:23:21] なんですね
[00:23:22] めちゃくちゃ強いみたいですけど充実は
[00:23:25] 特にはいただやっぱり
[00:23:27] mmlの中で
[00:23:29] アル選手取ってなった時にまあちょっと
[00:23:32] やっぱり
[00:23:34] 安倍選手の方が有利なのかなという気はし
[00:23:37] ますよね
[00:23:40] 形容詞そんな気がしますねパンチでそう
[00:23:42] ですねやっぱ打撃のところでは差があるの
[00:23:45] かな日本で今もうどうなんすかねやっぱ
[00:23:48] トップ級の1人なんだと思うんですよね
[00:23:50] 選手
[00:23:52] そうですね
[00:23:54] 買ったからもう
[00:23:56] 言ったらまあこの階級ってシトラッサー
[00:23:59] さん中村慶太郎選手で安倍第一選手日本人
[00:24:04] で言うとこの3人三峡だと思うんで
[00:24:08] そこで
[00:24:10] ストラッサーさんに勝ったんで
[00:24:12] 実質的にまあトップですよねはいだと思い
[00:24:16] ます
[00:24:17] まあちょっと
[00:24:19] そうですね
[00:24:21] そうですね
[00:24:25] 慶応予想ということで
[00:24:28] 本田さんもいつか一緒ですはいじゃあ次
[00:24:34] 佐々木慎一選手対パトリックサミン
[00:24:38] 選手
[00:24:40] これはまずちょっと
[00:24:43] 僕が聞きたいんですけど小野田さんに
[00:24:44] LDHどんどん辞めてるじゃないですか
[00:24:47] どういうことなんですか実際どういうこと
[00:24:50] なんですかね
[00:24:53] 他誰が中村
[00:24:56] 凛也選手も
[00:24:57] 中村りんや選手は先に辞めて
[00:25:00] で宇佐美選手は残ってたんですけどあの
[00:25:04] ロード系FCで軽量オーバーしちゃってで
[00:25:08] 抜けたと思ったらその数日後ぐらいに雷神
[00:25:11] に発表っていうこれ
[00:25:14] LDHは出れないんですかねっていうこと
[00:25:16] なのかなだから抜けてるのかなではなくて
[00:25:21] 何なんだろうなぁと思ってね
[00:25:24] 本当にそうそうそうそう中村梨亜選手は
[00:25:29] RoadtoUFCで残っている
[00:25:31] 残ってますね
[00:25:32] 残って残ってますあの明日ですよ明日ね
[00:25:34] 今日
[00:25:36] 風間選手の相手が欠場して風間選手が決勝
[00:25:39] 行ったんですよねそうですだから日本人
[00:25:42] 対決に中村選手が勝ったらな
[00:25:44] るってことですねそうだからもう
[00:25:47] 残ってるのが3人日本人なので全部もう
[00:25:50] 契約はあそっかそっかそう
[00:25:55] 言ったら契約だから多分2人は契約するの
[00:25:58] かな中村選手の相手誰ですか
[00:26:01] あれじゃないですか
[00:26:03] 乗せ
[00:26:05] 選手じゃないですか
[00:26:08] そうなんですね明日の8時から阿部まで
[00:26:11] 無料
[00:26:12] 配信
[00:26:13] うん
[00:26:15] 朝8時から
[00:26:17] あー夜ですよ夜
[00:26:20] 雷神終わった後ですね
[00:26:23] なんかせっかくなんだろうその
[00:26:27] LDHのねあの
[00:26:29] 番組でそうそうそう人気があったし強かっ
[00:26:34] た選手だったんですけどね2人ともね
[00:26:37] どんどん抜けてっちゃうっていう
[00:26:41] ねちょっと
[00:26:43] 深層を知りたいですよね
[00:26:45] まあそうですねなんか縛りがあってって
[00:26:49] いうことなんだと思いますけどね普通に
[00:26:50] 考えたら
[00:26:52] うん
[00:26:54] はい普通にパトリック選手は
[00:26:56] ボクシング6巻でしたっけそうですそう
[00:27:00] ですねで佐々木心に選手は
[00:27:04] 元
[00:27:05] 州と艦隊兵をチャンピオンとあと
[00:27:08] グラデータの
[00:27:10] チャンピオンじゃないか
[00:27:22] ソースね
[00:27:25] あ暫定王者にはなってるんですねうんはい
[00:27:31] 雷神は2016年に
[00:27:34] 初回の大会に出てるんですね初回です
[00:27:37] 誰とやってるんですか
[00:27:38] フループシャンク
[00:27:40] シャンクが勝ってるよねうん
[00:27:50] 宇佐美選手
[00:27:52] すごいですからねラッシュラッシュという
[00:27:54] か
[00:27:54] 打撃の
[00:27:55] 勢いねもう一気に
[00:27:58] 決めちゃう
[00:28:00] パターンはありますよ大いにありますよね
[00:28:03] 僕もそうですね一ラウンドKOかなーって
[00:28:05] いう予想すねその打撃で
[00:28:08] 宇佐美選手
[00:28:09] まあ今はわかんないですけど
[00:28:13] シュートの試合で
[00:28:14] テイクダウン取られてはい
[00:28:16] 結構上取られてる時間が長くてはい
[00:28:22] 相手の選手がまあそんなに決め決めの選手
[00:28:24] じゃなかったのでエスケープしてその
[00:28:29] 後KOしたんですけどはいただその
[00:28:32] 選手と比べると佐々木選手のね技の力が
[00:28:35] すごく強いと思うのでそうですね最悪
[00:28:39] 下からまあ三角絞めが得意なので作戦は
[00:28:44] 下から三角字目をやるだろうパトリック
[00:28:48] 陣営もそれを見越して作戦を立ててる練習
[00:28:52] をしているとは思うんですけど
[00:28:56] 多分
[00:28:57] 先週
[00:28:59] の今まででやってきた中で一番強い
[00:29:03] 間違いないですねそれは
[00:29:05] 経験ももちろんあるしただやっぱなんせ
[00:29:09] 早いっていう
[00:29:11] 早いしこう馬力があるので
[00:29:14] [音楽]
[00:29:16] 佐々木選手が飲み込まれなければ
[00:29:20] 寝技に持って行って
[00:29:22] うまいことコントロールして
[00:29:25] 決めちゃうと思うんですけどそうですね
[00:29:27] 最初のこの
[00:29:29] バーっていう
[00:29:31] ものに飲み込ま
[00:29:34] れたらもうそのまま終わっちゃいますね
[00:29:36] ワンサイドで
[00:29:37] それこそ2分ぐらいで終わっちゃうことも
[00:29:40] あるだろうし
[00:29:40] [音楽]
[00:29:43] どっちも考えられますよね
[00:29:45] 本当になんか判定までいったらそれこそ
[00:29:48] 佐々木選手のやりたかったゲームプランに
[00:29:50] なってると思うんですよねグラップリング
[00:29:52] 中心ででその場合はなんか判定が違うのか
[00:29:55] なという気もするんですけどやっぱり
[00:29:58] 早い段階でまだ目が慣れてないうちになん
[00:30:00] かよくわけわかんない間にラッシュされて
[00:30:02] 倒されちゃうみたいななんかそういう展開
[00:30:05] が
[00:30:06] まあそれはねもちろん佐々木選手も
[00:30:09] 想定してると思うんですがまあ22歳と
[00:30:12] 42歳という年齢の部分もありやっぱり
[00:30:16] 反射神経はねどうしても
[00:30:18] 落ちてる部分あると思うんで
[00:30:21] 僕も宇佐美選手の一覧の教が中予想ですよ
[00:30:24] ね
[00:30:27] ただ頑張ってもらいたいですねあもちろん
[00:30:29] もうそれは頑張ってね
[00:30:33] 自分を見てるようでなんか
[00:30:36] 頑張れ頑張れって思うんすよ
[00:30:37] 確かにね世代的にももう
[00:30:39] 毎年ですかほぼ同じくらいかな1個下に
[00:30:42] なります佐々木選手も
[00:30:44] そうですよこの
[00:30:47] [音楽]
[00:30:49] 宇佐美選手の負けは多分その軽量オーバー
[00:30:52] の負けですよね
[00:30:56] ちゃんと試合して負けたんですかね
[00:31:00] 誰に負けてます
[00:31:03] 書いてないんじゃないかなこっちにはなあ
[00:31:05] 行けど
[00:31:07] 4勝1敗になってるんですよはいはいあ
[00:31:11] たいそうの選手に
[00:31:13] 負けてますね
[00:31:19] 安定負けしっかり負けた感じだったかな
[00:31:21] これはだから
[00:31:31] なるほど
[00:31:33] はい
[00:31:35] 寒さどっちっすかいやー
[00:31:38] どっちかって言ったら
[00:31:40] 宇佐美選手ですね
[00:31:42] 高木選手応援の息子さんたちに
[00:31:46] [音楽]
[00:31:48] 契約体重は
[00:31:50] 75キロこれは佐々木選手に合わせた
[00:31:53] らしいですねそういうことなんですねはい
[00:31:58] なるほど
[00:32:00] ありましたまあでもなんかあれですかね
[00:32:02] 判定までお互いにね
[00:32:04] 決めが強い選手とだけが選手なんでどっち
[00:32:07] かで決まるかもしれないですね3点まで
[00:32:09] 行かないと思います
[00:32:11] フィニッシュ率75%同士なんでまあ
[00:32:14] 慶應か1本でしょうね
[00:32:16] はい
[00:32:18] じゃあ次行きます
[00:32:22] 武田光司選手対ザ選手っていうとこで
[00:32:27] ザック全員選手は
[00:32:29] 雷神初めてですかね
[00:32:31] 初めて
[00:32:32] ハワイのトライアウトで
