[00:00:00] 皆さんこんにちは
[00:08:33] 弱いんじゃないのグランドだねでも
[00:08:36] ブランドの強さもまだわからない
[00:08:47] ちょっとだけいやーみんなちょっとやられ
[00:08:50] たから
[00:08:51] タイでいてちょっと元一生懸命
[00:08:55] そのなんかその方にポイントだけ
[00:09:01] みんなが
[00:09:02] 考えるからちょっとこれで中国になりまし
[00:09:05] たねカバーしてね
[00:09:08] ポイントをカバーしてると思いますけど
[00:09:11] 牛久選手もなるべくたくさん殴って
[00:09:14] でもまあちょっと待ってください
[00:09:17] レベルやってきたらなんでここはね
[00:09:19] ちょっとはいでもたくさん殴っていいです
[00:09:22] よ
[00:09:24] でもまあ
[00:09:27] いつもと一緒だねー
[00:09:33] [音楽]
[00:09:40] [音楽]
[00:10:00] その後にベルトモデルとか
[00:10:05] ここはねここはこんな私でも一応
[00:10:10] クレメールね
[00:10:12] ベルトやっぱねなかなかね負けなかった
[00:10:14] ですからね
[00:10:19] ここはでもいっぱい牛久選手を殴って
[00:10:21] ください
[00:10:23] そこはお願いしますとりあえずだね
[00:10:31] マジで皆さん
[00:10:34] お願いしますねはい今
[00:10:38] 本当に
[00:10:39] 寝るまで本当にありがとうその後に
[00:10:42] 弟
[00:10:42] 応援してください
[00:10:43] みんなありがとうございますまたねー
[00:10:48] このツバブルたちよ
[00:10:52] 出てこいや
[00:10:53] [音楽]
