[00:00:00] ハローハロー。
[00:02:14] そこでじゃあもう大体ほらプロテインってさ、チョコレート味とかそういう甘い系じゃん。
[00:02:19] で、じゃ、バイタスのピーチこの前に
[00:02:22] マジで買ってくれたんすか?嬉しい。それ
[00:02:23] これだったら飲むんじゃないって俺用にだって俺はもうつも
[00:02:27] 飲んでるのあるから用に
[00:02:29] バイタスのピーチ買って
[00:02:31] マジで嬉しい。
[00:02:32] うん。
[00:02:33] 概要欄から買ってくれました。僕の
[00:02:34] はあ。そんなのあったの?
[00:02:36] もうだけど。
[00:02:37] Amazonの
[00:02:38] そう。僕のあのファン
[00:02:39] それ毎回言ってよ。
[00:02:41] 結局概欄から買ってくれんから別に概要欄から買ってくれたって正直僕にインセンティブが入る正直ないんですよ。うん。
[00:02:47] ただ僕がいくら売ったかってわかるんで。それじゃそから
[00:02:50] お願いします。
[00:02:51] あれ1kgんよねえ。
[00:02:52] 1kgしかないの?この
[00:02:53] いやサイズちょっと僕はこれでしかいつも買ってないですけど。
[00:02:56] これ1kgでしょ?
[00:02:56] はい。1kgうん。
[00:02:58] でピしかったでしょ?うん。しかった。
[00:03:00] で、これキイがまた美味しいんすよ。これ一応バイタスの
[00:03:02] 1番の少すキが。
[00:03:04] これおすすめなんで。
[00:03:05] はい。ちょっと飲みましょう。お疲れ様です。だきます。
[00:03:10] ああ、うまいね。
[00:03:12] うまいでしょ。
[00:03:12] ジュースじゃん。
[00:03:14] なんかこれも後味がそんな甘きつくないなくていいね。
[00:03:20] さっぱりだわ。
[00:03:21] さっぱりでいいでしょ。なんか確か海外のやつってすごい甘みが残るすもんね。口に。
[00:03:26] そう、そう、そう。じゃ、今度これにしようかな。やっぱなんかさ、みんなチョコレート系だからさ、こうフルーツ系を試してみて
[00:03:33] 味想像できるじゃん。チョコレートとかバナナとか。
[00:03:37] ピーチとかさ、キイってどんな味なのと思って。
[00:03:39] でもマジキの味します。フルーツの。
[00:03:42] うん。
[00:03:44] これさ
[00:03:44] はい。
[00:03:45] これシェイクするか無理だけどさ、
[00:03:47] 炭酸水で炭酸でやっても美味しいよね。
[00:03:49] あ、多分それできると思う。はい。
[00:03:51] けどやりづらいけど。
[00:03:53] 混づらいけど。
[00:03:54] これ水だけでこの味ができんのがいいじゃないですか。昔牛乳とかじゃないともうプロテインで混じすぎて飲めなかったすけど。
[00:04:00] ええ、ありがとうございます。次買えます。
[00:04:02] ぜひぜひ僕の概要欄から皆さんもお願いします。
[00:04:05] はい。はい。
[00:04:06] で、ま、来人の話の前やってください。あ、
[00:04:09] じゃあ行きましょう。人の話。
[00:04:12] 人のチャンネルやから
[00:04:13] 時間が
[00:04:14] かわさん全編もうただの話で終わってたじゃないですか。
[00:04:15] [笑い]
[00:04:17] 全編さ来人の話してないから
[00:04:19] 1
[00:04:19] 時間10
[00:04:19] 分撮影してもう全編だからいろんな小話で
[00:04:22] 小話で終わってるから怒られないかな。
[00:04:23] [音楽]
[00:04:24] あの、あちゃんの試合見ました。
[00:04:26] あなちゃん?
[00:04:27] あなちゃん見ましたよ。
[00:04:28] 良かったっすよね。
[00:04:29] 良かったすか?
[00:04:30] うん。
[00:04:31] かなりこう何ベテランていうか、もうさ
[00:04:35] 44でしょ?
[00:04:36] はい。
[00:04:36] 俺41までしか戦ってないけど、やっぱ
[00:04:38] 40過ぎると
[00:04:39] はい。
[00:04:40] もう本当にあの反応も遅いし、動きも遅いし
[00:04:43] はい。はい。
[00:04:44] やっぱりああいう試合になっちゃうね。勝つことで褒めてって思う俺は。
[00:04:47] うん。
[00:04:48] あの年齢でリングに上がって戦って勝つことでも
[00:04:53] 100点じゃんて思っちゃうから。
[00:04:55] それ以上あんまり多く期待されちゃうと
[00:04:57] スタミナ切れがちょっと心配でしたけど。
[00:05:00] ここまで工房は正直なかったです。激しい工房は。
[00:05:02] ま、ま、うん。
[00:05:03] いや、今日頑張ってよかって。なんか感動するよね、あいう試合って
[00:05:06] ね。いや、感動も入場で1
[00:05:08] 番感動しましたけどね。
[00:05:09] うん。いいよね。それがなんかベテランの戦いってやっぱり
[00:05:14] そういう若手のようなね、こう打ちゃうような激しいはできないけど
[00:05:19] ベテランだからこそできるって。だからこそじゃお金ベテランしかできないような
[00:05:24] 試合じゃん、あれって。
[00:05:25] けどっていうか面白く試合にこうなりづらいじゃん。面白い試合に。
[00:05:30] はい。
[00:05:31] だけどこのそれで戦って勝ったっていうの評価しあげてほしいなと。
[00:05:35] そういう試合が好きですし定せざるを得ないですからね。
[00:05:38] まあまあ俺があれをつまんねえって言ったら俺自分を否定してることになるから
[00:05:40] [笑い]
[00:05:43] あげて言ってもいいんじゃないですか。
[00:05:44] いやいや無理でしょ。もう全部全否定してることになるから自分をもうあれは良かった
[00:05:49] ね。まあまあもうほん当感動してもう買ってよかった。もう僕仲間なんでずっと撮影してる。またしてあげてくださいよ。
[00:05:54] いや、3人でコラボしたいす、ここ。
[00:05:56] ああ、それでもいいっすね。
[00:05:57] 色々聞きたいっす。
[00:05:58] あ、やります、それ。
[00:05:59] はい。
[00:05:59] あ、それ面白そう。
[00:06:00] うん。
[00:06:01] でも川さんにもペコペコしすぎて気持ち悪いんですよね。
[00:06:03] ねえ。なんで?
[00:06:04] ね。
[00:06:06] あれ
[00:06:06] もっとちゃん普通にしてほしいの?俺なんか
[00:06:08] 人を選んでやってますから。
[00:06:09] ああ、人にとよって態度変える人ね。
[00:06:12] そういう人間さんとかぴコぴょコぴょコ
[00:06:16] 僕なんか全然構わんないじゃないですか。
[00:06:17] うん。
[00:06:18] さ木さんは逆に人によって態度書いて僕にはものすごい扱いですけど、
[00:06:23] みんなに優しいけど上便さんにだけはちょっと厳しい。
[00:06:26] ただそれがいいんですけどね。
[00:06:27] まあまあ、それをみんな期待してるからね。
[00:06:29] そうですね。
[00:06:29] さ木さんもそれを分かって怒ってるからね。
[00:06:31] ね。
[00:06:31] ちょっと怒りたんなかったな。[笑い]
[00:06:32] 怒りたんなかった。反省してましたから。
[00:06:34] どういうこと?何を反省してるの?
[00:06:36] どういうことって感じですけど。あとシュートとかもね。長い長い。選手
[00:06:41] あんなファイトスタイル好きでしょう。
[00:06:43] いや、好きっすね。
[00:06:43] というかすごくない?なんか
[00:06:46] 20十歳で
[00:06:47] ねえ、
[00:06:48] あれをできるってすごいなと思って。
[00:06:50] そうなんす。トライブ以外行ってないらしいたもん。ずっとトライブで
[00:06:53] でもね、あそこで揉まれたら強くなるわ。
[00:06:56] ああ。いや、今後めっちゃ楽しみ。
[00:06:58] マジで本人言ってるし行くし。ま、バンタム級だからね。ちょっと厳しいかもしんないけど、タイ達選手のようになるんじゃないかなて。で、
[00:07:07] フィジカルマジ強いからあれが強みすよね。海外選手にもそんな負けんと思う。
[00:07:11] 負けないと思うし。
[00:07:12] たくさんもすごいじゃん。あれ普通の選手だったらタオりすよ。かなりもモロにもらってたよね。何発かもあのでもグラップラーなんでもう打撃なんかそんな考えずに俺どんどん組に行けばいいと思うけど俺は。
[00:07:25] いやなんかめっちゃ応援したくなった。ていうか
[00:07:28] ね
[00:07:29] こう応援して見たこうずっと応援していきたいって思えるファイターで今後見ていきたいとか尻さんシュートの選手取り上げたらいいのにと思うんですけど
[00:07:37] だからさ
[00:07:38] 僕ディープめっちゃ取り上げてるじゃないですか。
[00:07:40] ディープの人とコラボしていって
[00:07:41] うん。ジョビンさんみたいなこうガンガン行けないんだ。
[00:07:45] あ、
[00:07:45] 年あの現役選手はない人だって行ける。
[00:07:49] うん。
[00:07:49] だし俺ほら上の人だったら行けるの。佐藤大輔さんとかさ、
[00:07:53] ちょ取ってやってくださいよみたいなけど下の選手にしかも現金の選手の時間を削って
[00:08:00] しかも俺に頼まれたらさ、やでもなんか断りづらいじゃん。でも向こうもメリットあるっすからね。
[00:08:05] で、PR
[00:08:05] してもらって人気出たりとか僕のコラボする相手大体輝っすよ。
[00:08:09] だ、ジョビンさんみたいな大御所になれば格闘技系
[00:08:11] [笑い]
[00:08:13] YouTuber
[00:08:13] の大御所になれば向こうにメリットだけど。
[00:08:15] さっきは撮影以外でUFC
[00:08:16] チャンピオンみたいな立ち振る舞やなみたいなこと言ってきて。
[00:08:19] そう。もうまるでUS
[00:08:20] でか出してみたいな。[笑い]
[00:08:21] ムかつきます。やっぱり
[00:08:23] 全然むかつかない。面白いけど立ち振る舞いじゃないですか?
[00:08:26] 立振です。
[00:08:26] でも大御じゃないですか?
[00:08:27] YouTuber。
[00:08:28] そんなことないっすよ。
[00:08:30] なんかさ、ジョビンさんが言うとさ、みんなあれだよね。
[00:08:33] ジョビンさんが言ってるから正しんだ。
[00:08:35] まね、そう、結構なりがちっすよね。
[00:08:37] ま、僕めっちゃ自信あるんで、僕の理論は。
[00:08:39] ま、ま、そんなまあまあまあ理論は間違ってないと思うけど、
[00:08:42] ま、普通の、
[00:08:43] 普通のことをさも過ごそうに言うのがうまいよね。
[00:08:47] [笑い]
[00:08:47] まあ、まあ、口中うまいですからね。
[00:08:48] うん。だから申し訳ないできないっすよ。その長いせとかさ、ちょ、聞いてみたいけどさ、
[00:08:53] 長い体じゃ僕は狙うから長男さん経由で
[00:08:56] その方が目立男さんも喜ぶと思うけど。それ
[00:08:58] 俺とやるだから男さん月
[00:09:00] 1長男あるでしょ。
[00:09:01] そう、そう。長南さんやろ。
[00:09:03] のあの喧嘩をブ勇
[00:09:06] [笑い]
[00:09:07] 絶対続けてね。
[00:09:08] もちろん絶対武勇く。
[00:09:09] あの髪の声コーナー的な感じで女のコーナーそんな話かよとか言いながら絶対言うと思う。
[00:09:16] 俺はあれが1番聞きたいんだ。
[00:09:19] みんなはそうだと思うよ。
[00:09:20] あれ萩原強兵とかも言ってるらしいですからね。あの話言うね。ちょっといいか話がある。全部言うで
[00:09:25] [笑い]
[00:09:26] 可愛いよね。長男さん好きなんですよ。やっぱ
[00:09:29] でもやっぱ長男さんの選手が強いのが嬉しいです。
[00:09:31] いや、すごいよね。やっぱ今
[00:09:33] 1番すごいんじゃない?
[00:09:35] MMAジブで
[00:09:35] ね。だから川リさんもとにかくシュートの戦術取り上げ本当業界にとても意味あると思うんすけどね。やっぱシュートがそんな盛り上がってないです。
[00:09:42] まあまあまあまあ
[00:09:43] だからさんがそういうの
[00:09:44] シュートレミのシュートの解説もさせてもらってたからもらってるからね。
[00:09:47] はい。ねそんなやったらいいと思うんですよ。
[00:09:49] 選手いいな
[00:09:50] ね。
[00:09:51] 今後絶対来るよね。
[00:09:52] ね他るんですか?シュートでなんか有望なだったかの前の田上小選手とかもあれ見てない。
[00:09:59] 山神選手に
[00:10:00] はい。あ、全球すよね。
[00:10:02] そうだ。ストローが
[00:10:05] ないじゃん。
[00:10:06] ストローのって日本とワぐらいな。
[00:10:08] そうすね。
[00:10:09] USでもないし。
[00:10:11] だから強い選手いるんだけどいまいち目立ちづらいじゃ。
[00:10:15] はい。はい。そうですね。
[00:10:16] で、フライとかだったら来人でもね、フライグランプリやってるし、
[00:10:19] USでも盛り上がってるしみたいな。
[00:10:21] だから俺昨日の自分の
[00:10:23] Gラジオで言ったんだけど、
[00:10:25] もう
[00:10:26] この昔のね、プライドが買収された時にはい。
[00:10:30] USの1年に1回USC
[00:10:32] とプライドのチャンピオンがスーパーボールみたいに戦いますみたい言ってたじゃん。
[00:10:37] はい。そうですね。言った。
[00:10:38] と一緒にでもうパンクラスディープシュートを共同開催みたいな形でもいいし雷来人の力借りてもいいし
[00:10:49] スーパーボールみたいに
[00:10:51] 1
[00:10:51] つのベルトを作ってストローの
[00:10:54] で1年に1
[00:10:55] 回各団体のチャンピオン戦ってそれを競い合うみたいな感じで
[00:11:00] やれば
[00:11:00] そうっすね
[00:11:01] 盛り上がると思わないじゃなきゃもう世界がなさすぎて
[00:11:04] でもそれを人がやってるんですよね。
[00:11:06] ま、ま、近いことというか、その各階級のチャンピオンとかをわせるみたいな。
[00:11:10] そう、それをもうフライ級とかはけど世界を見据えられるじゃん。
[00:11:14] 雷人の大育場は言えったらどうなのみたいな。ただ
[00:11:17] 1
[00:11:17] にしかない上にワってこの前パンクラスの
[00:11:20] あのストローチャンピオンのクロサー選手契約したけど
[00:11:23] はい。
[00:11:24] MMA
[00:11:24] あんま組まれてないじゃん。今度のワンの日本大会前はもっと
[00:11:27] MMA多かったね。
[00:11:28] そう、そう。だからいいまいち選手も目標じゃあチャンピオンになったらポのチャンピオンになったら月どうすればいいのみたいな。
[00:11:35] 目標その上の目標起きづらいしファイトマネ上がりづらいし
[00:11:40] だからもうじゃあ来人じゃなくてパンクラスとディープとシュートで共同開催とかで
[00:11:47] はい。
[00:11:48] もうそれだと金上がりづらいのか
[00:11:50] ハイト上げてもっと輝く舞台を作ってほしいよね。
[00:11:53] そういうの川じさんが動いたらいいんじゃないですか?もうちょっとさんはあなたは何工業主になってくれますか?
[00:12:00] いやいや、それはなんないですけど
[00:12:02] ジョビン団体
[00:12:03] スポンサーぐらいだったらいいですよ。
[00:12:04] そんな大会の
[00:12:07] はい。
[00:12:07] あ、カムリスポンサージョビンプレゼンツアンディプレゼンツ
[00:12:10] 僕がさ木さんとコラボよくやるじゃないですか。
[00:12:13] シュートの代表とかとやったりとか。いや、マジでいいと思うけど。田選手とやりたいです。プロモーターになった岡田涼君とかと
[00:12:21] ちょっとやってみたいですね。シュート俺は盛り上げたいすよ。
[00:12:23] そういうのどんどんシュート無上げ使。
[00:12:25] そう。レミのシュートのね、見所とかはい。
[00:12:28] レミのシュート解説させてもらってるし、もう本当はね、もやりたいけど。そう、そう。ちょっとやってみたいです。
[00:12:34] も、
[00:12:34] あ、それはいいなと。
[00:12:35] そんなやっていきましょう。それが業界にとって絶対プラスですよ。
[00:12:38] 確かに。もうちょいね。だから、え、影響力持ちたいです。女優さんぐらいそれをやっていくうちについてきますって。川路ジのチャンネル出たらやっぱいいなってなるんすよ。
[00:12:47] 僕もそんな全然数字ない時からやってますから。
[00:12:49] さ木さんと
[00:12:50] さ木さんともそうだしろんな人とコラボしてだんだんだんだんのチャンネル出たら好感度上がるなみたいな。そ、そうだよね。
[00:12:56] やっていきましょう。シト。はい。
[00:12:58] お願いします。
[00:12:58] お願いします。じゃあ、え、ライジン51
[00:13:01] の、え、カード勝敗予想なんですけど、なんとまたしても僕じゃんけで負けてしまいまし、
[00:13:07] そうですよ。
[00:13:08] 結構なカードを捉えてしまいました。なんか俺ばっかりこう本当に
[00:13:13] はい。
[00:13:13] 公平にね、じゃんけんでやってるからね。
[00:13:15] そう、そう、そう。はい。ただね、あの、ま、負けちゃったんで
[00:13:18] はい。
[00:13:20] え、ま、僕の方
[00:13:22] はい。
[00:13:23] ちょ、メインとか取られちゃったんですけど、え、
[00:13:26] またメイン取っちゃった。
[00:13:27] オープニングとかはまあいい。オープニングも
[00:13:30] いや、ま、でもしてる選手います。
[00:13:32] まあ、太田翔庫ってここに来てくれたりとか
[00:13:35] はいはいはい。
[00:13:36] あの対抗戦出た子ね。
[00:13:37] うん。
[00:13:39] いい選手やね。
[00:13:40] あ、でもストリートボブ幸介てことが名前に入ってる時点でどうなのかなって思っちゃったりとかで戦績も全然すよね、正直ね。
[00:13:49] ええ、九勝
[00:13:51] 2勝6杯。うわあ、ちょっと
[00:13:52] オープニングとはいえの先出れちゃうんかと思っちゃうけど。
[00:13:56] ちょっとそうすね。
[00:13:57] ま、ディープファイター同士の試合ですよね。
[00:13:59] へえ。あ、そうなんだ。
[00:14:00] はい。ま、あんまわかんないですね、これはね。え、かじさんもちろん解説ですよね、この試合。ここ、
[00:14:04] あ、この大会解説です。
[00:14:05] オープニングから
[00:14:07] オープニングからですかね。はい。なるほど。
[00:14:10] [音楽]
[00:14:11] オープニングからすね。
[00:14:12] まあ、まあ、でもオープニングはいっか一旦。え、じゃあ僕の法は八裕介ミラルカ。
[00:14:19] あ、これがね、歯が選手がね、あんまないんだよね。
[00:14:25] いや、そうなんだよ。僕も見たけど。
[00:14:26] うん。
[00:14:27] うん。
[00:14:28] あの、藤村戦しかなかった。
[00:14:30] うん。
[00:14:30] あ、ないっすよね。
[00:14:31] うん。
[00:14:32] グラちゃんってさ。
[00:14:33] うん。
[00:14:34] ほら、自分の
[00:14:36] なんかあるじゃん。みたい。
[00:14:38] YouTube
[00:14:38] とかメンバーシップでメンバーシップで
[00:14:41] 囲っちゃってるんじゃない?
[00:14:42] 俺さ、
[00:14:43] これあんま悪く言いたくないけど、ファイティングネクサスもそうなんだけどさ。
[00:14:46] あ、
[00:14:47] こういう舞台に出る人いるでしょ。
[00:14:49] はい。はい。
[00:14:50] そういう時はそのメンバーシップオンリーのやつをオール効果に
[00:14:55] 確かにいいこと言そうっすね。そうするた方がいいすよね。あ、こんな試合してるんだ。そこで興味持っじゃん。団体。
[00:15:01] うん。いや、いいこと言う。
[00:15:02] USもそうじゃん。いつもUS
[00:15:04] ファイトパスで有料課金ユーザーしか見れないけど
[00:15:08] 試合前になるとその人の前の試合とか有料で、あ、無料で見れるようにもそうする。それをやってほしいなと思う。
[00:15:16] そうすよね。
[00:15:17] せっかくさ、このチャンスなんだからさ。
[00:15:19] もっとその選手のこと知ってほしいじゃん。
[00:15:21] そうグラちゃんのことも知ってくれるかもしれない。
[00:15:22] そう、そう。グラちゃんも来て来てくれたり選手出るんだったら行こうってなるじゃん。
[00:15:27] はい。
[00:15:27] はい。
[00:15:27] あまりにもね、そこがま、そのメンバーシップにこだわりすぎて
[00:15:31] 確かにいいこと言う。
[00:15:31] うん。で、そう言ったらけどファイティングネクサスは前回少してくれたから
[00:15:35] はい。
[00:15:35] 解説した時にすげえあ、いいなと思った。はい。はい。なるほど。で、で、ま、選手のね、あんまりデータないけど、ま、とりあえずグラちゃんの第
[00:15:43] 5台ライト級チャンピオンで
[00:15:45] 木村也と
[00:15:47] はい。
[00:15:47] あの憲法、日本憲法とで戦ってる決勝まで行って
[00:15:51] ええ、
[00:15:51] 僕その試合見ましたよ。
[00:15:52] あ、そうなんだ。
[00:15:53] で、金村也が決勝で買ってました。
[00:15:55] はいはいはい。1
[00:15:56] 本勝ちだったから。
[00:15:57] へえ。
[00:15:57] でもね、マジ憲法独特の構えで距離感遠で
[00:16:01] そんな簡単じゃないと思うんですけど。
[00:16:03] はい。
[00:16:04] ただ八裕介って結構慣れてると思うんすよ。堀口と散々やってるから。
[00:16:08] あ、確か
[00:16:09] そこまでそこの強みはきないんじゃないかなって。ま、最近はやってないでしょうけどちょっとま、ある程度慣れてる気はする。
[00:16:16] パンクラ3
[00:16:16] 連敗なんだよね。大澤さんも言ってたけど。
[00:16:18] [音楽]
[00:16:19] 誰がすか?
[00:16:20] ハが選手。
[00:16:21] ああ、パンから3連敗で。そう。
[00:16:23] で、グラちゃんに来て
[00:16:25] うん。6
[00:16:26] 連勝とかしてるから
[00:16:27] うん。
[00:16:29] ちょっとね。うーん。ちょっと正直落ちるのかなって感じはある。ま、
[00:16:36] グラちゃんのレベルはどう、ま、木村也選手とかは
[00:16:41] もちろんあれだけどパンクラスディープ
[00:16:43] はい。
[00:16:44] シ、ま、シュートとかのこのとこと比べるとちょっと
[00:16:48] 落ちるでしょ。
[00:16:49] チャンピオンのレベルとかも落ちるのかなって感じはするんで。
[00:16:52] ま、
[00:16:52] もちろんいい選手いますよ。木村。
[00:16:54] うん。そうですね。だ、人それぞれやけど全体的のね。
[00:16:57] あと木村っていくらチャンヌなんですかね。
[00:16:59] あ、木村じゃない。木村一郎選手。
[00:17:02] 木村一郎。
[00:17:04] ロードUSの
[00:17:05] 中村一郎。
[00:17:06] あ、中村木村じゃない。中村一郎。
[00:17:08] あれグちゃんでしたっけ?
[00:17:09] グラちゃん。そ
[00:17:10] 全然木村って言ってたん。はいはいはいはい。
[00:17:12] 一緒だ。まあ、ま、で、僕のでも可愛い
[00:17:15] 6下りちゃんを完封してるんですよね。
[00:17:18] が勝ってるの。
[00:17:19] ハが選手がちゃんで。
[00:17:21] あ、勝ってるんだ。
[00:17:21] ええ、
[00:17:22] 2025年3月のでも最近ですよ。
[00:17:24] あ、じゃ、最近じゃん。すごいじゃん。
[00:17:26] そうなんですよ。
[00:17:26] ダリ選手めっちゃダちゃん完封するって。いや、マジのフィジカルモンスターですよ。あれ
[00:17:31] やばいよね。
[00:17:31] あれカ封してるって感じじゃないし。強いんだ。
[00:17:34] で、その次の試合も林ライスよ太選手にテイクダウしてコントロールパウンド立て込んでる。で、やっぱ組みもできるようなって。パンクラスの時はおらく組みがあんまできなかった。
[00:17:43] ああ、なるほど。じゃあ、強くなってると。ま、そうだよ。負けてないからね。
[00:17:47] はい。ロ
[00:17:48] 6戦無所ね。無敗でしょ。
[00:17:50] 僕バリー。ここが勝つと思います。
[00:17:53] ええ。
[00:17:53] はい。ズバり。そうかしていただきます。
[00:17:56] 内容は
[00:17:58] うーん。ま、接戦になって塩時試合でじゃないかなっていう。
[00:18:03] え、だ、打撃じゃん。グランドにもって打
[00:18:07] 俺はごめんなさい。
[00:18:08] あのは八選手がテクラン奪ってリアあ取ってリアネキとチョク
[00:18:14] 1
[00:18:14] 本がち
[00:18:15] で狙うと思う。決めきれるか決めきれないかは
[00:18:19] 決めきれないんで判定です。
[00:18:20] 組強いですからね。でもでもそうあんま勝てるイメージがもうわかなくないですか?
[00:18:26] いやあ
[00:18:27] いや桜場戦とか見ててもなんか今流れ的にやっぱ勢いってすごい大事と思うんですよ。
[00:18:32] で、一応連勝ずっと
[00:18:33] 6連勝ぐらいしてあの選手
[00:18:36] と今の家地で
[00:18:38] いやあ
[00:18:39] と思っちゃうけど、ま、八の復活みたいですけどグラップリング強いでしょ。
[00:18:42] いや、もちろん強いんでしょうけど。
[00:18:44] で、さっきも言った打撃も慣れてるし
[00:18:46] はい。
[00:18:47] ま、ビんないと思うんだよな。ま、相当強い人とやってきてるから選手の日本憲法の打が
[00:18:55] 確かにしても組のやっぱ来人での試合、あの、塩試合やったじゃないですか。外国でには、ま、あの感じをできたら
[00:19:01] うん。ね、白川戦とかもそうです。
[00:19:03] そっか。そ、ストライカー相手に確かせとか見たら
[00:19:07] うん。
[00:19:08] でもちょっと不安じゃないですか?八やち。
[00:19:10] いや、俺はいや、グラップリングで硬いと思うけど。これは
[00:19:13] 墓選手は中村太郎ってこと練習。この辺で。
[00:19:16] ああ、そうね。
[00:19:17] で、結構できてると思う。いや、僕がやな。
[00:19:20] マジっすか?
[00:19:20] はい。
[00:19:21] 判定、判定。
[00:19:22] 俺は八ち選手判定でもうテイクダンゲームで
[00:19:25] はい。
[00:19:26] つけると思う。
[00:19:27] 墓ガ打聞かしたりとかして。
[00:19:29] ああ、
[00:19:32] ダちゃんに買ってる結構僕の中でダリちゃん評価高いんで。
[00:19:36] ダリちゃんに勝ってるのはね、フィジカルモンスターに勝ってんのはすごい。そう。
[00:19:40] 身長170
[00:19:41] だ。そこまで高くないんだよ。選手が。
[00:19:43] うん。
[00:19:44] いや、もう難しいすね。
[00:19:45] 分かんない。僕はまずの判定がちで
[00:19:47] かじさん八ちの判定がち。
[00:19:48] やちの判定が勝ちです。
[00:19:49] はい、わかりました。つけます。
[00:19:51] はい、わかりました。じゃ、次が、
[00:19:53] え、近大一孝幸介
[00:19:56] チャートゥンビロール。
[00:19:58] 強そうな名前。
[00:19:59] 全然わかんないです。バンビロールが。
[00:20:01] あ、え、じさんもわかんないですか?
[00:20:02] わかんないす。
[00:20:04] え、でも調べてるんじゃないですか?つも
[00:20:05] 調べてないす。これはないっす。
[00:20:07] マジっすか?
[00:20:08] うん。
[00:20:09] だってあれでしょ?この江戸プロキングのスパーリングパートナーで。
[00:20:14] そうそうそうそうそう。
[00:20:15] うん。おマールケインってあれでしょ?1
[00:20:16] のチャンピオンでしょ?
[00:20:18] 3回戦制覇っけ?2回戦制覇っけ?
[00:20:21] マルキンはです。
[00:20:22] おど友人ってことか。そっか。そっか。はい。はい。ワンのだ。フィジカル半端ないってことだよね。
[00:20:27] うん。
[00:20:27] ま、これでも僕もわかんないんですけど、バンビロール勝つでしょ。
[00:20:31] ええ、
[00:20:32] だってヘビー級とウェルターで戦った、戦ってた禁すとかさすがに僕ね、
[00:20:39] 時間が例えば1
[00:20:40] 分だとごまかせるかもしれんけどさすがに差が出てくると思うすよ。
[00:20:43] いや、俺は近代一介勝つと思うな。
[00:20:46] 1[音楽]本で
[00:20:47] ああ、まあね。根、
[00:20:48] テイクダウンがあって
[00:20:49] まあね、全然
[00:20:51] 俺の勝手な予想だけど
[00:20:52] うん。
[00:20:53] でかい人
[00:20:54] うん。
[00:20:55] で格闘技
[00:20:56] はい。あの、しっかりレーシングとか
[00:20:56] [音楽]
[00:20:58] MMA
[00:20:58] やってない人って片足弱い。両アシャックルはフィジカルでなんとかなるけど。はい。
[00:21:06] 片足しがみついて崩されると古と倒れるイメージだから。
[00:21:10] まあね、
